
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,502.39246802,74.596197948,126.12035078,17421598.938
KK,493.07056188,73.707717684,125.27224301,17626808.424
QQ,421.09579415,68.851339673,114.53210739,14093530.444
JJ,415.42035999,68.260399732,113.96662664,12448643.157
TT,368.67606564,64.421985101,107.16910015,11077846.147
99,318.80818537,59.643333627,100.09820669,8461604.2871
AKs,284.97382016,54.877419979,97.245613853,10466542.055
88,278.2581858,52.458522919,99.332332658,8005976.412
AKo,252.70874612,52.26366485,90.548061189,33829682.997
77,228.02192994,45.04934784,94.786579587,8939213.9512
AQs,222.97313038,48.203690958,86.622553237,8909550.2966
KQs,215.08805796,43.205334389,93.226133089,10032874.936
AJs,213.66259931,45.195338368,88.530640909,8667695.8789
KTs,212.44158696,41.170641358,96.62970361,10544105.022
K9s,208.61666783,40.376493028,96.756277722,7879719.7188
KJs,208.27047238,41.352616139,94.315583296,11145987.331
JTs,207.32077566,39.468760032,98.366696243,11419582.756
K8s,204.5710095,38.098189621,100.55380109,615514.96274
AQo,201.25642825,46.64791709,80.793467447,29746663.837
66,197.9439606,40.787510879,90.881146257,10529244.228
K6s,197.2501276,36.41575316,101.43474441,3022.8598834
ATs,196.98737478,42.08233931,87.659151317,7352944.919
A9s,195.85619926,41.565997409,88.238447669,4135737.2333
T9s,195.44641229,37.344166654,98.008484374,9736982.3779
KJo,192.85193042,40.930472648,88.234001163,20917575.169
KQo,192.01642973,41.39615936,86.863451741,26766734.589
J9s,191.96383377,37.185616396,96.672549661,9099425.1006
A6s,191.56171127,39.363219908,91.133244999,1371853.138
KTo,191.40213367,39.048274828,91.791753542,5758.9674454
K7s,191.2031767,35.792315919,100.03778022,21381.249756
JTo,190.81970519,37.962574026,94.129621361,67023.641537
QJs,190.81534769,37.625922934,94.969660255,9763728.568
QTs,189.82079692,36.837315577,96.497166416,9383362.9162
J8s,189.72181162,34.912816976,101.76328415,13454.420738
A3s,189.10706008,37.591257535,94.206231588,2393073.2758
T8s,184.35198988,34.993066598,98.65624223,5221170.9663
98s,182.13176099,34.078082074,100.08506721,191412.37158
AJo,181.41429163,42.832890278,79.314549095,25449757.946
Q9s,180.91216018,34.945638702,96.946809217,2887514.6431
55,180.4597141,37.363780444,90.445756688,4174929.3112
87s,179.55276326,33.920076953,99.127466654,1481116.588
76s,177.91482508,33.635586283,99.053968299,1644099.879
A8s,177.80669631,38.945975688,85.495698981,5730665.3605
ATo,177.01140461,40.431261103,81.986567342,13238167.667
QJo,175.83017598,36.233396545,90.87472439,1287744.4484
A2s,174.19049232,35.320462913,92.354232336,5935.8650302
65s,171.12093029,32.613124878,98.258348905,2692829.7327
A7s,171.08144697,37.758837417,84.848280146,6564009.0071
A5s,170.21263889,37.053732212,86.023793304,8507867.8104
A4s,167.73182708,36.159226457,86.867053275,8273256.8205
54s,167.27528998,31.294799467,100.09637769,1321755.71

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,697.41761544,83.023022592,157.30883511,100937.45288
22,445.58363501,61.844181927,134.92397454,3044349.7787
QQ,441.02248732,66.541870527,124.11505736,2437257.8565
33,386.72457964,59.022473101,122.69959129,7634045.4698
JJ,375.35468586,62.166387895,113.06936442,9481582.7736
AKs,348.45602465,59.394822349,109.86468958,19693.128026
44,346.89339009,56.823530707,114.32114161,6984154.7832
K8s,339.24433357,56.258793311,112.9226165,956.98651227
55,327.10785779,56.723283576,107.99119741,12391071.704
AKo,318.03596085,57.180893492,104.15593812,7977851.8692
K9s,316.65164336,54.208868425,109.38811725,7841058.0775
TT,316.05127843,57.72151421,102.53652122,11484459.731
66,306.11909353,56.126153604,102.1371843,16753605.11
KJs,296.51760973,50.755029486,109.40323123,14527700.861
A7s,295.47898482,54.415140864,101.68703479,891863.61851
A3s,295.15997156,52.538510426,105.20550062,96190.068231
77,293.38672657,55.731281976,98.582578069,18029917.645
97s,292.78690232,47.969938318,114.2986834,4817.1779704
KTs,292.66176312,50.73848904,108.01577787,12947099.337
J9s,291.87440538,50.498506015,108.23711959,8169005.6035
A8s,291.70221223,55.046444726,99.235986469,5071073.9177
87s,286.14135721,48.40482008,110.70080156,7535180.8946
A4s,285.57548074,52.364864959,102.12678766,5711894.8157
A5s,283.60753422,52.742660682,100.69652241,6006228.5379
76s,283.29592957,47.388333213,111.95091409,9830831.3295
88,283.15900927,55.324312222,95.845803712,18931811.956
T8s,283.10177666,48.473186986,109.37039068,7791617.6197
Q9s,281.9228729,50.184054217,105.20183415,3842044.6154
99,281.58470217,55.646180425,94.761612087,21276332.59
98s,281.22064463,48.184681493,109.2941583,9591420.2848
65s,281.01682032,46.324645119,113.60016377,8863693.6539
54s,279.42426099,45.857053359,114.10816178,10105278.114
A9s,279.40540654,53.900653168,97.073238939,8600762.5787
T9s,278.6480237,47.792168025,109.18374287,11445012.802
KQs,277.7250879,50.157720768,103.68980614,13754639.497
JTs,277.65855402,48.82077224,106.50381285,12201365.869
QJs,275.17916701,48.017021015,107.31960902,9057667.9326
AJs,269.8289422,52.904404454,95.511451226,14360586.926
KQo,269.62115409,49.924151418,101.13512477,22061256.222
QTs,266.98892565,47.981082891,104.20341338,12114482.544
ATs,261.57857906,50.924331738,96.191252709,12375006.457
AQs,257.37562516,53.348170627,90.345520844,15806413.42
AJo,254.18418716,51.663756909,92.134288905,18057210.354
AQo,222.942084,51.019595759,81.830232702,36357250.066

Hands EV OOP
Hand, EV, Equity, Matchups
AsAc,524.26818617,76.378784002,128.54035873,3000264.2889
AhAc,523.11271585,76.288982511,128.40803419,2976830.3041
AdAc,522.63717608,76.266365974,128.3293482,2883254.6559
KsKc,510.65235472,75.218100055,127.13400327,3074660.1974
KdKc,504.32361046,74.747320422,126.34917633,2942888.2197
KhKc,498.36251016,74.412230121,125.4179758,2965271.4353
KsKd,487.74193448,73.002244073,125.11593592,2952303.5482
AsAd,481.12515833,72.861896273,123.65632637,2879293.087
AsAh,481.11837932,72.844198873,123.68462578,2826053.3097
AhAd,479.8679939,72.755072819,123.51430179,2855903.2922
KsKh,479.01764409,72.457837743,123.80120835,2831225.7218
KhKd,476.51802507,72.2495765,123.51018448,2860459.3016
QdQc,437.43303049,70.110729457,116.83846179,2406363.4027
AcKc,437.22670481,66.989701133,122.22425043,1919664.5884
QhQc,437.13751808,70.179842056,116.64454642,2368049.9631
QsQc,432.03435442,69.896692762,115.74983968,2298299.408
JsJc,429.40263901,69.516570201,115.67382997,2144219.5155
JsJd,422.66375194,68.51148909,115.52882063,2128357.0294
JdJc,413.34033474,68.130884492,113.61155465,2095459.4807
QhQd,412.10238108,67.962655493,113.55167037,2413553.5049
JhJc,411.05292345,68.286945033,112.72462526,2047900.2565
JsJh,408.24475487,67.611176227,113.0735078,1988508.9582
JhJd,406.69999024,67.419045538,112.96666432,2044197.9164
QsQd,406.5842361,67.632269013,112.57846464,2349037.3759
QsQh,400.4394357,67.27022536,111.47377308,2258226.7897
TsTd,390.29238747,65.932355383,110.85371006,1915733.3614
ThTd,377.3343437,64.924667688,108.83669433,1822991.4163
TsTh,371.6945729,64.632378176,107.69482298,1812886.4838
TsTc,370.02350938,64.777490083,106.97047991,1927837.3651
ThTc,358.3099902,63.879197827,105.04084488,1839758.4627
9s9d,356.28042454,63.030163913,105.85277982,1388534.2414
AcQc,352.53361047,58.6662868,112.5306094,1525327.3698
AcJc,351.5925974,56.935475502,115.64197856,1786460.7884
9h9d,345.17596955,62.216801656,103.89427446,1315895.5919
TdTc,342.40924094,62.216853915,103.06143218,1758639.0576
Ac2c,340.94477594,52.139771091,122.45419376,1670.0113531
9s9h,339.45461296,61.638869034,103.13018486,1325026.8363
8s8d,333.39661695,57.910445944,107.81098709,1297723.3227
8s8h,332.44068985,57.33361363,108.58344153,1326557.175
Ac3c,331.11251166,51.685373787,119.96834652,754185.38543
8h8d,326.2085764,57.392215815,106.43908328,1189728.3994
AcTc,310.33449858,52.41021464,110.88501553,1645162.1633
Ac4c,307.78065498,50.087278276,115.07278646,2318664.3927
KcJc,307.1639005,50.555350276,113.77891631,2708954.0716
KcTc,304.09489367,49.621981302,114.76085357,2588802.8806
9s9c,302.4505228,58.01092702,97.634493348,1553207.2417
KcQc,302.34238753,50.929592734,111.16999291,2415906.4899
JcTc,301.53054464,48.550335111,116.30484939,2739576.7177
Ac5c,298.73833856,49.568064129,112.86200112,2435173.085
9h9c,295.74325994,57.506182013,96.307268208,1485065.4731
Ac6c,294.02049221,49.179999428,111.95611612,488217.6092
Kc6c,285.17232036,45.528930385,117.29477454,983.48418735
QcJc,284.09306028,47.18220995,112.75637083,2350949.5
AcKs,283.14944319,54.450876517,97.379957293,2694449.8822
Kc9c,282.65820942,47.162100367,112.23471504,2179622.5286
Ac9c,282.50613277,49.231004563,107.4602695,1133483.3445
7s7h,280.20055074,49.818356946,105.32666363,1648441.3793
9d9c,279.76160782,56.038987507,93.488152677,1393874.9028
QcTc,279.27844985,46.016974435,113.65226815,2378425.1608
Kc7c,276.96842529,44.991558112,115.28106268,6798.1799313
Ac7c,273.68128871,47.901142045,106.99364456,1988569.8844
Ac8c,271.86716091,48.006384534,106.0514218,1720503.7543
Tc9c,270.38431421,44.524352366,113.72151197,2193853.5401
Jc9c,269.44832173,44.876585554,112.4383386,2241843.7458
7s7d,268.36015859,49.089192647,102.37428777,1499590.7164
Kc8c,267.05828145,44.382669977,112.68117523,203561.9547
AsKs,266.25415102,53.968492545,92.387846231,3171167.5898
AsKc,263.95697528,53.289096764,92.758459395,2891448.7857
AcKh,262.39900939,52.509139195,93.580645246,2535577.0152
AcKd,259.79309295,52.272454035,93.070801508,2592224.4578
6s6h,258.3680654,46.338745035,104.41269571,1867380.6108
AdKs,257.88836171,53.019105759,91.087354274,2988834.9261
7h7d,256.03390739,48.033764898,99.818168961,1448855.5382
AdKc,255.20365546,52.139610128,91.659578193,2768747.3227
Jc8c,254.70787224,41.781549556,114.16068557,3420.1418335
