
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,1282.5881141,82.644915111,131.96651602,6931.3682134
KK,1258.8497148,80.594719937,132.81892891,10073.685939
QQ,1242.6900239,79.710710782,132.56803178,8571.8999769
JJ,1216.6343809,78.235872819,132.23512536,7881.8468822
TT,1145.2098799,74.521015203,130.67695367,5485.0012417
54s,953.29926022,61.691142545,131.40113624,48.653906844
ATo,947.74835435,64.868397674,124.23745514,2108.7954278
99,946.25862957,64.382460979,124.97839933,3372.1746573
KTo,894.20224447,62.551573353,121.55986132,0.76036439207
55,887.21040147,60.049490296,125.63480719,197.76247675
87s,877.80080674,59.628254639,125.18046385,157.46771164
KQo,866.07754389,62.132602553,118.53044396,1365.1317955
ATs,866.0027279,59.716367881,123.31575137,1386.2140385
98s,835.20468341,57.040065442,124.51038732,20.585048566
76s,829.43901203,55.96271598,126.03128172,138.97439393
JTo,816.2496795,56.40875048,123.04648793,9.5430749428
AJo,814.86640198,56.865443986,121.85143711,1703.703993
65s,812.502606,54.145091361,127.60225519,213.97180707
KTs,812.31059553,57.020177995,121.13962576,1947.2352915
T8s,809.7603025,55.017245714,125.15560837,858.84233589
J8s,792.70815569,54.610368178,123.43289076,1.4006885773
KJo,783.4482555,57.946322653,114.96803691,1345.8539969
QTs,778.51222078,53.245354142,124.33013141,1813.8240458
K6s,775.93040919,53.352888925,123.66804929,0.34555817908
A9s,774.43352886,54.92103492,119.90522634,773.90310741
A2s,763.48672737,52.138641906,124.51866483,0.37453891482
88,759.27065242,54.492441241,118.48217756,2006.3779481
A7s,757.01100671,53.347636302,120.66454806,816.2717285
K8s,756.77815593,53.079229808,121.23741102,94.823526473
A8s,752.40476163,53.42953536,119.74649659,848.0090283
K7s,752.18826004,52.248399848,122.41826912,2.6016371603
A6s,741.1485309,51.70717814,121.88411073,179.38666161
QJo,740.09891266,49.772107383,126.4434727,132.15461283
K9s,739.38055132,53.096665193,118.41138352,1241.1508421
77,738.57530529,52.97935472,118.54433277,1260.8164897
T9s,730.23265977,50.518209039,122.91531134,2264.8770882
A3s,729.84305728,49.999245252,124.12484258,215.58896676
66,722.02193546,51.695102658,118.76642066,853.12060378
Q9s,717.00797869,49.45596004,123.28153405,438.73893006
KQs,688.14307179,48.864777817,119.7499916,1433.8688085
A4s,685.4800994,48.160835665,121.03013433,709.48092451
J9s,683.89665667,48.102970903,120.8958127,1704.0317363
JTs,683.43831757,47.056976981,123.50029034,3022.4074876
AJs,682.38552539,48.431376675,119.81071783,1209.048284
KJs,648.88083971,46.493510577,118.67665286,1922.5453048
A5s,642.71962537,45.792486349,119.34933813,1050.1858455
AKs,609.75386675,45.88838345,112.991164,2688.9791919
