Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 580
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,CALL freq,FOLD freq
2h 2d 2c,4.14138,69.17,1055.15,129.719,30.83,119.351,40.2393,70.45,11.77,17.78
3c 2d 2c,0.11523,64.01,963.408,127.989,35.99,211.09,60.9649,74.17,23.82,2.01
3d 3c 2c,0.22708,63.96,957.408,127.287,36.04,217.091,62.615,73.25,23.37,3.39
3h 3d 3c,3.55442,67.89,1037.43,129.948,32.11,137.072,44.3694,69.66,12.60,17.74
3h 3d 2c,1.25502,57.97,841.415,123.42,42.03,333.085,82.3834,72.84,9.00,18.15
3h 2d 2c,1.2711,58.70,856.396,124.065,41.30,318.1,80.0586,74.12,7.47,18.41
4c 2d 2c,0.70871,64.95,967.755,126.71,35.05,206.744,61.3071,80.99,11.67,7.34
4c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4c 3c 2d,0.00081,53.79,769.512,121.658,46.22,404.999,91.0949,95.12,4.88,0.00
4c 3d 3c,0.37471,64.86,976.723,128.056,35.14,197.776,58.5023,77.17,17.39,5.44
4c 3d 2c,0.00055,40.02,495.629,105.314,59.98,678.869,117.651,98.83,1.17,0.00
4d 4c 2c,0.36145,65.48,979.834,127.249,34.52,194.668,58.6159,85.85,5.88,8.26
4d 4c 3c,0.00009,70.17,1095.39,132.735,29.83,79.1016,27.5689,93.04,6.96,0.00
4h 4d 4c,1.88681,69.68,1074.26,131.105,30.32,100.241,34.3623,58.09,25.61,16.30
4d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4h 4d 2c,1.48994,63.75,958.784,127.88,36.25,215.72,61.8673,73.80,8.01,18.19
4h 4d 3c,1.05998,65.24,988.496,128.842,34.76,186.004,55.6232,72.16,9.26,18.58
4h 2d 2c,1.63456,64.20,960.74,127.261,35.81,213.759,62.0587,75.48,4.93,19.60
4h 3d 3c,1.47922,63.31,945.676,127.016,36.69,228.825,64.8316,74.68,6.29,19.03
4h 3d 2c,0.41624,66.29,991.71,127.211,33.71,182.786,56.366,79.44,9.16,11.40
5c 2d 2c,0.78523,65.24,968.75,126.258,34.76,205.75,61.5374,80.09,9.91,10.00
5c 3c 2c,0.00004,37.36,488.815,111.259,62.64,685.684,113.787,50.82,40.92,8.26
5c 3c 2d,0.00062,54.96,792.85,122.673,45.04,381.642,88.0782,99.87,0.13,0.00
5c 3d 3c,0.62661,64.36,959.352,126.745,35.64,215.147,62.7572,79.31,11.77,8.92
5c 3d 2c,0.00043,64.07,974.102,129.276,35.93,200.408,57.9857,99.77,0.23,0.00
5c 4c 2c,0.00071,45.59,628.543,117.225,54.41,545.958,104.312,67.00,28.28,4.73
5c 4c 2d,0,54.03,774.683,121.921,45.97,400.112,90.4779,98.91,1.09,0.00
5c 4c 3c,0.00001,65.30,960.971,125.146,34.70,213.521,63.9574,70.34,15.10,14.56
5c 4c 3d,0.07532,51.07,714.843,119.028,48.93,459.655,97.6499,89.06,10.94,0.00
5c 4d 4c,0.27903,64.34,960.983,126.998,35.66,213.519,62.2491,83.48,7.01,9.51
5c 4d 2c,0,53.75,768.731,121.625,46.26,405.762,91.1869,99.89,0.11,0.00
5c 4d 3c,0.04687,54.68,786.624,122.322,45.32,387.877,88.9728,87.02,12.98,0.00
5d 5c 2c,0.11253,65.67,983.404,127.345,34.33,191.1,57.8578,84.67,6.83,8.50
5d 5c 3c,0.01522,64.22,964.278,127.674,35.78,210.221,61.0809,81.46,11.90,6.65
5d 5c 4c,0.06178,63.64,952.031,127.211,36.36,222.471,63.5995,85.60,6.81,7.58
5h 5d 5c,1.90457,70.34,1085.95,131.289,29.66,88.5508,31.0299,58.79,25.02,16.20
5d 3c 2c,0.00025,57.61,844.076,124.592,42.39,330.419,81.021,65.65,34.35,0.00
5d 4c 2c,0.00006,48.87,671.831,116.888,51.13,502.669,102.205,90.01,9.99,0.00
5d 4c 3c,0.05959,54.99,792.855,122.606,45.01,381.645,88.1382,89.55,10.45,0.00
5h 5d 2c,1.34044,64.93,983.582,128.809,35.07,190.92,56.5933,72.72,8.82,18.46
5h 5d 3c,0.96189,67.58,1033.1,129.99,32.42,141.395,45.3379,69.33,12.71,17.97
5h 5d 4c,1.05265,66.02,999.892,128.789,33.98,174.608,53.4135,71.47,9.15,19.38
5h 2d 2c,1.48538,66.90,1014.29,128.92,33.10,160.215,50.3167,67.52,13.72,18.76
5h 3d 3c,1.32066,66.21,999.874,128.413,33.79,174.628,53.7232,69.46,12.06,18.48
5h 3d 2c,0.41353,64.83,969.289,127.133,35.17,205.21,60.6555,77.54,13.01,9.45
5h 4d 4c,0.84547,67.16,1022.37,129.438,32.84,152.13,48.1608,67.37,14.53,18.11
5h 4d 2c,0.03466,68.62,1061.59,131.544,31.38,112.911,37.4078,48.56,43.99,7.46
5h 4d 3c,0.00624,63.57,954.045,127.626,36.43,220.457,62.8973,93.34,2.12,4.53
6c 2d 2c,0.78131,65.98,984.323,126.858,34.02,190.177,58.1094,75.52,10.95,13.53
6c 3c 2c,0.00001,45.96,544.913,100.815,54.04,629.586,121.11,54.71,20.26,25.03
6c 3c 2d,0.01356,59.10,864.491,124.382,40.90,310.01,78.7924,81.04,13.28,5.68
6c 3d 3c,0.75228,63.57,949.746,127.044,36.43,224.752,64.1299,78.85,8.50,12.64
6c 3d 2c,0.02022,58.16,843.698,123.359,41.84,330.802,82.1821,81.78,10.50,7.72
6c 4c 2c,0.00027,51.87,702.227,115.122,48.13,472.273,101.999,1.03,98.97,0.00
6c 4c 2d,0.07063,64.72,979.6,128.701,35.28,194.901,57.4317,77.01,19.52,3.47
6c 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
6c 4c 3d,0.05526,60.49,902.747,126.908,39.51,271.757,71.4959,92.42,7.58,0.00
6c 4d 4c,0.57485,64.48,966.745,127.499,35.52,207.756,60.7934,78.90,8.71,12.39
6c 4d 2c,0.04616,63.60,958.834,128.195,36.40,215.664,61.591,83.00,15.04,1.96
6c 4d 3c,0.01323,60.82,909.26,127.134,39.18,265.238,70.3638,92.00,8.00,0.00
6c 5c 2c,0.00007,63.90,923.85,122.933,36.10,250.649,72.1812,58.30,26.26,15.45
6c 5c 2d,0.00134,53.19,754.883,120.688,46.81,419.615,93.1779,88.05,4.75,7.20
6c 5c 3c,0.00001,81.26,1261.48,132.003,18.74,-86.9647,-48.2468,63.86,16.50,19.64
6c 5c 3d,0.0003,46.36,621.959,114.069,53.64,552.546,107.088,99.99,0.01,0.00
6c 5c 4c,0,79.72,1222.18,130.359,20.28,-47.6807,-24.4439,71.61,16.58,11.81
6c 5c 4d,0.07805,56.97,831.799,124.156,43.03,342.698,82.787,90.28,9.72,0.00
6c 5d 5c,0.21134,63.36,949.027,127.365,36.64,225.473,63.9695,77.41,12.72,9.87
6c 5d 2c,0.00186,55.37,800.852,122.999,44.63,373.648,87.0211,91.63,8.37,0.00
6c 5d 3c,0.00063,46.02,615.049,113.654,53.98,559.456,107.73,99.99,0.01,0.00
6c 5d 4c,0.07456,57.23,836.948,124.354,42.77,337.555,82.0421,89.50,10.50,0.00
6d 6c 2c,0.43975,63.74,953.047,127.144,36.26,221.455,63.4867,79.76,10.02,10.21
6d 6c 3c,0.26745,62.64,937.269,127.227,37.36,237.231,66.0128,81.67,9.27,9.06
6d 6c 4c,0.59631,62.35,924.316,126.069,37.65,250.184,69.0663,81.44,7.19,11.38
6d 6c 5c,0.27041,63.49,950.422,127.294,36.51,224.082,63.7986,80.89,9.46,9.64
6h 6d 6c,1.90367,70.71,1094.01,131.564,29.29,80.4948,28.5669,51.42,32.17,16.41
6d 3c 2c,0.02084,57.20,822.916,122.339,42.80,351.584,85.3876,80.33,10.96,8.71
6d 4c 2c,0.02371,65.30,991.102,129.062,34.70,183.404,54.9412,79.37,18.01,2.61
6d 4c 3c,0.00613,62.65,945.678,128.361,37.35,228.828,63.6808,90.63,9.37,0.00
6d 5c 2c,0.00109,53.81,767.018,121.219,46.19,407.481,91.6945,87.84,6.40,5.75
6d 5c 3c,0.00084,48.51,664.599,116.501,51.49,509.906,102.939,99.97,0.03,0.00
6d 5c 4c,0.07177,58.17,855.754,125.099,41.83,318.747,79.2076,90.53,9.47,0.00
6h 6d 2c,1.09973,67.76,1032.12,129.516,32.24,142.376,45.9115,62.46,21.19,16.35
6h 6d 3c,0.73047,65.98,998.518,128.681,34.02,175.985,53.7788,64.09,19.51,16.40
6h 6d 4c,0.59088,69.71,1070.26,130.549,30.29,104.241,35.7765,67.96,13.07,18.97
6h 6d 5c,0.40846,62.88,937.694,126.808,37.12,236.807,66.3131,67.54,14.62,17.84
6h 2d 2c,1.53243,68.56,1048.12,129.992,31.44,126.386,41.7896,69.21,11.84,18.95
6h 3d 3c,0.75963,69.64,1069.66,130.619,30.36,104.836,35.8904,66.77,15.15,18.08
6h 3d 2c,0.46478,68.05,1038.39,129.758,31.95,136.116,44.2838,71.12,10.82,18.06
6h 4d 4c,1.03496,69.27,1065.64,130.808,30.73,108.862,36.8287,66.55,14.79,18.66
6h 4d 2c,0.73948,67.60,1031.91,129.801,32.40,142.593,45.7503,75.56,6.00,18.44
6h 4d 3c,0.53878,68.02,1030.35,128.804,31.98,144.153,46.8591,79.70,1.45,18.85
6h 5d 5c,0.37253,66.38,1009.21,129.279,33.62,165.29,51.1085,60.35,24.79,14.86
6h 5d 2c,0.39126,69.43,1063.32,130.23,30.57,111.183,37.8057,64.48,19.67,15.85
6h 5d 3c,0.27433,68.52,1044.06,129.566,31.48,130.442,43.075,77.31,5.12,17.56
6h 5d 4c,0.17329,68.55,1046.65,129.835,31.45,127.853,42.2573,83.98,2.71,13.31
7c 2d 2c,1.09803,64.64,962.418,126.609,35.36,212.082,62.3451,73.65,12.50,13.85
7c 3c 2c,0.00016,70.21,1052.17,127.436,29.79,122.331,42.6846,12.21,87.79,0.00
7c 3c 2d,0.00297,61.51,920.689,127.273,38.49,253.811,68.5523,54.97,45.03,0.00
7c 3d 3c,0.9443,63.66,947.772,126.605,36.34,226.725,64.8491,76.69,10.39,12.92
7c 3d 2c,0.00256,63.71,964.871,128.776,36.29,209.626,60.0508,51.70,48.30,0.00
7c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 2d,0.44132,65.12,981.788,128.202,34.88,192.713,57.4325,72.65,19.37,7.97
7c 4c 3c,0,75.44,1160.39,130.794,24.56,14.1049,5.97008,62.79,21.30,15.91
7c 4c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 4d 4c,0.91641,64.66,971.478,127.754,35.34,203.021,59.7209,78.67,9.08,12.25
7c 4d 2c,0.38273,64.54,971.127,127.941,35.46,203.376,59.6268,79.92,12.75,7.32
