Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
2h 2d 2c,6.34658,59.70,1169.04,132.666,40.30,305.466,78.7949,82.04,17.96
3c 2d 2c,0.15798,63.75,1260.11,133.916,36.25,214.388,61.4804,97.97,2.03
3d 3c 2c,0.30872,64.01,1259.99,133.371,35.99,214.498,61.9466,96.58,3.42
3h 3d 3c,7.59826,61.10,1200.48,133.125,38.90,274.011,73.2145,81.83,18.17
3h 3d 2c,2.69256,64.62,1265.6,132.699,35.38,208.893,61.3693,81.72,18.28
3h 2d 2c,2.34747,64.43,1262.48,132.763,35.57,212.025,61.955,81.55,18.45
4c 2d 2c,1.03192,65.18,1272.84,132.307,34.82,201.658,60.1995,92.50,7.50
4c 3c 2c,0.00012,48.30,922.691,129.42,51.70,551.805,110.953,83.67,16.33
4c 3c 2d,0.00094,53.40,1061.84,134.722,46.60,412.666,92.0507,100.00,0.00
4c 3d 3c,0.4742,64.66,1273.82,133.467,35.34,200.675,59.0305,94.53,5.47
4c 3d 2c,0.00064,39.59,787.296,134.721,60.41,687.207,118.256,100.00,0.00
4d 4c 2c,0.43204,65.26,1276.22,132.495,34.74,198.277,59.3277,91.71,8.29
4d 4c 3c,0.0001,69.96,1391.14,134.722,30.04,83.3518,28.8433,100.00,0.00
4h 4d 4c,7.92103,62.80,1233.75,133.108,37.20,240.755,67.2686,82.18,17.82
4d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 4d 2c,1.98751,65.11,1280.35,133.232,34.89,194.153,57.8419,80.71,19.29
4h 4d 3c,1.74927,64.48,1269.31,133.362,35.52,205.194,60.0564,80.07,19.93
4h 2d 2c,2.13316,64.26,1259.64,132.804,35.74,214.852,62.4922,79.81,20.19
4h 3d 3c,1.98008,65.06,1275.42,132.821,34.94,199.08,59.2239,80.05,19.95
4h 3d 2c,0.56245,68.44,1330.57,131.726,31.56,143.934,47.4007,86.49,13.51
5c 2d 2c,1.13722,65.61,1276.43,131.804,34.39,198.064,59.872,89.86,10.14
5c 3c 2c,0.00732,61.68,1205.68,132.443,38.32,268.829,72.9176,90.56,9.44
5c 3c 2d,0.00071,54.64,1086.43,134.723,45.36,388.071,88.9251,100.00,0.00
5c 3d 3c,0.78484,64.71,1266.4,132.586,35.29,208.103,61.303,91.07,8.93
5c 3d 2c,0.00049,63.74,1267.56,134.722,36.26,206.953,59.3355,100.00,0.00
5c 4c 2c,0.02285,59.54,1181.39,134.439,40.46,293.108,75.2985,94.72,5.28
5c 4c 2d,0,53.71,1068.06,134.723,46.29,406.435,91.274,100.00,0.00
5c 4c 3c,0.00005,63.11,1226.19,131.635,36.89,248.311,69.9713,84.22,15.78
5c 4c 3d,0.08835,50.88,1011.65,134.722,49.13,462.845,97.9395,100.00,0.00
5c 4d 4c,0.32391,64.54,1265.01,132.8,35.46,209.491,61.4062,90.48,9.52
5c 4d 2c,0,53.40,1061.85,134.722,46.60,412.66,92.0505,100.00,0.00
5c 4d 3c,0.05451,54.49,1083.6,134.722,45.51,390.905,89.2937,100.00,0.00
5d 5c 2c,0.13085,65.61,1283.45,132.528,34.39,191.055,57.7525,91.26,8.74
5d 5c 3c,0.0175,64.62,1272.86,133.444,35.38,201.643,59.2515,93.09,6.91
5d 5c 4c,0.06994,64.24,1263.32,133.232,35.76,211.183,61.3914,92.43,7.57
5h 5d 5c,7.9557,63.23,1240.72,132.933,36.77,233.773,66.0968,82.20,17.80
5d 3c 2c,0.00029,57.42,1141.74,134.721,42.58,332.763,81.2309,100.00,0.00
5d 4c 2c,0.00007,49.00,974.371,134.721,51.00,500.125,101.937,100.00,0.00
5d 4c 3c,0.06918,54.86,1090.82,134.722,45.14,383.68,88.3483,100.00,0.00
5h 5d 2c,1.9352,65.15,1282.23,133.339,34.85,192.275,57.3532,80.39,19.61
5h 5d 3c,1.49613,64.63,1272.21,133.375,35.37,202.286,59.4423,80.39,19.61
5h 5d 4c,1.57916,65.16,1287.54,133.867,34.84,186.958,55.7864,78.64,21.36
5h 2d 2c,2.37793,63.23,1240.61,132.925,36.77,233.892,66.1264,79.52,20.48
5h 3d 3c,2.1904,64.07,1258.13,133.038,35.93,216.371,62.6018,79.42,20.58
5h 3d 2c,0.57359,66.53,1300.78,132.466,33.47,173.721,53.9529,90.12,9.88
5h 4d 4c,2.20249,64.26,1268.32,133.732,35.74,206.175,59.9578,79.16,20.84
5h 4d 2c,0.04086,68.68,1363.34,134.495,31.32,111.163,36.891,91.39,8.61
5h 4d 3c,0.00705,63.48,1252.45,133.672,36.52,222.054,63.203,95.48,4.52
6c 2d 2c,1.05145,66.34,1292.07,131.947,33.66,182.434,56.3471,86.35,13.65
6c 3c 2c,0.00002,49.63,913.44,124.693,50.37,561.061,115.791,74.67,25.33
6c 3c 2d,0.01649,58.95,1164.12,133.798,41.05,310.383,78.5921,94.32,5.68
6c 3d 3c,0.90176,65.30,1281,132.914,34.70,193.499,57.9613,87.35,12.65
6c 3d 2c,0.02455,57.96,1141.53,133.441,42.04,332.973,82.3279,92.26,7.74
6c 4c 2c,0.00041,48.30,960.486,134.721,51.70,514.01,103.353,100.00,0.00
6c 4c 2d,0.09478,64.46,1275.78,134.095,35.54,198.727,58.1214,96.45,3.55
6c 4c 3c,0.00001,71.79,1410.74,133.144,28.21,63.7461,23.4865,96.33,3.67
6c 4c 3d,0.06356,60.31,1199.32,134.723,39.69,275.184,72.0771,100.00,0.00
6c 4d 4c,0.67906,65.28,1281.58,133.002,34.72,192.916,57.7635,87.53,12.47
6c 4d 2c,0.05625,63.45,1257.45,134.273,36.55,217.053,61.7267,98.02,1.98
6c 4d 3c,0.01514,60.70,1207.07,134.722,39.30,267.428,70.741,100.00,0.00
