Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\AdKc2c.cfr
Action Line,Root BET 152 RAISE 366
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 580 freq,CALL freq,FOLD freq
2h 2d 2c,20.6455,47.52,264.215,104.131,52.48,482.286,122.85,30.74,20.06,0.71,48.49
3c 2d 2c,0.59818,45.26,248.503,102.831,54.74,497.996,121.613,26.41,19.26,9.32,45.00
3d 3c 2c,1.17088,45.36,247.301,102.106,54.64,499.197,122.131,26.37,19.39,8.43,45.81
3h 3d 3c,21.9953,46.98,265.114,105.684,53.02,481.384,121.374,34.54,16.16,0.82,48.48
3h 3d 2c,8.70174,45.68,255.311,104.663,54.32,491.188,120.892,30.94,14.42,9.05,45.58
3h 2d 2c,7.81958,45.68,255.173,104.615,54.32,491.326,120.917,30.02,16.26,7.76,45.96
4c 2d 2c,3.7975,46.84,259.498,103.742,53.16,487.001,122.479,27.17,18.66,7.02,47.15
4c 3c 2c,0.00028,34.83,84.3527,45.3578,65.17,662.145,135.824,43.33,0.00,0.00,56.67
4c 3c 2d,0.00353,40.49,174.857,80.8727,59.51,571.649,128.419,26.73,23.10,12.13,38.04
4c 3d 3c,1.80521,46.22,262.786,106.479,53.78,483.713,120.237,26.27,20.76,6.53,46.44
4c 3d 2c,0.00232,30.97,21.0838,12.7505,69.03,725.416,140.482,27.41,23.66,12.17,36.77
4d 4c 2c,1.72116,46.65,262.491,105.381,53.35,484.01,121.278,25.10,21.00,6.58,47.32
4d 4c 3c,0.0004,49.79,333.778,125.545,50.21,412.719,109.885,24.86,21.27,8.25,45.61
4h 4d 4c,19.8904,47.47,275.262,108.595,52.53,471.238,119.925,39.82,9.49,3.04,47.65
4d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4h 4d 2c,8.05908,46.75,275.77,110.477,53.25,470.731,118.171,24.66,18.49,13.17,43.68
4h 4d 3c,6.35846,46.97,281.906,112.388,53.03,464.595,117.131,27.51,16.67,10.96,44.86
4h 2d 2c,8.23681,47.05,270.041,107.482,52.95,476.458,120.296,25.90,19.84,8.73,45.52
4h 3d 3c,7.67605,47.07,271.65,108.077,52.93,474.849,119.934,25.80,19.27,9.44,45.49
4h 3d 2c,2.22641,48.50,283.194,109.338,51.50,463.305,120.278,25.26,18.70,11.64,44.40
5c 2d 2c,4.20862,47.11,261.146,103.799,52.89,485.353,122.692,27.02,18.66,6.99,47.33
5c 3c 2c,0.01483,39.45,236.094,112.078,60.55,510.409,112.691,49.38,0.28,0.20,50.14
5c 3c 2d,0.00261,42.35,194.965,86.2105,57.65,551.534,127.901,27.26,23.85,11.46,37.43
5c 3d 3c,2.97778,46.64,260.778,104.711,53.36,485.722,121.689,26.36,21.04,5.11,47.49
5c 3d 2c,0.00184,47.48,286.016,112.802,52.52,460.492,117.223,26.55,23.29,11.60,38.57
5c 4c 2c,0.04702,38.66,223.97,108.484,61.34,522.528,113.889,48.61,1.52,1.59,48.29
5c 4c 2d,0.00002,48.83,191.404,73.3989,51.17,555.384,145.113,28.18,24.65,10.28,36.89
5c 4c 3c,0.00017,35.34,174.233,92.3143,64.66,572.268,118.33,28.99,4.90,23.74,42.37
5c 4c 3d,0.30173,41.16,165.185,75.1535,58.84,581.314,132.081,29.28,24.96,11.63,34.13
5c 4d 4c,1.31435,46.14,256.832,104.239,53.86,489.668,121.544,24.64,21.23,7.23,46.90
5c 4d 2c,0.00002,49.02,183.534,70.1078,50.98,562.968,147.641,27.67,24.26,10.29,37.78
5c 4d 3c,0.19687,42.77,201.605,88.2707,57.23,544.896,127.288,27.69,23.81,15.44,33.07
5d 5c 2c,0.54639,46.20,256.763,104.067,53.80,489.738,121.705,23.95,20.59,8.61,46.84
5d 5c 3c,0.0703,45.58,256.701,105.463,54.42,489.798,120.328,24.89,21.65,9.22,44.24
5d 5c 4c,0.28979,45.37,249.474,102.962,54.63,497.027,121.641,24.14,21.32,8.12,46.43
5h 5d 5c,19.9679,47.89,279.626,109.343,52.11,466.873,119.779,39.84,9.54,2.98,47.64
