
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
JJ,602.02153408,66.664958548,169.11150543,9271.294919
AA,568.11585913,65.180109994,163.22270348,12604.443672
KK,565.21723291,65.033952863,162.75486743,14754.6087
TT,563.9086193,64.715384895,163.17737306,7461.1657224
QQ,522.03865779,62.823157499,155.61148495,12176.226995
99,359.23650343,53.929669514,124.74163861,4640.3809239
88,258.22928116,46.264439655,104.52421698,5098.4095292
77,235.08360332,42.881779133,102.66166092,6090.0883218
JTs,165.94518592,40.707461051,76.33951298,5981.4230423
QTs,158.8730407,39.958119754,74.456721017,4900.3723978
98s,158.35452907,35.186884083,84.276874653,103.20585815
J8s,156.51591203,36.13824421,81.105478494,7.8672522537
QJs,154.90601826,41.18885028,70.428325756,5639.2977737
T9s,149.25296171,38.003188635,73.546441324,6067.0314393
66,147.35886655,36.208055104,76.213133467,7534.5198046
JTo,136.25725505,37.787542941,67.525797949,39.619192497
J9s,128.90993628,37.073440261,65.115180395,5308.641536
55,126.73552215,32.811638608,72.331784865,2716.49512
T8s,125.15166489,35.123474539,66.726432028,2930.3113426
76s,122.70767508,34.210047471,67.170223575,966.05861933
QJo,118.59037852,36.921257759,60.149456982,870.77982211
A3s,117.98627499,37.248335632,59.317571312,1326.4491809
KTs,111.34778925,37.147569034,56.131925911,6122.7705356
AKs,110.35540909,41.094296081,50.288747871,6676.2015351
AQs,107.83887383,41.356418444,48.830499403,5826.2911562
AJs,107.78539926,40.149266918,50.273724144,6012.588256
A8s,107.6156171,36.402318064,55.361137301,3746.2354365
Q9s,106.27357788,34.670175299,57.402129947,1579.251105
KJs,100.79836533,38.281151293,49.309118818,6462.7145183
A6s,100.54275378,36.022205784,52.268401214,856.39419689
ATs,99.804276735,39.507821656,47.30693488,4319.2381124
A7s,95.736065798,34.88058131,51.398518993,4221.9736275
A5s,89.527845313,34.504412323,48.58947878,5108.7490327
KQs,89.495974508,37.592602848,44.582030821,6533.7275893
A4s,86.839903546,33.114058881,49.109516536,4912.4501084
87s,85.347077005,30.806729263,51.880219266,927.42591081
A2s,83.25117673,31.902727284,48.867633989,3.8086237554
A9s,79.209577161,35.315271636,42.002378752,2637.2314568
KTo,77.192060046,33.551154746,43.084782225,3.5156638405
K8s,76.274223745,28.945554251,49.346308504,405.19131092
K7s,72.035987675,29.198640292,46.200388776,15.295971949
65s,63.101349511,30.531571175,38.703321392,1331.5065766
AKo,60.124380428,37.87845963,29.724670383,21711.550953
K6s,59.553582175,28.8443843,38.663873344,2.1055591395
ATo,57.413062524,36.304867551,29.614513318,8334.5425685
AJo,55.343149658,36.688773602,28.248111578,17295.793752
AQo,55.193606187,38.091746599,27.13417533,18791.635482
K9s,54.162423005,31.029181748,32.687861144,5794.9505076
KJo,52.442684994,34.658308411,28.335853587,14220.065891
54s,49.312015394,28.93823652,31.91092797,675.1158256
KQo,38.09890526,33.395567914,21.363991987,18843.035205

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
22,1443.2221322,82.022699138,139.42471607,994.25823803
AA,1300.3183954,73.966000567,139.30227691,83.485000623
33,1207.7228943,66.116175866,144.74388263,3052.3138815
77,1178.7815516,65.748695592,142.06491449,3657.4037189
QQ,1152.7099624,64.509780531,141.59082991,3130.7342868
Q9s,1144.4487297,57.528863858,157.63446943,2717.6847747
JTs,1138.5854025,62.880994552,143.47850888,16342.426737
QTs,1130.1800439,60.240843506,148.66106346,10282.572227
98s,1120.1541973,60.738204806,146.13576049,5518.3414177
44,1116.5111183,60.706923513,145.73553944,2916.6381336
97s,1113.0044012,60.451667249,145.89124942,2.3103316669
88,1112.7469359,62.107035369,141.96989238,4869.6419339
KJs,1111.2882785,55.79701218,157.81796344,3046.431111
J9s,1093.8556768,56.863390476,152.42911186,3158.5133938
KTs,1092.7548123,54.365344595,159.27265796,6089.400753
AJs,1091.2929184,60.19880006,143.64620192,11113.203463
TT,1081.7860964,60.632272853,141.37681454,13540.7863
AJo,1079.7988643,60.488579451,141.45233668,11699.311721
K8s,1079.5793417,50.991329302,167.76404029,0.33537867979
A4s,1076.9142943,55.186219779,154.62906878,6651.1658657
JJ,1075.7313452,59.999134442,142.06905229,10315.9981
A3s,1073.2735631,56.66683799,150.07974991,66.646366503
A7s,1071.9520311,54.228798269,156.63399186,1411.5999626
K9s,1068.1420624,49.913758876,169.5701428,4646.450601
A8s,1067.8303327,54.19140061,156.1394059,11442.298137
T9s,1067.7814688,57.611845508,146.86260832,9445.7615376
AQs,1065.9925973,58.849413429,143.53330844,7909.6472555
76s,1061.2695678,57.665657228,145.83075017,2363.7424324
QJs,1056.4612126,53.448771582,156.62333733,5018.2059786
55,1054.9108321,57.130441348,146.31498859,5304.2799623
A9s,1054.7966016,53.800935367,155.35296296,14030.520503
T8s,1052.3460502,57.551458228,144.89149325,4983.6742353
54s,1051.8030257,55.976920742,148.8901805,1782.675185
KQs,1049.1894586,52.935167759,157.05445852,19742.55845
A5s,1049.0664261,52.727255897,157.65525944,12993.290075
66,1045.1307967,56.882963656,145.58917158,6556.3748852
65s,1040.2934231,55.785375445,147.76655133,1782.3223258
ATs,1037.832437,54.483381076,150.93982237,6300.078708
99,1031.6774091,58.270729828,140.29238821,14148.432304
87s,1030.7060731,55.447210625,147.29763606,2618.6329992
KQo,1027.1511011,54.487867431,149.37405491,18764.344742
AKs,1023.4447781,53.31189589,152.118114,5.5471414976
AKo,1001.8863148,50.93675867,155.85752812,3867.3866962
AQo,993.3783002,54.190253002,145.2560183,15492.617074

Hands EV OOP
Hand, EV, Equity, Matchups
JsJc,635.18767783,68.480306349,173.69811801,1522.9514574
JdJc,627.2263366,68.0582222,172.58475416,1415.5466257
JhJc,623.45153981,67.881162144,171.99355608,1458.7875375
AdAc,622.17445844,67.899002346,171.59614551,1906.7300534
AhAc,618.98827376,67.738821396,171.12108638,1932.464384
AsAc,616.91398845,67.634508484,170.8106804,1914.7392972
JsJd,593.30943367,66.098036461,168.09370061,1731.8096849
KsKc,592.31625731,66.396947147,167.05684855,2382.7030052
KhKc,591.75879318,66.368871319,166.97022445,2359.0637043
KdKc,590.5105669,66.304687674,166.77931387,2275.720535
ThTc,582.7021617,65.779909155,165.88690438,1192.4361674
TsTc,580.73843553,65.710552183,165.50236211,1200.3633459
JhJd,576.75488839,65.244452049,165.54132959,1644.6335595
TsTd,576.06762548,65.260333596,165.30383243,1452.2864459
JsJh,561.41647896,64.532770344,162.91594415,1497.5660539
ThTd,560.40326159,64.427483502,162.88767666,1380.0229484
QdQc,558.83847332,64.593778715,162.01467321,1960.9536888
QhQc,557.77822464,64.612560386,161.66028777,1934.2168808
QsQc,554.38060915,64.445399398,161.09232691,1915.4583614
TsTh,551.55348876,64.022998485,161.32822989,1338.4885548
KsKd,545.80233278,64.057861655,159.55914237,2619.9730782
KhKd,544.40701581,63.987684726,159.32578246,2594.7707938
KsKh,533.54931003,63.441627127,157.49217927,2522.3775835
AhAd,530.63858613,63.295742516,156.99400591,2322.7074466
AsAd,528.57070688,63.191817432,156.63939172,2307.6069583
TdTc,520.57411109,62.563683039,155.81849383,897.56826003
AsAh,515.63553932,62.539213282,154.40066696,2220.1955326
QhQd,499.85595032,61.732288895,151.63212783,2179.6357182
QsQd,496.45972187,61.564383874,151.01261398,2165.0906893
QsQh,472.79776173,60.379916635,146.63635133,2020.8716569
9s9d,388.5853975,55.723749985,130.58848525,816.28748856
9s9h,381.28394199,55.301937767,129.11208928,822.66497701
9h9c,377.83066749,54.816240135,129.07635852,815.64029853
9h9d,371.4457069,54.819683121,126.88712737,801.30573771
7s7h,368.20177308,51.470424615,133.96361778,1105.6807734
8s8d,358.29046935,52.570484511,127.62977959,768.12877022
9s9c,356.9290815,53.760934608,124.32940843,783.92717834
8s8h,349.44660484,51.876810683,126.14391334,889.32664781
8h8d,334.07672131,51.220389093,122.14117244,746.95540563
7s7d,330.06982562,49.131518307,125.80687692,960.73667012
7h7d,328.19623105,49.009321595,125.4046503,961.92246968
AcKc,327.38100287,52.908806111,115.87353489,945.41355889
