Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
2h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
3c 2d 2c,3.65155,42.85,215.572,94.2219,57.15,1044.93,144.868,51.11,48.89
3d 3c 2c,3.5877,43.05,220.277,95.8292,56.95,1040.22,144.724,50.68,49.32
3h 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
3h 3d 2c,0.00098,52.44,335.038,119.65,47.56,925.457,154.178,49.87,50.13
3h 2d 2c,0.00092,45.11,279.917,116.213,54.89,980.59,141.549,49.54,50.46
4c 2d 2c,1.23945,42.83,214.755,93.9011,57.17,1045.74,144.938,49.30,50.70
4c 3c 2c,0.00001,30.76,82.6544,50.325,69.24,1177.85,134.788,42.33,57.67
4c 3c 2d,3.07683,42.33,205.551,90.9429,57.67,1054.95,144.941,57.55,42.45
4c 3d 3c,3.03513,44.06,231.73,98.4947,55.94,1028.77,145.721,50.38,49.62
4c 3d 2c,3.13126,42.32,205.274,90.8232,57.67,1055.23,144.977,57.46,42.54
4d 4c 2c,2.10529,44.15,233.51,99.0472,55.85,1026.99,145.706,48.89,51.11
4d 4c 3c,3.56893,44.37,237.815,100.364,55.63,1022.68,145.68,50.03,49.97
4h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
4d 3c 2c,3.03521,42.16,204.672,90.9018,57.84,1055.83,144.656,56.25,43.75
4h 4d 2c,0.00122,47.22,321.422,127.479,52.78,939.077,140.976,48.44,51.56
4h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 3d 2c,0.52794,48.17,314.48,122.27,51.83,946.019,144.617,50.14,49.86
5c 2d 2c,0.76665,43.09,223.993,97.3432,56.91,1036.51,144.323,49.42,50.58
5c 3c 2c,0.00054,42.05,292.37,130.214,57.95,968.133,132.373,49.77,50.23
5c 3c 2d,3.78841,43.30,215.018,92.9927,56.70,1045.48,146.108,60.77,39.23
5c 3d 3c,1.52777,43.72,230.803,98.8652,56.28,1029.7,144.97,49.77,50.23
5c 3d 2c,3.79522,43.33,215.717,93.2232,56.67,1044.78,146.095,60.63,39.37
5c 4c 2c,0.0187,38.72,236.931,114.597,61.28,1023.57,132.35,50.74,49.26
5c 4c 2d,4.35664,43.84,220.124,94.0249,56.16,1040.38,146.796,61.95,38.05
5c 4c 3c,0.00001,32.75,169.895,97.1529,67.25,1090.61,128.501,42.44,57.56
5c 4c 3d,2.4318,42.95,200.084,87.2388,57.05,1060.42,147.286,62.24,37.76
5c 4d 4c,2.06709,44.77,241.094,100.845,55.23,1019.41,146.256,48.78,51.22
5c 4d 2c,4.44774,43.51,216.168,93.0436,56.49,1044.33,146.483,60.23,39.77
5c 4d 3c,2.61049,43.13,203.144,88.209,56.87,1057.35,147.318,61.34,38.66
5d 5c 2c,2.4627,44.15,239.44,101.556,55.85,1021.06,144.872,48.36,51.64
5d 5c 3c,2.32984,44.35,240.115,101.384,55.65,1020.38,145.296,50.26,49.74
5d 5c 4c,2.61026,44.67,239.038,100.207,55.33,1021.46,146.289,48.64,51.36
5h 5d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
5d 3c 2c,3.73062,42.87,209.334,91.4409,57.13,1051.17,145.797,57.84,42.16
5d 4c 2c,4.40288,43.42,215.307,92.8521,56.58,1045.19,146.387,59.89,40.11
5d 4c 3c,2.45838,43.05,202.291,88.0017,56.95,1058.21,147.231,61.19,38.81
