
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,468.08124334,81.520474813,150.31114229,667953.94719
KK,467.73019056,79.76298283,153.50787285,668581.19334
QQ,424.67458252,76.360316521,145.58786782,543883.45376
JJ,424.40092436,75.287155469,147.56795861,470596.6875
TT,389.76454253,72.221531123,141.2772634,415271.52514
99,348.2787612,68.031685985,134.01468633,318892.75227
88,317.91953956,62.803966744,132.51553154,312581.27511
AKs,316.30401679,64.293596296,128.78747404,417802.65691
AKo,295.84337454,62.081573624,124.74862515,1354188.1479
77,288.52556582,56.703519591,133.20205408,352796.2496
AQs,281.31807481,58.45848629,125.97567908,356874.15211
AJs,274.59585614,55.501561187,129.51659455,342783.91661
KQs,272.89323031,52.263506368,136.68814699,395643.29435
KTs,271.88943906,49.985973211,142.39043726,404812.73281
JTs,271.34746169,47.44814381,149.7073673,440354.34265
66,268.3364371,51.963729376,135.18109929,415833.206
KJs,267.5799153,50.625008064,138.36461647,430005.94441
ATs,266.69281029,51.787971746,134.80904822,287168.11292
AQo,266.48428896,57.139681077,122.08728462,1191561.7384
K9s,266.31006547,48.469545163,143.83191876,306257.6431
JTo,266.29185153,46.262962396,150.68189577,2639.5824676
T9s,263.9481721,44.656400383,154.72895159,376778.62285
KTo,263.8143528,48.326565702,142.90555908,226.68957174
QTs,263.37888012,44.720899116,154.1725506,370664.20334
K8s,263.36472446,45.945110559,150.05654423,23716.559214
QJs,262.06024327,45.752279604,149.94260072,386770.7379
A9s,261.8561019,50.375678134,136.0750273,161215.70777
KQo,260.55708702,50.843019261,134.15541114,1070325.6101
KJo,259.83247579,50.499072277,134.69350951,826269.47451
J9s,259.43599314,44.577196863,152.35408736,353522.40456
55,258.96197626,47.803004066,141.81345835,165266.25134
K6s,258.85076773,44.262835874,153.09001275,115.98337402
A3s,258.49984602,45.788980062,147.78690564,92103.119251
A6s,257.76522622,47.755633957,141.2981094,53253.67247
T8s,257.53098122,42.504646239,158.60968905,203206.19928
J8s,256.81668303,42.190774906,159.34644084,522.69249293
QJo,256.57960681,44.64036756,150.46344824,51898.323978
ATo,255.95796091,50.624377721,132.35659346,526049.18829
K7s,255.47152037,43.692414585,153.06400891,821.72771233
Q9s,255.21883866,42.068254704,158.81622563,114807.27887
AJo,254.5333061,53.625933124,124.25285984,1019787.9311
98s,253.93443201,41.068426714,161.86396101,7343.4075416
87s,253.15762736,41.531281425,159.57039592,57328.377292
76s,252.81037481,41.386225512,159.91003183,63442.82517
A2s,251.10859858,43.086001637,152.56749926,230.47388658
A8s,250.43733294,47.674515645,137.51479245,223302.26098
65s,248.56215207,39.839468805,163.32704262,103822.5444
54s,248.40780642,37.89983626,171.57916232,51068.81442
A5s,248.16563881,45.830993504,141.74867693,332795.89655
A7s,247.56222967,46.807790936,138.45316156,256927.14307
A4s,247.55280718,44.807686509,144.62786373,323040.25952

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,536.79159943,82.403823509,283.22429954,2427.3984211
QQ,282.0706265,65.853914483,186.22948049,60966.293454
JJ,205.55448004,60.420039933,147.91700429,271799.19691
AKs,191.41627932,58.809873069,141.51445145,469.09087219
AKo,163.22203958,56.781798753,124.98037351,189751.78767
TT,147.03179703,55.783525931,114.59811334,344203.6229
KJs,110.72296235,45.000841188,106.97670786,437951.44837
KQs,98.773455272,45.599347866,94.178935801,443078.33711
99,98.754299385,51.283406494,83.724258667,723050.96527
KTs,94.456865646,42.221784307,97.267804119,449833.52749
AJs,93.69045618,49.12625273,82.918966304,438733.43266
88,88.369255312,49.261892148,77.994193235,685127.06961
AQs,88.256127646,50.919225645,75.359019948,448115.60363
K8s,87.291042823,37.536799303,101.10778761,47.149002603
JTs,86.883686315,39.790754463,94.935409741,463534.12078
K9s,85.85372813,39.196443973,95.2323836,348496.42288
QJs,83.473567432,39.93416989,90.881707333,317168.25641
22,82.334217215,41.365882535,86.538672819,248559.12677
77,80.632148256,47.251205136,74.193781222,734381.80293
J9s,80.11882475,37.158605022,93.744831404,336823.22066
44,78.562847609,42.529214859,80.315989709,395461.36903
97s,78.072287999,34.133906427,99.445028699,206.37634717
T9s,77.134094018,36.730714195,91.303867489,485672.22648
ATs,76.693424706,45.435941268,73.388965504,450337.62475
76s,75.42994935,34.180396633,95.94865298,391989.95568
87s,75.40372549,34.821340224,94.149818079,311018.47146
T8s,75.328495926,35.399036945,92.520935016,336396.60665
66,75.057063217,45.132540545,72.3059357,785607.98273
65s,74.860373742,33.422692128,97.382905179,347947.34841
KQo,74.201798762,42.794141116,75.388010589,875251.04831
98s,74.108246801,35.101928755,91.792610868,403849.18997
QTs,73.660596367,38.537700626,83.103936474,472131.31866
33,73.299633472,41.481263981,76.828434814,560461.10509
55,73.241074369,43.334064341,73.484788149,674757.83117
54s,72.697559268,32.723607128,96.58970156,401112.27097
A3s,67.545269698,39.109332742,75.090794206,5108.1423357
AJo,66.556394061,46.439929104,62.31181484,674985.22665
Q9s,65.252958504,35.577769755,79.743198404,183871.54648
A7s,64.805131796,40.030463456,70.386755051,53897.050305
A4s,64.789887169,39.404719066,71.4876716,304011.64797
A5s,63.860594108,39.642144177,70.040297455,342364.8556
A9s,62.691203333,41.737923695,65.305224875,467416.86941
A8s,62.477918556,40.810183853,66.562582795,310500.24101
AQo,53.731990149,48.226982391,48.441212137,1134236.0411

Hands EV OOP
Hand, EV, Equity, Matchups
AsAc,478.94597197,83.140484613,150.80321852,117394.74812
AhAc,477.93310905,83.153208007,150.46127784,117056.08735
AdAc,477.20975358,83.288422728,149.98965663,114436.53808
KsKc,477.06563514,81.154431591,153.88721167,117846.60919
KdKc,473.71644287,80.878294673,153.3285791,113020.50578
