Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 366 freq,CALL freq,FOLD freq
2h 2d 2c,81.7655,57.19,318.885,145.961,42.81,61.6153,62.5792,0.00,25.25,40.41,34.34
3c 2d 2c,55.9166,56.19,305.889,142.521,43.81,74.6107,74.0377,6.53,1.07,62.74,29.66
3d 3c 2c,59.8026,56.37,309.431,143.686,43.63,71.0686,70.8289,6.00,1.96,62.15,29.89
3h 3d 3c,84.4871,57.26,319.289,145.965,42.74,61.2108,62.2718,0.00,26.03,37.95,36.01
3h 3d 2c,68.1571,56.45,312.691,145.009,43.55,67.8091,67.6955,0.00,12.77,59.92,27.31
3h 2d 2c,64.9695,56.16,308.652,143.863,43.84,71.8482,71.2612,0.00,12.04,61.31,26.65
4c 2d 2c,58.0925,56.12,311.293,145.218,43.88,69.207,68.5669,2.13,6.54,62.33,29.00
4c 3c 2c,0.00527,49.36,257.485,136.559,50.64,123.014,105.615,0.28,5.34,52.86,41.51
4c 3c 2d,36.1033,56.06,286.033,133.577,43.94,94.4673,93.4654,8.52,0.01,57.96,33.51
4c 3d 3c,56.8803,56.06,307.698,143.678,43.94,72.8021,72.0406,5.34,3.17,61.90,29.59
4c 3d 2c,36.3516,56.06,286.181,133.627,43.94,94.3186,93.3357,8.61,0.01,57.82,33.56
4d 4c 2c,56.9835,56.12,305.514,142.517,43.88,74.9858,74.2958,3.69,3.02,63.11,30.17
4d 4c 3c,51.9061,55.87,299.204,140.203,44.13,81.2956,80.0877,6.88,0.00,62.66,30.47
4h 4d 4c,81.6505,56.70,316.766,146.261,43.30,63.7341,63.9892,0.00,24.36,42.31,33.32
4d 3c 2c,34.3588,56.06,285.52,133.33,43.94,94.9802,93.9799,8.83,0.00,57.52,33.65
4h 4d 2c,62.7212,56.19,311.563,145.14,43.81,68.9368,68.4224,0.00,12.85,58.89,28.26
4h 4d 3c,58.7978,55.70,304.503,143.101,44.30,75.997,74.5935,0.00,10.81,61.94,27.25
4h 2d 2c,61.3401,56.39,318.41,147.823,43.61,62.0901,61.8985,0.00,13.43,60.41,26.16
4h 3d 3c,60.9529,56.21,314.34,146.389,43.79,66.1598,65.6917,0.00,12.59,60.98,26.42
4h 3d 2c,45.1265,55.26,288.046,136.461,44.74,92.454,89.8412,1.17,4.93,66.72,27.18
5c 2d 2c,59.0896,55.71,308.071,144.768,44.29,72.4294,71.0982,1.30,7.12,62.08,29.50
5c 3c 2c,0.76519,53.39,303.62,148.882,46.61,76.8797,71.708,0.07,1.94,56.09,41.90
5c 3c 2d,43.0384,56.57,293.06,135.612,43.43,87.4399,87.5397,8.80,0.01,58.22,32.97
5c 3d 3c,57.6031,55.79,305.654,143.433,44.22,74.8456,73.5982,2.65,5.17,62.27,29.91
5c 3d 2c,43.1872,56.58,293.194,135.66,43.42,87.3061,87.4171,8.79,0.00,58.16,33.05
5c 4c 2c,2.80026,54.01,298.843,144.841,45.99,81.6572,77.2003,0.67,1.68,56.72,40.93
5c 4c 2d,42.8335,56.44,296.427,137.481,43.56,84.0728,83.9209,10.17,0.00,58.22,31.61
5c 4c 3c,0.0019,48.06,267.118,145.497,51.94,113.383,94.9123,0.62,8.67,49.53,41.19
5c 4c 3d,25.549,55.89,281.166,131.683,44.11,99.3339,97.9215,9.52,1.18,57.15,32.15
5c 4d 4c,53.7937,55.61,296.202,139.424,44.39,84.2985,82.5745,3.84,2.44,63.48,30.23
5c 4d 2c,43.8145,56.53,297.993,137.984,43.47,82.5067,82.531,10.15,0.00,58.22,31.62
5c 4d 3c,26.1191,56.02,282.378,131.963,43.98,98.1222,96.9951,9.99,0.75,56.87,32.38
5d 5c 2c,55.0718,55.74,299.537,140.674,44.26,80.9629,79.5338,4.47,0.99,63.39,31.15
5d 5c 3c,48.2527,55.78,295.062,138.48,44.22,85.4384,84.0014,4.83,0.15,63.84,31.19
5d 5c 4c,51.2086,55.72,294.848,138.516,44.28,85.6525,84.1071,5.10,0.57,63.98,30.36
5h 5d 5c,81.4176,56.39,314.869,146.16,43.61,65.6309,65.4389,0.00,24.53,42.24,33.24
5d 3c 2c,41.0002,56.54,291.791,135.108,43.46,88.7097,88.7389,9.10,0.00,57.56,33.34
5d 4c 2c,43.2711,56.49,297.416,137.818,43.51,83.084,83.0289,10.18,0.00,58.03,31.80
5d 4c 3c,25.202,55.98,281.785,131.765,44.02,98.7148,97.5061,9.75,1.01,56.88,32.36
5h 5d 2c,62.6845,55.69,304.782,143.274,44.31,75.7182,74.2922,0.00,12.49,58.08,29.43
5h 5d 3c,57.9532,55.31,299.16,141.589,44.69,81.3399,79.1357,0.00,9.91,61.77,28.32
5h 5d 4c,59.1355,55.59,303.552,142.958,44.41,76.9479,75.3257,0.00,10.89,61.24,27.87
5h 2d 2c,61.8321,56.02,315.855,147.61,43.98,64.6447,63.9003,0.00,14.15,58.59,27.25
5h 3d 3c,61.2418,55.94,312.807,146.394,44.06,67.6928,66.7926,0.00,13.25,59.03,27.72
5h 3d 2c,51.2885,55.66,293.565,138.082,44.34,86.9352,85.2363,2.69,4.21,65.39,27.72
5h 4d 4c,61.487,55.61,304.759,143.465,44.39,75.7408,74.1836,0.00,12.00,60.04,27.97
5h 4d 2c,47.5033,55.92,300.097,140.486,44.08,80.4026,79.3048,7.16,0.33,66.54,25.98
5h 4d 3c,34.5359,54.74,279.085,133.464,45.26,101.415,97.4238,4.87,0.08,68.91,26.15
6c 2d 2c,59.7069,55.31,309.351,146.409,44.69,71.1494,69.2237,0.59,6.82,63.21,29.39
6c 3c 2c,0.00322,51.84,306.626,154.852,48.16,73.8738,66.6864,0.17,3.40,52.93,43.50
6c 3c 2d,35.062,54.52,286.023,137.322,45.48,94.4773,90.3282,3.26,0.18,65.49,31.07
6c 3d 3c,59.4444,55.20,304.254,144.284,44.80,76.2463,74.0002,1.21,6.18,62.15,30.47
6c 3d 2c,35.2721,54.53,286.185,137.387,45.47,94.3155,90.1842,3.17,0.27,65.42,31.14
6c 4c 2c,3.76502,53.43,301.903,147.93,46.57,78.597,73.3715,0.00,0.04,56.74,43.23
6c 4c 2d,45.1113,54.89,297.953,142.101,45.11,82.547,79.5599,3.60,0.77,65.73,29.90
6c 4c 3c,0.0003,90.40,531.583,153.931,9.60,-151.083,-684.432,0.10,2.24,52.50,45.16
6c 4c 3d,34.5554,54.66,290.318,139.048,45.34,90.1821,86.4736,5.36,0.70,62.36,31.57
6c 4d 4c,57.7699,55.17,297.969,141.386,44.83,82.5311,80.0423,0.49,4.80,64.70,30.01
6c 4d 2c,44.2952,54.85,296.903,141.704,45.15,83.597,80.5,3.85,0.49,65.58,30.08
6c 4d 3c,33.3688,54.60,289.125,138.613,45.40,91.3746,87.5129,5.84,0.17,62.37,31.61
6c 5c 2c,0.03899,55.52,318.311,150.086,44.48,62.1893,60.7881,0.14,0.89,55.39,43.59
6c 5c 2d,39.5896,54.68,290.278,138.966,45.32,90.2223,86.5589,3.34,0.01,66.84,29.81
