
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,599.27821113,84.097769174,154.9123993,1948156.0376
QQ,280.28442886,64.081042724,95.08490341,3084843.1564
54s,272.25793634,52.946343569,111.78582677,80387.111104
KK,265.79579801,62.271223783,92.790364007,2900346.0761
65s,253.81050043,49.916783006,110.53636157,201297.19478
76s,251.41382139,49.7526603,109.85378115,142679.3114
87s,250.18479598,51.994276062,104.60382035,147137.4779
98s,229.01907544,50.03490866,99.504040009,33445.598974
K6s,224.93148256,57.376537463,85.223247244,421.05558076
K7s,224.63151342,57.316413139,85.198872409,3075.7272966
T8s,224.33077339,53.927490755,90.43172369,514998.63367
T9s,222.2412464,52.635218857,91.788949461,916501.22173
K8s,220.43691064,57.16592111,83.828033557,88869.950551
J8s,217.29830846,55.399785369,85.268855093,1703.6064298
AKs,216.11853958,56.897247607,82.573926138,862032.70448
AQs,214.75395149,57.907624841,80.620888452,1399592.7298
QTs,214.72300015,56.138442556,83.149640335,959868.29745
K9s,213.0262681,54.860474424,84.414250456,829708.97217
Q9s,212.96093866,56.274629988,82.267722132,512086.66122
J9s,211.75554401,53.616979089,85.856783984,937133.51439
A7s,209.06325041,58.719080292,77.39993963,1043745.467
A6s,208.09948978,58.50389619,77.326507232,288459.59014
QJs,207.88066031,54.434338725,83.020110013,1101939.1969
A5s,206.14861286,58.582543787,76.498753627,1093215.7619
A8s,205.9297851,58.259048701,76.841873639,1037406.885
TT,204.31725615,57.170340223,77.692024646,2991723.8961
A4s,203.81966007,58.491946223,75.751662606,1010773.9956
JJ,202.80531484,57.928569235,76.107717668,3483781.9151
A9s,199.78665292,56.948595656,76.265060742,1191081.2828
JTs,199.00981116,51.668781568,83.73141598,988370.191
KQs,198.84413302,53.442891789,80.884443172,1104111.9355
KTs,196.31051951,51.908104054,82.21490781,1016810.3424
A3s,195.43230418,57.725691705,73.598569828,399381.02295
99,193.41369584,54.984590529,76.469525756,2965286.8341
KJs,192.75243399,50.71684142,82.620884639,1003963.1935
A2s,190.03647008,57.179903456,72.249642982,835.79482577
AJs,188.21277937,56.169017021,72.844111882,1555905.9551
ATs,187.84582949,56.499351697,72.277023828,1286460.3664
AQo,178.011916,55.813103409,69.335407359,2432892.4106
QJo,173.7812271,50.743069431,74.450615728,147000.53927
55,170.00838963,49.374350557,74.853330029,511065.15172
KQo,168.71542971,52.8850804,69.3527684,2253984.5193
JTo,167.90406589,46.895566905,77.834401625,5167.8517167
88,166.77930064,52.37070688,69.230246954,2340845.5997
AJo,165.23273649,56.04022083,64.097106641,3317745.5193
AKo,162.80216964,53.135876019,66.60617771,2070461.7003
ATo,162.11592563,55.805478613,63.15256746,2330125.4943
KTo,159.48538708,48.197134918,71.935264164,659.08824022
66,158.58134982,50.564405642,68.178802943,1532209.7128
77,157.69841364,51.281500041,66.851133075,1890479.5942
KJo,153.57923696,50.278469979,66.403752255,1551696.8042

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,459.62810409,75.326140921,132.64870846,15625.748041
AKo,423.51205783,72.338896653,127.27293741,1141239.6465
QQ,422.30096147,69.465054747,132.1593385,98474.542764
AKs,420.87496745,72.206950205,126.71156707,2969.7196919
AQs,396.62551873,70.748779923,121.87197991,1770502.0151
JJ,396.26997374,66.463466934,129.61353122,559466.46992
99,393.54422976,65.320287291,130.97476599,1149841.1966
AQo,378.53522704,68.027733455,120.96576289,4668776.2448
TT,364.29614502,62.312803926,127.09236167,632928.00093
88,358.00709973,58.230023529,133.6555022,1009011.07
AJs,349.03022895,64.229596376,118.13266938,1284670.4454
A9s,309.81182788,54.806554012,122.88748778,957199.21929
ATs,307.80952983,54.239340524,123.37007518,1059687.5195
KQs,303.46986417,54.118645777,121.90199635,1241040.2372
AJo,281.49751375,52.93345649,115.60762463,2042332.2682
77,271.64050518,45.019611552,131.17013164,1439926.9929
A8s,265.96498636,46.829415286,123.46614824,704021.93118
KJs,255.80793728,45.190011144,123.05910032,1468467.2232
A7s,249.95696521,41.973067558,129.46032744,130494.99504
A5s,248.43755797,42.719932207,126.42380731,1043502.7557
KTs,245.96992055,42.673973672,125.30288899,1620222.6926
66,245.09583138,41.380524459,128.76033634,1940462.8521
KQo,234.84942953,44.121749958,115.71214619,3318348.9543
97s,224.27484779,36.925632838,132.03673965,568.4404343
K9s,224.22118616,39.223339031,124.27227596,1209509.2349
T9s,224.18949185,38.125727655,127.8319105,1486876.0546
J9s,219.0535023,37.299486127,127.67019477,1017384.7077
JTs,211.69482332,36.218499016,127.06383482,1560945.3985
A4s,209.15138412,36.007531821,126.27272657,1187002.7694
T8s,208.26297348,34.787575291,130.14577496,1236024.1153
QTs,203.66903156,35.721162566,123.94858747,1903241.7089
