Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK BET 115
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 230 freq,CALL freq,FOLD freq
2h 2d 2c,6.53934,47.80,66.8461,60.8027,52.20,276.654,153.619,2.81,1.92,78.32,16.96
3c 2d 2c,11.9253,51.09,70.7427,60.1974,48.91,272.757,161.659,6.85,11.65,47.39,34.12
3d 3c 2c,11.3709,51.14,73.023,62.0854,48.86,270.477,160.45,8.28,9.80,48.46,33.46
3h 3d 3c,4.99805,47.89,67.3924,61.1877,52.11,276.108,153.573,3.81,0.66,78.06,17.47
3h 3d 2c,13.7438,50.06,69.6942,60.535,49.94,273.806,158.908,2.43,18.25,48.11,31.20
3h 2d 2c,14.6599,50.20,67.8389,58.7564,49.80,275.661,160.442,2.32,19.30,46.26,32.12
4c 2d 2c,14.3791,50.91,71.6525,61.19,49.09,271.847,160.522,6.36,10.71,49.18,33.76
4c 3c 2c,0.00124,24.00,-28.2329,-51.1471,76.00,371.732,141.774,0.11,10.77,47.56,41.56
4c 3c 2d,7.54057,48.51,56.1199,50.2986,51.49,287.38,161.777,3.95,14.49,44.73,36.83
4c 3d 3c,12.5143,50.75,69.5897,59.6192,49.25,273.91,161.205,7.77,8.46,49.44,34.34
4c 3d 2c,9.23677,48.56,56.4665,50.5588,51.44,287.034,161.734,3.81,15.44,43.58,37.17
4d 4c 2c,10.5191,50.52,67.0527,57.7024,49.48,276.447,161.955,4.05,15.30,45.44,35.20
4d 4c 3c,8.9063,50.26,63.7521,55.1482,49.74,279.748,163.025,3.88,15.53,44.71,35.89
4h 4d 4c,6.96871,48.03,61.5279,55.6938,51.97,281.972,157.275,3.69,1.10,75.70,19.50
4d 3c 2c,7.16082,48.46,57.2452,51.3628,51.54,286.255,160.979,3.52,14.98,44.84,36.65
4h 4d 2c,14.2317,50.30,63.9328,55.2576,49.70,279.567,163.059,0.15,19.90,48.20,31.76
4h 4d 3c,13.0202,50.47,61.9378,53.3571,49.53,281.562,164.774,0.63,21.17,44.91,33.29
4h 2d 2c,17.4565,49.86,67.7258,59.0523,50.14,275.774,159.436,0.00,18.64,51.94,29.42
4h 3d 3c,16.84,49.96,66.2501,57.6513,50.04,277.25,160.607,0.68,18.15,50.46,30.71
4h 3d 2c,2.88652,49.50,58.1446,51.0682,50.50,285.355,163.795,1.17,21.40,41.95,35.48
5c 2d 2c,12.6504,50.54,68.5027,58.9352,49.46,274.998,161.148,3.81,14.21,47.29,34.70
5c 3c 2c,0.00095,49.29,121.281,106.975,50.71,222.22,127.026,0.10,13.50,49.60,36.80
5c 3c 2d,6.56683,48.36,55.9592,50.3115,51.64,287.541,161.393,5.14,15.80,40.94,38.12
5c 3d 3c,11.2393,50.51,67.7184,58.2905,49.49,275.781,161.523,4.81,12.90,47.28,35.01
5c 3d 2c,6.08429,48.38,56.3878,50.6766,51.62,287.112,161.213,5.13,15.89,40.84,38.14
5c 4c 2c,0.00249,48.06,67.3985,60.9783,51.94,276.102,154.069,0.03,16.75,43.48,39.73
5c 4c 2d,6.1647,48.72,58.5131,52.2191,51.28,284.987,161.082,7.86,14.58,38.76,38.80
5c 4c 3c,0.00098,60.73,162.723,116.496,39.27,180.777,133.438,0.12,12.96,49.07,37.85
5c 4c 3d,14.0207,48.38,55.2119,49.6217,51.62,288.288,161.867,5.45,14.58,43.27,36.70
5c 4d 4c,8.17693,49.95,64.6682,56.2865,50.05,278.832,161.488,2.43,19.02,41.10,37.45
5c 4d 2c,5.67177,48.71,59.7825,53.3641,51.29,283.717,160.33,7.77,14.47,39.03,38.73
5c 4d 3c,13.3897,48.40,56.0116,50.3197,51.60,287.489,161.48,5.21,14.97,43.06,36.76
5d 5c 2c,8.75199,49.99,63.2825,55.041,50.01,280.217,162.407,1.68,20.03,41.74,36.55
5d 5c 3c,6.88914,49.80,62.0526,54.1761,50.20,281.447,162.506,0.88,21.49,40.59,37.04
5d 5c 4c,7.15366,49.75,62.9519,55.0204,50.25,280.548,161.815,1.78,20.06,40.75,37.41
5h 5d 5c,7.49218,48.21,59.5224,53.6748,51.78,283.978,158.95,3.05,3.52,72.21,21.21
5d 3c 2c,6.48736,48.35,57.063,51.3183,51.65,286.437,160.731,4.31,16.33,41.64,37.72
5d 4c 2c,6.28115,48.73,59.114,52.7398,51.27,284.386,160.788,7.33,15.09,38.79,38.79
5d 4c 3c,14.7906,48.39,56.1995,50.4956,51.61,287.301,161.354,4.95,15.46,42.86,36.73
5h 5d 2c,11.4683,50.22,60.5772,52.4492,49.78,282.923,164.725,0.00,20.62,46.38,32.99
5h 5d 3c,10.6379,50.60,59.8155,51.394,49.40,283.684,166.46,0.00,22.52,43.48,34.00
