
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,394.26522808,85.149377848,201.31640267,46421.517102
QQ,321.22128746,76.636324135,182.23920694,37748.957245
KK,290.690684,73.018725309,173.08882534,32450.351715
JJ,230.04897931,66.251025677,150.9732028,41640.170115
TT,216.77889554,64.211987463,146.78208453,44231.183092
99,196.33385293,61.422668261,138.97563745,56263.745696
98s,158.78991517,52.091284272,132.53482711,1085.961422
88,157.67916432,56.532714046,121.26811804,66504.174234
T8s,149.49269847,50.705576615,128.18476736,22070.756032
87s,140.70242954,47.814367278,127.94265165,7472.7996882
77,134.26371712,53.28459832,109.55422584,70413.010748
J8s,132.62429367,48.128250909,119.81057963,70.089513395
T9s,130.93118422,48.193924749,118.11987119,30288.585639
76s,123.8326135,44.407962741,121.2401187,8356.3309937
66,119.41778461,50.85035621,102.10503876,70188.744182
65s,109.69827186,41.300619768,115.48228835,15453.394334
J9s,109.44137919,44.810560416,106.18748773,31846.71992
55,109.0072054,48.331081001,98.06202582,31282.366357
AKs,93.536276896,49.026485005,82.95097328,49142.031537
Q9s,90.682050875,41.659254933,94.641583736,18968.081487
54s,86.239329433,36.510614417,102.69715046,6965.6587682
AQs,85.446100085,47.932271266,77.506192209,52976.55729
JTs,77.533530474,40.302848886,83.642302151,26413.651243
QTs,74.53473416,39.617271814,81.79868192,35674.927555
K9s,67.037129625,37.787323582,77.133216474,31322.535801
K8s,64.200173629,35.750773022,78.076966202,3524.8695337
K7s,63.360937926,35.422761691,77.769864816,119.54952572
JTo,62.529601018,37.281292254,72.923392425,328.76643116
QJs,60.642396268,37.583388033,70.154024495,40093.102975
KQs,60.09246404,38.472409724,67.91141617,44378.660223
A8s,59.865080441,38.584426677,67.45803446,33967.290875
AKo,55.15848954,44.705156901,53.644710446,127368.74763
A7s,55.001789128,37.246102626,64.204895744,41278.408182
A9s,53.945176188,39.645961281,59.159681521,33806.52224
K6s,53.432729775,33.288489169,69.788753473,19.279408913
KTs,52.485146071,36.454027634,62.598374467,26439.438628
