Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK BET 230
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
2h 2d 2c,6.79516,45.82,70.6154,67.008,54.18,387.885,155.631,61.52,38.48
3c 2d 2c,14.4457,45.04,82.4494,79.5901,54.96,376.051,148.745,53.41,46.59
3d 3c 2c,13.0598,45.11,81.1963,78.2541,54.89,377.304,149.439,53.44,46.56
3h 3d 3c,5.8562,45.72,69.4369,66.0348,54.28,389.063,155.814,61.37,38.63
3h 3d 2c,10.0381,46.51,80.4194,75.1851,53.49,378.081,153.643,55.58,44.42
3h 2d 2c,11.3329,46.57,81.2666,75.8675,53.43,377.233,153.492,55.37,44.63
4c 2d 2c,14.1267,45.24,83.4918,80.2492,54.76,375.008,148.861,53.27,46.73
4c 3c 2c,9.20947,44.19,115.554,113.702,55.81,342.946,133.576,55.21,44.79
4c 3c 2d,16.2711,42.79,83.3994,84.7389,57.21,375.101,142.537,54.97,45.03
4c 3d 3c,14.2796,45.16,81.587,78.55,54.84,376.913,149.41,52.89,47.11
4c 3d 2c,16.3239,42.83,83.8613,85.1265,57.17,374.639,142.462,54.86,45.14
4d 4c 2c,13.7426,45.61,86.2746,82.2362,54.39,372.225,148.784,53.25,46.75
4d 4c 3c,15.1527,45.13,84.4211,81.3266,54.87,374.079,148.215,53.08,46.92
4h 4d 4c,6.74027,46.08,73.1943,69.061,53.92,385.306,155.346,61.26,38.74
4d 3c 2c,16.5846,43.18,85.7092,86.3073,56.82,372.791,142.621,55.46,44.54
4h 4d 2c,12.9931,46.54,79.3203,74.1065,53.46,379.18,154.182,55.63,44.37
4h 4d 3c,14.2066,46.58,80.0226,74.6892,53.42,378.477,154.029,55.24,44.76
4h 2d 2c,13.3418,47.07,82.338,76.0622,52.93,376.162,154.482,56.08,43.92
4h 3d 3c,12.7299,46.90,81.4237,75.4779,53.10,377.076,154.384,55.72,44.28
4h 3d 2c,16.9749,45.40,81.9925,78.5181,54.60,376.508,149.913,53.59,46.41
5c 2d 2c,13.6451,45.43,85.924,82.2268,54.57,372.576,148.432,53.06,46.94
5c 3c 2c,8.77999,44.71,117.339,114.106,55.29,341.161,134.14,55.75,44.25
5c 3c 2d,15.399,42.54,78.9751,80.718,57.46,379.525,143.586,52.79,47.21
5c 3d 3c,13.5219,45.43,84.7951,81.1511,54.57,373.705,148.875,52.81,47.19
5c 3d 2c,15.2318,42.55,79.0531,80.7707,57.45,379.447,143.592,52.78,47.22
5c 4c 2c,12.4337,45.84,119.603,113.447,54.16,338.897,136.023,56.61,43.39
5c 4c 2d,17.2091,42.38,73.4616,75.3674,57.62,385.038,145.266,52.03,47.97
5c 4c 3c,13.3482,45.96,117.508,111.158,54.04,340.992,137.179,57.35,42.65
5c 4c 3d,20.9013,43.26,84.7722,85.1926,56.74,373.728,143.198,56.58,43.42
5c 4d 4c,13.9273,45.50,86.1638,82.3413,54.50,372.336,148.509,52.28,47.72
5c 4d 2c,16.8952,42.50,73.5489,75.244,57.50,384.951,145.536,52.07,47.93
5c 4d 3c,20.5948,43.34,84.7702,85.0403,56.66,373.73,143.392,56.55,43.45
5d 5c 2c,13.1947,45.62,89.0167,84.8393,54.38,369.483,147.703,53.15,46.85
5d 5c 3c,14.775,45.28,88.2538,84.751,54.72,370.246,147.078,53.14,46.86
5d 5c 4c,14.6413,45.53,86.8533,82.9428,54.47,371.647,148.32,52.48,47.52
5h 5d 5c,6.86478,45.95,75.5876,71.5191,54.05,382.912,154.013,60.80,39.20
5d 3c 2c,15.6619,42.76,81.4483,82.8199,57.24,377.052,143.195,53.53,46.47
5d 4c 2c,17.0309,42.52,74.2434,75.9241,57.48,384.257,145.317,52.28,47.72
5d 4c 3c,20.9954,43.48,85.9512,85.9474,56.52,372.549,143.293,56.83,43.17
5h 5d 2c,12.9214,46.53,80.4133,75.1446,53.47,378.087,153.708,55.31,44.69
5h 5d 3c,14.4663,46.63,81.8271,76.2943,53.37,376.673,153.433,55.28,44.72
5h 5d 4c,13.4744,46.98,82.8162,76.6469,53.02,375.684,154.031,55.17,44.83
5h 2d 2c,13.431,46.92,82.4449,76.4028,53.08,376.055,154.005,55.56,44.44
5h 3d 3c,12.9495,46.89,82.0837,76.1152,53.11,376.416,154.069,55.49,44.51
5h 3d 2c,15.0918,44.80,77.5147,75.225,55.20,380.985,150.046,52.72,47.28
5h 4d 4c,12.9122,46.93,82.3018,76.2449,53.07,376.198,154.109,55.04,44.96
5h 4d 2c,16.2151,44.50,74.8017,73.0825,55.50,383.698,150.296,53.13,46.87
5h 4d 3c,20.6367,45.23,83.7647,80.525,54.77,374.735,148.732,54.39,45.61
6c 2d 2c,12.8015,46.47,90.2739,84.4659,53.53,368.226,149.534,53.16,46.84
6c 3c 2c,2.1762,41.57,110.307,115.363,58.43,348.193,129.553,51.21,48.79
6c 3c 2d,16.8336,44.88,89.0445,86.2709,55.12,369.455,145.701,52.82,47.18
6c 3d 3c,12.4699,46.65,89.6089,83.5082,53.35,368.891,150.33,53.29,46.71
6c 3d 2c,16.8991,44.95,89.2428,86.3295,55.05,369.257,145.807,52.75,47.25
6c 4c 2c,4.28891,45.43,121.92,116.687,54.57,336.58,134.079,52.13,47.87
6c 4c 2d,16.0722,44.75,81.2443,78.9275,55.25,377.256,148.451,51.56,48.44
6c 4c 3c,7.23564,45.27,119.874,115.131,54.73,338.626,134.503,53.09,46.91
6c 4c 3d,18.5471,44.76,84.1997,81.7862,55.24,374.3,147.305,52.97,47.03
6c 4d 4c,12.7156,46.56,91.5088,85.4562,53.44,366.991,149.283,52.62,47.38
6c 4d 2c,16.3157,44.89,82.6041,80.0038,55.11,375.896,148.282,51.58,48.42
6c 4d 3c,18.6496,44.85,85.4465,82.8363,55.15,373.054,147.047,53.20,46.80
6c 5c 2c,2.9246,41.31,108.133,113.8,58.69,350.367,129.784,51.53,48.47
6c 5c 2d,17.6248,45.02,86.4082,83.4555,54.98,372.092,147.116,50.99,49.01
6c 5c 3c,5.93634,45.14,121.492,117.029,54.86,337.008,133.536,53.00,47.00
6c 5c 3d,19.7613,45.08,89.217,86.053,54.92,369.283,146.167,53.25,46.75
6c 5c 4c,5.13637,42.42,107.839,110.523,57.58,350.661,132.397,52.95,47.05
6c 5c 4d,21.7743,45.59,94.6839,90.2951,54.41,363.816,145.364,54.82,45.18
6c 5d 5c,13.258,46.65,95.1715,88.6983,53.35,363.328,148.053,52.08,47.92
6c 5d 2c,17.7313,45.16,87.0571,83.8077,54.84,371.443,147.255,51.12,48.88
6c 5d 3c,19.8904,45.20,89.6864,86.2643,54.80,368.814,146.316,53.50,46.50
6c 5d 4c,21.58,45.61,94.4057,89.9837,54.39,364.094,145.538,54.70,45.30
6d 6c 2c,12.6014,46.65,92.7241,86.4186,53.35,365.776,149.048,53.86,46.14
6d 6c 3c,14.3184,46.66,93.6125,87.234,53.34,364.888,148.705,53.87,46.13
6d 6c 4c,12.9731,46.47,90.9139,85.0606,53.53,367.586,149.281,53.27,46.73
6d 6c 5c,12.891,46.60,93.6651,87.3912,53.40,364.835,148.523,52.86,47.14
6h 6d 6c,7.54948,45.86,74.4857,70.6185,54.14,384.014,154.193,60.31,39.69
6d 3c 2c,17.3539,44.92,90.1049,87.2116,55.08,368.395,145.401,52.98,47.02
6d 4c 2c,16.3958,44.83,82.4439,79.9543,55.17,376.056,148.186,51.80,48.20
6d 4c 3c,18.7297,44.77,85.1229,82.6624,55.23,373.377,146.972,53.34,46.66
6d 5c 2c,17.5261,45.05,86.2346,83.2195,54.95,372.265,147.284,51.22,48.78
6d 5c 3c,19.8132,45.12,88.9443,85.7167,54.88,369.556,146.376,53.35,46.65
6d 5c 4c,22.0406,45.59,95.2953,90.8823,54.41,363.205,145.115,55.01,44.99
6h 6d 2c,11.3794,47.28,87.0532,80.055,52.72,371.447,153.163,55.85,44.15
6h 6d 3c,12.1876,47.25,85.8684,79.008,52.75,372.632,153.578,55.26,44.74
6h 6d 4c,12.3404,47.40,86.826,79.6458,52.60,371.674,153.604,55.43,44.57
6h 6d 5c,11.4168,47.29,89.7392,82.5052,52.71,368.761,152.089,54.48,45.52
6h 2d 2c,12.4167,47.45,86.442,79.2031,52.55,372.058,153.921,56.08,43.92
6h 3d 3c,11.1646,47.15,83.6189,77.1143,52.85,374.881,154.19,55.49,44.51
6h 3d 2c,18.158,48.29,88.8462,79.9916,51.71,369.654,155.407,54.66,45.34
6h 4d 4c,12.699,47.45,84.8175,77.7129,52.55,373.683,154.596,54.89,45.11
6h 4d 2c,17.4719,47.94,83.5107,75.7383,52.06,374.989,156.588,54.45,45.55
6h 4d 3c,18.1057,47.82,83.157,75.6071,52.18,375.343,156.374,55.32,44.68
6h 5d 5c,11.467,47.16,86.8563,80.079,52.84,371.644,152.894,54.31,45.69
6h 5d 2c,17.5466,47.80,85.5733,77.8418,52.20,372.927,155.299,54.11,45.89
6h 5d 3c,18.9592,47.93,90.0331,81.6662,52.07,368.467,153.842,54.14,45.86
6h 5d 4c,21.0443,46.83,93.2609,86.5889,53.17,365.239,149.328,53.57,46.43
7c 2d 2c,10.4157,46.36,91.3342,85.6595,53.64,367.166,148.801,53.93,46.07
7c 3c 2c,3.54218,43.92,120.034,118.815,56.08,338.466,131.213,52.46,47.54
7c 3c 2d,11.9633,44.71,80.9568,78.7204,55.29,377.543,148.453,51.73,48.27
7c 3d 3c,10.5874,46.45,88.1352,82.5035,53.55,370.365,150.342,53.29,46.71
7c 3d 2c,11.831,44.82,80.9783,78.5458,55.18,377.522,148.744,51.82,48.18
7c 4c 2c,5.07178,46.06,126.637,119.545,53.94,331.863,133.744,53.01,46.99
7c 4c 2d,12.5942,44.64,81.0851,78.9664,55.36,377.415,148.219,51.25,48.75
7c 4c 3c,7.72835,44.84,119.31,115.692,55.16,339.19,133.673,53.57,46.43
7c 4c 3d,17.2367,44.62,86.4781,84.2652,55.38,372.022,146.035,52.49,47.51
7c 4d 4c,11.4252,46.55,90.0095,84.0695,53.45,368.491,149.873,52.53,47.47
7c 4d 2c,12.7137,44.85,82.8446,80.3161,55.15,375.655,148.069,51.19,48.81
7c 4d 3c,17.5813,44.76,88.154,85.6278,55.24,370.346,145.748,52.81,47.19
7c 5c 2c,4.48941,46.04,126.556,119.526,53.96,331.944,133.72,52.93,47.07
7c 5c 2d,12.9527,44.98,84.8754,82.0506,55.02,373.625,147.611,50.22,49.78
7c 5c 3c,8.18269,44.94,118.429,114.569,55.06,340.071,134.276,53.54,46.46
7c 5c 3d,17.1581,44.89,84.6989,82.0382,55.11,373.801,147.448,51.47,48.53
7c 5c 4c,8.48539,43.77,112.507,111.76,56.23,345.993,133.763,53.64,46.36
7c 5c 4d,19.34,45.31,88.2544,84.6802,54.69,370.246,147.181,52.39,47.61
7c 5d 5c,11.6896,46.76,94.8572,88.192,53.24,363.643,148.495,51.93,48.07
7c 5d 2c,13.3863,45.21,87.5883,84.2262,54.79,370.912,147.177,50.24,49.76
7c 5d 3c,17.7108,45.06,86.9526,83.8985,54.94,371.547,147.02,51.92,48.08
7c 5d 4c,19.545,45.41,89.2711,85.4776,54.59,369.229,147.031,52.57,47.43
7c 6c 2c,1.34479,40.01,103.816,112.806,59.99,354.684,128.537,50.49,49.51
7c 6c 2d,14.1694,45.73,92.3571,87.8064,54.27,366.143,146.671,50.47,49.53
7c 6c 3c,3.69865,41.22,106.458,112.286,58.78,352.042,130.202,51.73,48.27
7c 6c 3d,20.2816,46.05,96.4852,91.1035,53.95,362.015,145.864,52.98,47.02
7c 6c 4c,9.53115,44.20,113.345,111.491,55.80,345.155,134.472,54.28,45.72
7c 6c 4d,22.9888,45.43,87.9435,84.1641,54.57,370.557,147.621,52.87,47.13
7c 6c 5c,11.5642,43.57,106.303,106.073,56.43,352.197,135.686,54.03,45.97
7c 6c 5d,30.5073,46.63,100.356,93.5705,53.37,358.144,145.886,57.50,42.50
7c 6d 6c,10.7876,47.03,96.0805,88.8171,52.97,362.42,148.749,54.00,46.00
7c 6d 2c,14.0487,45.87,91.9689,87.1739,54.13,366.531,147.201,50.65,49.35
7c 6d 3c,20.1663,46.05,95.9977,90.63,53.95,362.502,146.079,53.00,47.00
7c 6d 4c,22.7769,45.42,86.7258,83.0114,54.58,371.774,148.087,52.85,47.15
7c 6d 5c,29.6719,46.44,98.2488,91.9862,53.56,360.251,146.215,56.79,43.21
7d 7c 2c,9.82494,46.73,92.62,86.1779,53.27,365.88,149.309,54.62,45.38
7d 7c 3c,11.7307,46.75,91.1342,84.7528,53.25,367.366,149.981,54.28,45.72
7d 7c 4c,11.2287,46.59,89.1267,83.165,53.41,369.373,150.358,53.57,46.43
7d 7c 5c,11.2417,46.92,93.5039,86.6427,53.08,364.996,149.489,52.59,47.41
7d 7c 6c,10.8147,46.76,94.6075,87.9596,53.24,363.893,148.597,53.56,46.44
7h 7d 7c,7.54226,45.85,70.6292,66.9696,54.15,387.871,155.728,61.00,39.00
7d 3c 2c,12.0882,44.77,82.4093,80.0359,55.23,376.091,148.027,51.78,48.22
7d 4c 2c,12.6822,44.70,82.2414,79.9914,55.30,376.259,147.915,51.12,48.88
7d 4c 3c,17.5684,44.65,87.6309,85.3387,55.35,370.869,145.651,52.93,47.07
7d 5c 2c,13.1796,44.96,85.9137,83.0839,55.04,372.586,147.157,49.98,50.02
7d 5c 3c,17.6164,44.92,85.7332,82.9892,55.08,372.767,147.114,51.76,48.24
7d 5c 4c,19.6538,45.26,89.4751,85.9458,54.74,369.025,146.562,52.74,47.26
7d 6c 2c,13.8754,45.93,92.0148,87.1095,54.07,366.485,147.338,50.69,49.31
7d 6c 3c,20.2422,46.10,96.0452,90.575,53.90,362.455,146.197,52.99,47.01
7d 6c 4c,22.5003,45.42,86.7469,83.0402,54.58,371.753,148.066,52.84,47.16
7d 6c 5c,29.8832,46.59,100.016,93.3282,53.41,358.484,145.922,57.23,42.77
7h 7d 2c,9.03578,47.06,83.8009,77.424,52.94,374.699,153.863,56.35,43.65
7h 7d 3c,9.97216,47.11,83.999,77.5215,52.89,374.501,153.933,55.67,44.33
7h 7d 4c,10.327,47.22,83.3746,76.7712,52.78,375.125,154.502,55.28,44.72
7h 7d 5c,10.0221,47.44,88.8343,81.4094,52.56,369.666,152.906,54.86,45.14
7h 7d 6c,8.05732,46.20,84.6809,79.698,53.80,373.819,151.041,55.62,44.38
7h 2d 2c,9.91205,47.76,88.0937,80.2009,52.24,370.406,154.132,56.45,43.55
7h 3d 3c,9.15293,47.37,85.0853,78.0877,52.63,373.415,154.255,55.48,44.52
7h 3d 2c,12.9984,47.34,83.6822,76.8616,52.66,374.818,154.723,54.09,45.91
7h 4d 4c,10.8091,47.47,84.5384,77.4319,52.53,373.962,154.757,54.48,45.52
7h 4d 2c,14.2029,47.53,84.5711,77.354,52.47,373.929,154.939,53.61,46.39
7h 4d 3c,16.3475,47.30,80.0661,73.5907,52.70,378.434,156.118,54.21,45.79
7h 5d 5c,10.9924,47.36,86.4537,79.3674,52.64,372.046,153.647,54.10,45.90
7h 5d 2c,13.9991,47.19,85.4631,78.7345,52.81,373.037,153.571,52.55,47.45
7h 5d 3c,15.6866,47.20,80.4204,74.0815,52.80,378.08,155.661,53.64,46.36
7h 5d 4c,16.7536,47.18,83.1115,76.5839,52.82,375.388,154.511,53.71,46.29
7h 6d 6c,8.06459,46.26,85.2476,80.1138,53.74,373.252,151.002,55.48,44.52
7h 6d 2c,13.4923,47.78,92.4603,84.1276,52.22,366.04,152.395,53.74,46.26
7h 6d 3c,19.0225,47.18,91.66,84.4645,52.82,366.84,150.987,52.54,47.46
7h 6d 4c,20.0591,46.42,83.9242,78.6023,53.58,374.576,151.984,53.56,46.44
7h 6d 5c,28.0945,45.38,89.9078,86.1336,54.62,368.592,146.711,54.76,45.24
8c 2d 2c,12.022,46.53,94.6075,88.395,53.47,363.892,147.957,53.91,46.09
8c 3c 2c,4.88868,46.14,126.775,119.471,53.86,331.725,133.884,52.67,47.33
8c 3c 2d,13.2414,44.57,84.3122,82.2494,55.43,374.188,146.75,51.55,48.45
8c 3d 3c,11.0918,46.59,93.8139,87.5531,53.41,364.686,148.429,54.24,45.76
8c 3d 2c,13.1644,44.61,84.4602,82.3097,55.39,374.04,146.812,51.48,48.52
8c 4c 2c,6.33153,47.17,130.193,119.998,52.83,328.307,135.102,52.63,47.37
8c 4c 2d,14.5971,44.35,81.8419,80.2363,55.65,376.658,147.133,49.99,50.01
8c 4c 3c,8.33063,46.96,129.594,119.984,53.04,328.906,134.808,53.13,46.87
8c 4c 3d,15.1106,44.38,81.6591,79.9961,55.62,376.841,147.294,50.36,49.64
8c 4d 4c,11.959,46.29,90.3142,84.833,53.71,368.186,149.016,51.83,48.17
8c 4d 2c,14.8221,44.63,83.7178,81.5536,55.37,374.782,147.15,50.06,49.94
8c 4d 3c,15.3565,44.56,83.1561,81.1416,55.44,375.344,147.174,50.40,49.60
8c 5c 2c,5.82001,46.73,127.156,118.303,53.27,331.344,135.224,52.85,47.15
8c 5c 2d,15.8435,45.11,85.9354,82.8194,54.89,372.565,147.565,49.46,50.54
8c 5c 3c,7.27163,46.94,128.411,118.94,53.06,330.089,135.241,53.34,46.66
8c 5c 3d,16.5,44.96,85.0537,82.2492,55.04,373.446,147.502,50.03,49.97
8c 5c 4c,10.0882,45.56,120.919,115.395,54.44,337.581,134.803,54.42,45.58
8c 5c 4d,19.4281,45.42,91.5433,87.6361,54.58,366.957,146.15,51.76,48.24
8c 5d 5c,12.8319,46.43,92.7543,86.8526,53.57,365.746,148.43,51.67,48.33
8c 5d 2c,15.6825,45.30,87.7492,84.2169,54.70,370.751,147.35,49.47,50.53
8c 5d 3c,16.8021,45.29,88.2137,84.6775,54.71,370.286,147.145,50.21,49.79
8c 5d 4c,19.3366,45.38,91.7044,87.8695,54.62,366.796,145.975,51.84,48.16
8c 6c 2c,2.58516,43.56,118.511,118.294,56.44,339.989,130.951,51.63,48.37
8c 6c 2d,14.2814,45.22,86.9294,83.5896,54.78,371.571,147.443,48.57,51.43
8c 6c 3c,3.48298,44.97,123.312,119.216,55.03,335.188,132.417,52.23,47.77
8c 6c 3d,15.1983,45.34,88.5638,84.93,54.66,369.936,147.125,49.46,50.54
8c 6c 4c,7.19203,44.51,116.276,113.572,55.49,342.224,134.081,53.54,46.46
8c 6c 4d,18.6269,45.31,85.8493,82.3717,54.69,372.651,148.139,49.70,50.30
8c 6c 5c,9.60652,44.33,113.272,111.098,55.67,345.228,134.809,54.56,45.44
8c 6c 5d,21.4227,45.71,91.1351,86.6889,54.29,367.365,147.098,51.68,48.32
8c 6d 6c,11.0198,47.13,95.6133,88.2089,52.87,362.887,149.206,52.86,47.14
8c 6d 2c,14.3714,45.30,88.8583,85.2912,54.70,369.642,146.896,48.96,51.04
8c 6d 3c,15.718,45.47,90.3744,86.4137,54.53,368.126,146.761,49.67,50.33
8c 6d 4c,18.7084,45.28,85.4051,82.0153,54.72,373.095,148.21,49.77,50.23
8c 6d 5c,21.5009,45.73,91.382,86.8803,54.27,367.118,147.061,51.83,48.17
8c 7c 2c,5.77134,44.57,121.295,118.323,55.43,337.205,132.249,52.81,47.19
8c 7c 2d,13.548,46.05,91.8699,86.7364,53.95,366.63,147.738,50.64,49.36
8c 7c 3c,7.0761,44.95,122.098,118.106,55.05,336.402,132.839,53.52,46.48
8c 7c 3d,14.817,46.42,93.0272,87.1299,53.58,365.473,148.287,51.64,48.36
8c 7c 4c,11.3557,43.30,107.489,107.923,56.70,351.011,134.588,54.43,45.57
8c 7c 4d,20.0346,46.05,91.531,86.4285,53.95,366.969,147.857,51.35,48.65
8c 7c 5c,14.159,44.46,110.508,108.063,55.54,347.992,136.215,55.86,44.14
8c 7c 5d,24.189,46.01,86.9151,82.133,53.99,371.585,149.618,53.52,46.48
8c 7c 6c,18.9619,43.12,102.12,102.957,56.88,356.38,136.217,55.00,45.00
8c 7c 6d,32.0214,46.75,101.386,94.2823,53.25,357.114,145.802,60.11,39.89
8c 7d 7c,10.8486,47.05,90.0812,83.2389,52.95,368.419,151.264,57.50,42.50
8c 7d 2c,13.0421,46.06,91.4398,86.3093,53.94,367.06,147.942,51.27,48.73
