
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,278.75104357,85.371556216,141.96309786,7165168.177
KK,202.55817605,75.702821589,116.3348609,11103012.449
QQ,197.41335434,75.192380522,114.14972181,13210787.859
AQs,167.42545049,66.435013688,109.57124878,6266704.3293
JJ,167.02167383,71.183605912,102.01522967,15854526.397
AJs,146.07866479,62.836721972,101.07539184,6673197.4052
TT,145.57734641,66.768472591,94.796984238,15951410.029
ATs,145.54946676,62.148765157,101.82402932,5725760.3333
AKs,145.19540378,61.659867986,102.38172492,4872595.8931
AQo,143.81684322,63.330046573,98.735222307,14216076.275
QJs,139.08101296,57.935428389,104.37483128,6590657.1534
KQs,132.7052584,57.269079286,100.74884939,6631426.3861
QTs,131.989292,55.223616919,103.91686003,6477258.017
AKo,131.63684624,60.028588834,95.343589647,13025649.129
99,128.66357755,61.783166955,90.543571409,15769440.34
AJo,128.4209625,60.216571975,92.723978229,18516717.643
A9s,126.70994878,55.092269684,99.998207358,6645847.5089
A8s,123.03858744,53.961980067,99.134683256,7189920.4684
KJs,122.48875192,53.817755139,98.956151105,5677970.9349
ATo,122.39364952,57.976028583,91.787298175,12548032.976
A2s,119.97736435,53.58729586,97.344101099,4233.5185284
A7s,119.20583019,52.645056477,98.449171283,7732725.843
Q9s,118.34514928,49.575422726,103.79016437,3692691.0761
A4s,117.97256097,52.005228193,98.629348612,6716489.2858
K7s,117.55918574,47.615861743,107.34382951,27363.06476
KTs,117.05047115,50.642247887,100.49220033,6471818.0022
A5s,116.79816666,51.852102844,97.935876861,7947421.1375
QJo,116.65929266,51.953758823,97.628030661,1270922.2337
K6s,114.00465517,46.157179561,107.38793369,4134.3476792
KQo,113.33111925,53.528547979,92.052561738,18311668.362
JTs,113.25172621,48.260586525,102.02918055,6823064.1236
K8s,112.69248577,46.613487164,105.11278157,838108.59672
A6s,112.59562183,50.155260459,97.606148869,2152065.9817
88,112.14961377,56.485322569,86.324551977,14265965.687
A3s,110.95559233,49.558348957,97.342956126,2656468.2188
K9s,108.28703219,46.973680394,100.22914523,7392856.9584
98s,107.56510373,40.350269953,115.90365184,264582.81667
J9s,106.40568683,45.269129926,102.1962255,7855983.5436
T9s,106.35611272,43.392551308,106.56618877,7991213.8464
J8s,106.16776973,43.087305428,107.13108983,16684.782347
KTo,104.82900713,48.386409507,94.195518227,4371.365986
77,103.87520214,52.678204313,85.733999394,11908662.36
T8s,100.49926175,40.6073404,107.60451377,5016535.6876
87s,99.210320943,36.329945186,118.7310411,1577169.0586
JTo,98.327207108,44.678260397,95.686267174,53375.04028
KJo,97.23975758,48.048088004,87.991337899,13724249.743
66,96.954590461,48.49339154,86.927658444,10356463.55
54s,93.341166881,30.206185962,134.35365884,1033529.0041
55,93.195475983,43.87441215,92.353994459,4141492.8395
76s,93.006172083,32.661989835,123.80588668,1634902.9639
65s,87.323826056,29.982790129,126.62891189,2590378.7096

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,378.75333583,87.304617298,188.621597,43096.94884
QQ,205.5494571,65.789392917,135.84154711,1441983.8394
AQs,145.39168584,56.226407125,112.42720224,7638218.5822
AQo,144.7942664,57.033430626,110.38092603,17453236.638
JJ,143.69016664,57.834038444,108.02286539,6704470.2711
AKo,129.47331044,53.726686185,104.77613206,4079253.8147
AJo,129.3725202,54.463694943,103.27782918,14120509.665
AKs,129.34100087,53.727412358,104.66764599,10373.33207
ATs,127.11260213,51.778037031,106.73704899,10559709.675
A8s,125.12633046,49.498819922,109.90717043,6725676.3354
A3s,124.81048835,50.026324216,108.47374971,95339.482274
AJs,122.47257304,52.165841524,102.07626915,10307051.083
A7s,120.07788739,47.660485292,109.54101035,1238305.618
A9s,118.66660137,48.806269767,105.71218565,10407272.043
A4s,114.24994797,47.407490125,104.78067979,5758936.039
TT,113.23241556,51.074756939,96.391031454,8332348.8585
QJs,112.22461363,43.8687895,111.22556795,5843583.8449
A5s,109.29075363,45.283653062,104.93349312,7254750.2329
KQs,107.81141324,45.60204532,102.79040593,9987672.4129
QTs,107.74940235,42.292484199,110.77042914,8675775.3311
KQo,105.87071754,45.931760925,100.21550629,17145662.353
KTs,101.34810662,41.07219991,107.28520576,9872302.8597
KJs,99.169660591,41.693036358,103.41593585,10274506.905
Q9s,96.51804626,39.607619064,105.95024122,3562787.2519
K8s,95.960921002,39.483439796,105.66997147,1008.2787748
K9s,92.178872428,38.590977279,103.85269679,7588908.4099
JTs,89.504815197,37.003097268,105.16724252,9740818.5925
99,85.676897472,44.306242393,84.075793784,15986693.818
97s,81.924969874,30.872916142,115.37475746,4943.7088827
J9s,80.535707954,34.866142615,100.42844597,7229751.9534
T9s,77.274779672,32.9508799,101.96307472,10136323.987
87s,75.231362923,30.593061233,106.91734305,6173346.466
