
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,315.06598273,81.905880718,167.24709958,341177.26923
QQ,212.78598403,72.876867959,126.94788871,496425.75794
KK,199.29859032,71.885772701,120.54062682,414961.79138
JJ,153.52417026,67.117603332,99.451762176,599564.06143
TT,135.87261514,63.714708164,92.718073681,614101.17028
AQs,123.66105341,58.905421998,91.274578081,332079.56864
99,123.26054671,59.916699091,89.443415374,645800.25317
AKs,108.51218011,55.830764124,84.503963873,280311.33202
98s,104.68128774,42.017493573,108.32060529,11210.436364
88,104.35979671,55.735846612,81.40869371,625721.71412
ATs,99.450541953,54.147352644,79.854995592,270467.23868
QJs,99.001830455,49.692463359,86.621332896,305826.00672
QTs,98.992302895,49.007299874,87.823919709,293101.47458
87s,97.301127281,39.020700693,108.41639744,68900.492609
AJs,96.31308527,54.281581586,77.144499555,336456.52481
T9s,95.431284534,42.826870938,96.882779273,330912.65158
77,95.322487119,52.932704072,78.296698314,562090.71434
KQs,95.196405565,49.84101503,83.043536584,317719.74387
T8s,94.612734255,41.589168073,98.910301219,215669.94655
J8s,93.628581079,42.457291577,95.880064925,704.70278142
Q9s,93.47912492,45.671790539,88.989499453,164841.8644
76s,92.889253666,36.41350168,110.91114605,72197.601268
A9s,92.269982247,50.059300419,80.139720791,294634.23714
AQo,91.215986747,55.642390787,71.275019121,730590.93257
A8s,90.33390494,49.00515237,80.145880472,313922.22228
JTs,89.936347728,44.556284009,87.760370398,277097.98521
J9s,89.187552055,43.219467831,89.72159652,328736.33513
66,88.849513687,50.049959924,77.183325223,510671.07466
65s,88.643600886,34.461715062,111.83626807,118197.42714
55,88.568029775,46.847814275,82.197728172,211440.33529
KTs,88.048205576,45.633953332,83.888915415,262793.78039
K7s,87.600413019,42.924234827,88.731077557,1158.530508
54s,85.836775459,33.22795897,112.3160685,49051.569477
A7s,85.437945835,47.554225729,78.114893897,350981.3651
KJs,84.9112424,46.620769718,79.187734784,247278.57659
K8s,84.371313902,42.335015457,86.649737957,35208.842973
K6s,83.81540278,41.49557579,87.820156187,177.11577869
A5s,82.470253466,46.514380683,77.087196294,377269.036
K9s,81.800560921,43.025329173,82.661683138,313643.52921
AKo,79.858893237,53.229654556,65.229162614,738914.14678
A6s,79.488409415,45.348676335,76.20989365,95045.106425
A4s,79.041408159,45.797011645,75.03945869,324436.24535
QJo,74.725250373,44.581997914,72.875242953,60726.662424
A2s,73.089792839,45.03971764,70.555883706,205.64942026
A3s,72.913085978,43.609444926,72.693751969,121689.22744
ATo,70.249666604,50.158281868,60.893898612,586989.81083
AJo,70.035001184,51.188993227,59.485445201,911908.65741
KQo,69.016954761,45.958246587,65.292681648,906040.14353
JTo,68.927252772,40.291151656,74.379533815,2479.546748
KTo,65.78033671,42.171558137,67.818566966,203.17467925
KJo,54.181037044,41.086812059,57.334632325,647085.11247

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,341.85808797,83.668706123,177.64581069,2156.7607036
QQ,232.38837889,69.637536528,145.09190107,56143.27586
JJ,184.99492329,63.669830838,126.32760961,271729.87936
AKs,182.93423684,62.764678312,126.72195071,452.53705306
AQs,173.02458873,62.429665898,120.50053604,403968.75226
AKo,170.21234089,61.103665878,121.11444468,183436.83787
AQo,158.75447518,60.653504214,113.79999516,1021683.8651
TT,158.47458385,58.509967546,117.7611198,335310.11172
99,143.91193858,54.675987897,114.4385506,648401.39226
AJs,140.21807084,55.766205488,109.32136783,414290.64844
ATs,136.01403534,52.745239707,112.11729709,418912.30838
A9s,130.52827111,50.970970897,111.34067337,418150.78477
88,129.05089454,50.825760696,110.39497257,618964.63939
KQs,128.183012,48.516276592,114.87226197,434715.31976
A8s,127.52357798,49.174526277,112.75153642,278715.41604
A7s,126.70373267,47.882889049,115.04857062,48498.219024
A5s,125.15894095,47.267289184,115.12598202,308308.87934
A3s,124.40552776,46.144768649,117.2166672,4627.5081156
AJo,123.9342818,53.263251732,101.16631748,637301.77725
A4s,123.40288717,46.455802313,115.49349388,276763.08361
QTs,119.67554624,42.696729064,121.86611793,445107.03189
QJs,119.34654133,42.687660248,121.5569096,303469.24433
77,119.2783703,47.954391568,108.1447586,664768.7249
Q9s,117.15519404,42.180914758,120.75850223,166755.14395
66,113.74347049,45.730100401,108.14251967,709133.40655
KTs,113.382571,41.604155708,118.49001419,453181.90393
KQo,112.48133084,45.534599276,107.40168406,857591.87483
KJs,112.19305295,42.323865693,115.25314959,447938.46106
JTs,111.65372922,39.733478258,122.17681862,455233.51713
54s,110.71098659,36.824879526,130.71383309,368892.96506
76s,110.45737915,37.778154912,127.12359185,356699.40955
87s,110.36612439,38.23383824,125.5047196,282372.78811
T9s,110.30927556,39.256971074,122.17079739,452334.94937
98s,110.05957287,38.880145632,123.07564035,363569.35093
97s,109.97554266,37.701424006,126.82665069,186.08080692
65s,109.65615991,37.218481372,128.09923862,316446.3178
55,108.92836175,43.955603759,107.74543684,610231.87374
K9s,108.92014255,40.628454232,116.56014144,337416.72347
K8s,108.54455836,38.963324361,121.12232983,45.750676801
T8s,106.7219277,37.823769349,122.67639881,314925.29774
J9s,105.80561983,38.674292642,118.94837697,318141.93981
33,105.22886701,42.303669892,108.15062009,512256.28389
44,105.01366962,42.567462192,107.26060441,365670.06371
22,100.02319687,41.071852155,105.88357764,233919.51281

Hands EV OOP
Hand, EV, Equity, Matchups
AsAc,355.12627026,86.216834241,179.0865178,48347.135228
AdAc,345.85984754,84.677503943,177.58417497,43839.679813
AhAc,338.75189926,84.048563128,175.23611229,39653.021445
AsAd,300.98055879,80.609167965,162.34023477,71542.169946
AsAh,297.31763745,80.202079584,161.17853638,73796.33278
AhAd,285.24443915,78.837251675,157.31055908,63998.930014
Ac8c,258.59610569,73.133220189,153.73737016,44635.202633
QcTc,255.91990323,74.217909612,149.9227393,45598.750747
Ac7c,253.6481821,71.897891462,153.38672117,47890.59479
KcJc,250.63903585,71.109259005,153.24796711,38714.288035
KcTc,249.34162272,70.537506655,153.69043552,41370.658207
KcQc,243.88477885,70.712724966,149.95442535,56204.102617
QcJc,243.72531809,71.380172919,148.45513154,53054.781431
Kc8c,242.34652614,68.161553804,154.58575834,4487.4252934
AcQc,242.29678409,72.618098251,145.06910867,83669.062969
AcTc,241.16746702,72.374448112,144.87906047,53087.610255
Qc9c,240.91676627,70.638022007,148.28617385,23898.9277
JcTc,239.10883483,68.766085031,151.17970279,44311.794337
Kc9c,238.20663535,68.180556601,151.9026941,46068.78691
Ac5c,236.73726592,69.827145089,147.40577739,47782.491431
QsQc,236.3977697,75.944607631,135.33763911,80333.553177
Ac6c,234.12341716,68.934728348,147.66546922,11442.483222
Tc9c,232.67511178,66.172939904,152.87682884,61734.249667
Ac9c,231.06273666,69.608712719,144.32397253,51203.569514
Kc7c,228.44585189,66.072453929,150.32631229,150.45755132
Jc9c,228.16911688,66.843603311,148.41205283,55025.273757
QsQh,227.1674875,72.928394788,135.43212231,101539.15428
AcKc,224.73962846,69.058871095,141.49215067,70430.624056
Ac4c,223.27819832,68.282340508,142.17069422,38640.694791
Tc8c,222.61201313,64.366684597,150.3694534,37891.571702
AcJc,218.96609984,69.496378717,136.98937105,72839.56586
Kc6c,216.07871777,63.851349067,147.13435185,22.607243881
Jc8c,216.04714593,63.723448135,147.40812755,121.54415299
QsQd,215.90252608,71.914548118,130.53083969,93230.385586
KsKh,212.8995761,72.338901263,127.96024196,87797.152824
KsKc,211.49217004,74.080545587,124.12586419,59705.650645
9c8c,206.4387497,59.870731407,149.91628801,2462.7003548
QhQc,203.59366103,73.791356528,119.95847105,70796.613401
KhKc,198.58328418,72.881982366,118.46625947,56002.016705
QdQc,196.37086328,73.103781613,116.79099812,65572.448931
8c7c,195.76626938,58.243870019,146.13687117,15442.656815
KsKd,195.09736234,70.837637633,119.74558015,80037.316474
Ac3c,193.54026136,63.745441965,132.00620645,12956.200162
QhQd,190.17957659,70.033211126,118.06794391,84953.602567
KdKc,189.67621063,72.030601283,114.49011419,54765.033851
7c6c,189.4461027,56.615923731,145.48534284,16141.301995
6c5c,189.35626385,56.390394674,145.99793253,23827.817101
KhKd,186.0068947,69.920401932,115.66375575,76654.620881
5c4c,184.75678155,55.304980855,145.24737955,9633.7512413
JsJh,173.0541227,67.572733573,111.34805259,119495.71485
Ac2c,169.84490469,63.141142048,116.95323895,20.175782534
JsJc,162.13951356,69.266198362,101.77466405,93113.942367
TsTh,155.6163381,64.098848222,105.55459156,120087.1183
JhJc,153.65278808,68.722139248,97.211118233,91103.427558
JsJd,148.50055826,65.360344673,98.783842765,106997.83735
TsTc,148.4121548,66.34881987,97.254214848,95200.435755
9s9h,144.18470417,60.677372645,103.3152872,127131.90871
JhJd,142.27109077,64.944715109,95.245619111,105400.8474
JdJc,136.45966592,67.314339415,88.139154369,83452.291908
9s9c,135.47277805,62.570076463,94.136384642,97580.834438
ThTc,135.13751155,65.37452976,89.87512418,93356.756298
AcQs,132.82045846,62.201459297,92.840306433,56175.81154
AcQh,130.52514849,62.055286675,91.450813621,56355.314745
TdTc,128.34913399,64.825622078,86.083202151,89831.270441
AcQd,128.31897773,61.560560015,90.627602913,46387.170669
TsTd,126.28029149,61.40810562,89.409165137,108151.9831
AcTs,124.24991071,60.367685851,89.487777353,28772.6662
8s8h,123.54248024,56.248216694,95.494799657,121580.55711
9h9c,121.55772539,61.453696068,86.001637551,96196.370637
ThTd,119.28401342,60.902989056,85.156107006,107473.60639
QcJs,119.06787993,55.545035284,93.201207239,3649.6552264
AcTh,118.81730155,59.331044348,87.070262951,30701.848114
AcJh,118.75577964,59.888527523,86.215089612,47483.885812
AcJd,118.70614676,59.296239934,87.039866634,42724.76228
KcQs,118.43238685,56.56786996,91.027542927,57779.4127
AsQc,117.90486482,61.342319489,83.568709389,50940.513596
AcJs,116.94748856,59.582834519,85.337890629,46353.311745
QcJh,116.86299978,54.484547177,93.255799193,3764.2182378
9s9d,116.84203676,57.921621237,87.706256255,116379.92037
7s7h,116.24316596,53.476777448,94.509260567,105175.69954
KcTs,116.21992883,54.435150931,92.8267911,9.4292734764
KsTc,115.47755214,55.391863417,90.640805829,11.287176194
8s8c,115.22830315,58.579599746,85.523394593,91241.418183
5s5h,115.17277648,48.338203631,103.59325843,41641.003508
JcTs,114.97769712,51.814267336,96.479803086,152.0723008
AcTd,113.62292455,57.770128114,85.513522573,28202.425507
KhTc,112.16358903,54.178853774,90.010722716,11.403609826
AhQc,112.11329917,60.448900139,80.638212724,51191.603211
KcTh,112.0868907,53.400193364,91.260775794,9.9857173803
KcQh,111.95640523,55.157976242,88.249608199,55494.358789
AcKh,111.50220344,58.091540026,83.453148022,60064.848173
6s6h,111.04418353,50.655298156,95.311016917,99293.012434
AcKs,110.55306369,58.029541585,82.831172048,61384.058034
9h9d,110.27953974,57.402045433,83.529472881,115966.47327
AcKd,110.01580555,57.782204361,82.781471329,56832.453105
QcJd,109.46040223,52.174380049,91.216185388,3380.5554004
JcTh,108.57455451,49.989403042,94.432670077,158.01599637
9d9c,107.74745316,60.136312143,77.900884,92544.745748
KcQd,107.60035681,53.804414208,86.949676008,52373.920131
KdTc,106.82880577,52.620825051,88.267918285,10.067387135
8h8c,106.68062981,57.856969057,80.168185926,92623.231041
QsJc,105.66221258,53.1487443,86.436835018,3586.4800943
AsTc,105.01194108,59.082791266,77.276927356,40071.238736
AdQc,102.11890101,58.962162682,75.301719202,50119.117878
AsJc,101.44729653,58.794172664,75.020224336,69643.657515
AsKc,101.30065705,57.301098398,76.863734142,55190.581199
QhJc,100.37280246,51.337386276,85.006955088,3629.7376235
JhTc,100.31464182,49.145079117,88.747566277,142.27838264
7s7c,100.13588984,55.531279686,78.401476887,84640.148808
AhKc,99.735155246,57.178523254,75.838109327,55088.662895
QdJc,99.551523551,50.701326165,85.369110403,3345.0914597
AdTc,99.376830819,57.247980674,75.473959498,36009.406832
AdQd,98.688817,56.713668184,75.657566646,88147.123905
AhTc,98.110107218,57.176052119,74.605655296,37853.741881
AdJc,97.980045234,57.654766327,73.888114341,60419.314798
KhQc,97.604865461,52.162689542,81.354888713,49541.05985
AhJc,96.027998691,57.391848479,72.74779413,65975.358571
8s8d,95.872585649,53.341825125,78.144556908,113431.14518
7h7c,95.458342107,55.094874538,75.331194328,84519.894482
KcJh,95.252751142,50.395517262,82.178419584,34599.183168
KcJs,95.248326267,50.416835921,82.139854697,33806.338916
