Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 230 freq,BET 115 freq,BET 69 freq,CHECK freq
2h 2d 2c,18.2345,51.26,91.1888,77.3523,48.74,137.311,122.477,37.27,35.86,0.02,26.85
3c 2d 2c,44.0834,50.64,88.9638,76.3797,49.36,139.536,122.913,32.77,27.05,17.80,22.38
3d 3c 2c,40.1974,50.87,90.326,77.2075,49.13,138.174,122.268,32.49,28.29,15.54,23.69
3h 3d 3c,15.5129,51.63,93.3686,78.6197,48.37,135.131,121.477,37.75,32.22,0.03,30.00
3h 3d 2c,31.8429,51.57,89.5206,75.4812,48.44,138.979,124.756,31.52,43.16,1.39,23.92
3h 2d 2c,35.0306,51.35,87.7284,74.284,48.65,140.772,125.799,32.35,41.85,3.24,22.56
4c 2d 2c,41.9075,50.31,88.5141,76.4927,49.69,139.986,122.489,33.71,34.31,12.08,19.90
4c 3c 2c,99.9947,51.31,105.545,89.43,48.69,122.955,109.801,9.21,0.00,43.26,47.53
4c 3c 2d,63.8967,48.91,82.7262,73.5418,51.09,145.774,124.051,25.46,11.80,40.44,22.29
4c 3d 3c,43.1197,50.27,87.7252,75.8666,49.73,140.775,123.088,33.12,29.02,16.38,21.48
4c 3d 2c,63.6484,48.92,82.9549,73.7287,51.08,145.545,123.883,25.65,14.51,36.94,22.90
4d 4c 2c,43.0165,50.36,88.6228,76.5103,49.64,139.877,122.518,31.95,24.45,22.56,21.04
4d 4c 3c,48.0939,50.00,86.2542,75.0062,50.00,142.246,123.688,31.51,18.52,29.34,20.64
4h 4d 4c,18.3495,50.87,86.9126,74.2907,49.13,141.587,125.288,36.73,37.98,0.01,25.28
4d 3c 2c,65.6412,49.03,83.7585,74.2672,50.97,144.741,123.479,25.27,10.91,41.94,21.89
4h 4d 2c,37.2788,51.07,85.6429,72.906,48.93,142.857,126.95,34.85,38.18,4.61,22.36
4h 4d 3c,41.2021,50.86,83.7199,71.5626,49.14,144.78,128.111,34.48,31.60,13.25,20.67
4h 2d 2c,38.66,50.97,87.3901,74.5419,49.03,141.11,125.137,34.51,45.15,0.01,20.33
4h 3d 3c,39.0471,51.07,87.0298,74.0915,48.93,141.47,125.709,32.60,43.13,1.73,22.54
4h 3d 2c,54.8735,49.28,77.5904,68.4541,50.72,150.91,129.366,30.93,5.26,47.95,15.85
5c 2d 2c,40.9104,50.04,87.1745,75.7439,49.96,141.326,122.989,33.35,30.92,17.28,18.44
5c 3c 2c,99.2348,51.75,107.784,90.5501,48.25,120.716,108.785,8.85,0.00,39.00,52.15
5c 3c 2d,56.9617,48.53,81.8255,73.3146,51.47,146.675,123.89,27.03,11.53,37.69,23.75
5c 3d 3c,42.3969,50.17,87.2988,75.6582,49.83,141.201,123.197,31.89,26.51,21.09,20.50
5c 3d 2c,56.8128,48.55,82.0645,73.4981,51.45,146.435,123.737,26.81,10.71,38.69,23.79
5c 4c 2c,97.1997,51.46,106.207,89.7396,48.54,122.293,109.533,12.79,0.00,41.10,46.10
5c 4c 2d,57.1665,48.07,78.7868,71.2634,51.93,149.713,125.343,30.10,10.78,36.93,22.19
5c 4c 3c,99.9981,50.43,100.7,86.8157,49.57,127.8,112.098,13.35,0.00,52.55,34.11
5c 4c 3d,74.451,48.43,79.5749,71.4388,51.57,148.925,125.557,28.07,18.83,34.22,18.87
5c 4d 4c,46.2063,49.65,85.2372,74.6367,50.35,143.263,123.718,30.14,17.70,31.57,20.59
5c 4d 2c,56.1855,48.17,79.4022,71.6657,51.83,149.098,125.077,30.07,10.09,37.27,22.56
5c 4d 3c,73.8809,48.52,80.3398,71.9866,51.48,148.16,125.14,27.88,18.12,34.30,19.70
5d 5c 2c,44.9282,50.16,87.83,76.1306,49.84,140.67,122.714,29.37,19.48,29.36,21.79
5d 5c 3c,51.7473,49.96,87.069,75.7727,50.04,141.431,122.885,28.55,13.31,35.96,22.17
5d 5c 4c,48.7914,49.65,85.2837,74.6885,50.35,143.216,123.66,30.01,14.66,34.52,20.81
5h 5d 5c,18.5824,50.48,84.823,73.0585,49.52,143.677,126.146,36.94,40.32,0.02,22.72
5d 3c 2c,58.9998,48.68,82.8268,73.9819,51.32,145.673,123.406,26.55,11.00,39.03,23.43
5d 4c 2c,56.7289,48.21,79.4893,71.6916,51.79,149.011,125.09,30.02,11.07,36.37,22.53
5d 4c 3c,74.798,48.57,80.6392,72.1789,51.43,147.861,125.011,28.07,19.77,32.79,19.37
5h 5d 2c,37.3155,50.74,83.3214,71.396,49.26,145.179,128.14,34.63,30.73,14.30,20.34
5h 5d 3c,42.0468,50.80,82.8013,70.874,49.20,145.699,128.742,34.41,25.30,20.81,19.49
5h 5d 4c,40.8645,50.85,84.181,71.9761,49.15,144.319,127.667,32.97,32.62,12.80,21.60
5h 2d 2c,38.1679,50.57,85.4385,73.4597,49.43,143.062,125.831,35.19,43.01,2.81,18.99
5h 3d 3c,38.7582,50.92,86.4034,73.775,49.08,142.097,125.88,33.41,41.80,2.54,22.26
5h 3d 2c,48.7115,49.16,77.9991,68.9844,50.84,150.501,128.708,30.98,6.31,44.15,18.56
5h 4d 4c,38.513,50.72,84.0985,72.0932,49.28,144.401,127.397,33.53,35.74,9.48,21.25
5h 4d 2c,52.4967,49.03,77.8629,69.0526,50.97,150.637,128.485,30.89,17.45,31.01,20.65
5h 4d 3c,65.4641,48.83,76.6847,68.2743,51.17,151.815,129.005,31.52,2.85,50.78,14.85
6c 2d 2c,40.2931,50.47,88.1962,75.9793,49.53,140.304,123.159,31.77,24.65,26.15,17.43
6c 3c 2c,99.9968,51.01,105.966,90.3246,48.99,122.534,108.742,2.18,0.00,39.41,58.41
6c 3c 2d,64.938,49.13,83.8045,74.1577,50.87,144.695,123.68,25.92,0.49,53.06,20.53
6c 3d 3c,40.5556,50.77,88.9396,76.1691,49.23,139.56,123.25,30.75,20.01,29.31,19.93
6c 3d 2c,64.7279,49.16,84.0359,74.3246,50.84,144.464,123.543,26.11,1.21,51.88,20.80
6c 4c 2c,96.235,51.60,109.326,92.1113,48.40,119.174,107.064,4.46,0.00,32.06,63.48
6c 4c 2d,54.8887,49.01,83.1739,73.7855,50.99,145.326,123.918,29.28,1.91,50.79,18.02
6c 4c 3c,99.9997,51.15,106.724,90.7181,48.85,121.776,108.384,7.24,0.00,39.30,53.46
6c 4c 3d,65.4446,49.29,84.8397,74.8381,50.71,143.66,123.17,28.34,0.01,50.45,21.20
6c 4d 4c,42.2301,49.86,87.3961,76.2037,50.14,141.104,122.366,30.11,12.39,39.85,17.66
6c 4d 2c,55.7047,49.04,83.7705,74.2714,50.96,144.729,123.479,29.29,1.22,51.53,17.96
6c 4d 3c,66.6312,49.31,85.2701,75.1925,50.69,143.23,122.842,27.99,0.01,50.96,21.04
6c 5c 2c,99.961,51.13,108.131,91.9421,48.87,120.369,107.097,2.93,0.01,33.32,63.75
6c 5c 2d,60.4104,48.53,82.1404,73.5864,51.47,146.36,123.64,29.18,0.35,52.94,17.53
