
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,315.73795724,81.650776785,168.12745465,1009131.3325
KK,271.14063487,76.746268266,153.60646871,1083543.1101
QQ,244.09628328,74.698043014,142.07710743,1040309.313
JJ,205.79948088,70.710115544,126.54205764,1070160.8503
TT,176.97803795,67.146549512,114.59557279,1029372.786
99,147.39772716,62.599223029,102.37502197,964693.07434
AKs,141.90209897,60.895540245,101.31540753,698114.04481
AQs,126.59134994,58.673911879,93.806115196,688953.76844
88,124.86747602,58.090484033,93.45800413,938303.03605
AKo,121.25534149,58.95663561,89.421170571,2093102.498
77,111.21110278,54.386796528,88.905132254,914887.00326
AJs,109.57687945,54.897253571,86.784162047,679240.49139
KQs,109.44829372,51.184570508,92.969842647,713363.09257
JTs,107.98814506,46.331235247,101.33847537,717452.39988
KTs,107.35558131,48.272862034,96.6927125,667606.57817
ATs,107.29991576,52.932330595,88.135430204,557635.39879
QTs,105.90928519,46.613660244,98.785452719,663765.72675
AQo,105.64023222,56.57057609,81.191564456,1922152.8292
QJs,105.17723422,47.492121683,96.288038201,692596.79812
KJs,104.38268202,49.163047502,92.312777781,677284.58842
T9s,104.22495527,43.800922389,103.45717732,707691.33242
98s,103.59410571,41.641863303,108.16258437,18553.845029
66,101.18617686,50.908897299,86.417094602,926504.32166
T8s,99.909413234,42.033286899,103.34398883,418876.17545
87s,99.052597814,40.160911985,107.23448434,126228.87748
J9s,98.643241854,43.922996003,97.644445793,682258.79702
A9s,98.489475612,50.171190426,85.350797484,455849.97596
J8s,98.393083259,42.343794234,101.02921146,1227.3953661
K9s,97.86163582,45.715004748,93.073461433,619901.22283
Q9s,97.477665366,44.19239329,95.90246303,279649.15918
55,96.637697891,47.266868769,88.891842175,376706.60166
76s,96.5941772,38.739384877,108.41026124,135640.43567
K8s,95.235735025,43.788022072,94.562027139,58925.406679
K7s,94.186278787,43.242998552,94.698696589,1980.2583658
A8s,93.702161809,48.452061308,84.083255185,537224.52347
K6s,92.930807432,42.590618408,94.867603227,293.09917329
65s,92.346523064,36.976497387,108.58427661,222019.98767
JTo,92.318645324,43.370402607,92.548233433,5119.1296574
54s,91.228779334,35.610961302,111.38336405,100120.38995
