Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 152 freq,CHECK freq
2h 2d 2c,100,56.11,153.082,118.621,43.89,75.4181,74.7089,81.77,18.23
3c 2d 2c,100,53.74,125.268,101.345,46.26,103.232,97.0273,55.92,44.08
3d 3c 2c,100,54.16,130.457,104.727,45.84,98.0432,92.9922,59.80,40.20
3h 3d 3c,100,56.39,155.822,120.143,43.61,72.678,72.4577,84.49,15.51
3h 3d 2c,100,54.89,138.028,109.324,45.11,90.4718,87.2063,68.16,31.84
3h 2d 2c,100,54.48,132.507,105.756,45.52,95.9924,91.6794,64.97,35.03
4c 2d 2c,100,53.68,129.631,104.989,46.32,98.8687,92.8093,58.09,41.91
4c 3c 2c,100,51.31,105.545,89.4302,48.69,122.955,109.8,0.01,99.99
4c 3c 2d,100,51.49,101.25,85.4976,48.51,127.25,114.048,36.10,63.90
4c 3d 3c,100,53.57,126.388,102.585,46.43,102.112,95.6127,56.88,43.12
4c 3d 2c,100,51.52,101.577,85.7277,48.48,126.924,113.82,36.35,63.65
4d 4c 2c,100,53.64,125.6,101.803,46.36,102.9,96.5067,56.98,43.02
4d 4c 3c,100,53.04,117.891,96.6309,46.96,110.609,102.416,51.91,48.09
4h 4d 4c,100,55.63,150.48,117.619,44.37,78.0198,76.4434,81.65,18.35
4d 3c 2c,100,51.45,100.856,85.2322,48.55,127.644,114.305,34.36,65.64
4h 4d 2c,100,54.29,132.007,105.726,45.71,96.4934,91.7736,62.72,37.28
4h 4d 3c,100,53.71,124.163,100.51,46.29,104.337,97.9989,58.80,41.20
4h 2d 2c,100,54.29,135.861,108.797,45.71,92.6391,88.1229,61.34,38.66
4h 3d 3c,100,54.20,132.934,106.628,45.80,95.5663,90.7305,60.95,39.05
4h 3d 2c,100,51.98,103.969,86.9677,48.02,124.531,112.747,45.13,54.87
5c 2d 2c,100,53.39,127.885,104.145,46.61,100.615,93.8524,59.09,40.91
5c 3c 2c,100,51.77,108.12,90.81,48.23,120.38,108.511,0.77,99.23
