
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
88,150.82686021,81.529798036,165.17499456,207153.40243
66,147.3872791,79.745217713,165.02028421,248449.30537
77,143.31982675,79.005605108,161.96842091,239507.06231
99,143.29289377,79.787139492,160.35176162,100750.69869
33,135.47306702,73.595872467,164.35445563,376707.63515
44,134.96849813,74.463930464,161.83350364,311047.89138
55,133.64921413,74.896142331,159.32683815,286537.10372
22,120.23039321,66.343225654,161.80787761,502760.48447
AQo,114.35445175,79.077341377,129.11687126,38074.942204
AJo,102.09842035,74.131877488,122.96910178,369640.30415
ATs,100.9728779,71.066457491,126.85922227,240782.07644
A9s,100.75133076,72.070880001,124.81677111,188821.96422
ATo,99.308084327,71.726234829,123.61994554,287543.93415
AJs,99.255870856,70.632781904,125.46768069,4310.3553503
KQo,97.845469977,66.985856633,130.41861545,428091.13194
A8s,97.423047065,68.595624905,126.80817993,195215.15645
A9o,97.34845922,71.334794253,121.84554266,259134.13653
A6s,93.410652818,61.32078914,136.00994012,176805.50074
A3s,93.289146959,58.87558855,141.47439247,188987.22736
KJs,92.487722893,64.190625586,128.64545758,334779.34833
A7s,92.234399842,63.970254706,128.73505521,198090.05489
K8s,90.326341226,59.425635971,135.71334599,222468.84843
KTs,89.829427611,60.740188749,132.04576366,293552.09076
A8o,88.936619761,64.037264096,124.0023248,314830.90057
A4s,87.633840196,57.690760732,135.62743701,235418.6771
A2s,86.728096289,55.156975682,140.39167177,254264.27499
K2s,86.516319594,53.657646113,143.96217411,216810.74211
K9s,86.224933565,59.617633714,129.13385358,297878.9358
KJo,85.943683852,59.467985703,129.03654143,437488.45137
K3s,85.826168159,53.715965045,142.65871835,110659.91311
Q3s,85.651550438,52.776801375,144.90192019,106053.91697
K6s,85.402204843,55.668884832,136.97412628,213164.28004
Q2s,84.801606991,52.043679872,145.48494786,203018.27291
KTo,84.35224581,56.399555692,133.5374087,336397.70233
J3s,84.268415403,50.557690032,148.81941118,36.813058595
K7s,84.19857876,55.561675676,135.30423903,266519.43821
Q6s,84.033571513,53.958951159,139.05009819,179677.12723
K4s,83.067677792,53.674970498,138.17905957,222247.78302
K5s,82.727786703,53.981934892,136.83113697,244506.34121
Q8s,82.626886925,52.288060082,141.09149597,223827.08439
QJs,82.594832366,55.770463731,132.23018262,296878.05817
Q7s,82.59356744,53.382916923,138.1420516,202029.78084
63s,82.478520403,47.736427564,154.26696096,160347.22779
A5s,82.47796004,57.167947438,128.81525234,39040.559108
J6s,82.23166063,51.922954884,141.40398158,169462.25494
Q5s,81.755413945,52.798179803,138.25458677,233775.45932
Q4s,81.624871711,52.482432551,138.86427553,235589.02296
QTs,80.888043279,53.506275858,134.97756301,135997.50149
Q9s,80.548796248,52.754669291,136.32645043,314110.12851
K9o,79.917938376,55.053220534,129.61149489,384811.94003
J4s,79.898665151,49.911967467,142.92783375,142405.98553
T6s,79.770818145,47.407315886,150.23829854,99626.524395
J5s,79.592292042,50.546433361,140.59260316,217408.80262
QJo,79.226364938,52.74724116,134.10715761,568964.26853
86s,78.575504843,45.694702466,153.53355415,312506.28456
J8s,78.515878165,47.715542142,146.91955598,216134.44121
96s,78.380362283,46.455828171,150.64302818,194468.93347
T8s,78.340886251,45.73231485,152.94922222,249814.43196
76s,77.788098631,44.199199032,157.13782379,267945.36216
98s,77.786083004,44.672731477,155.46812905,265912.83708
QTo,77.773317638,50.588927994,137.26415034,628793.67219
85s,77.409883108,46.246027364,149.452766,270865.8274
87s,77.328316396,44.099009589,156.56392351,224947.7717
J7s,77.048334338,46.489709481,147.97501732,114939.81934
JTs,77.039660386,48.85922411,140.78285587,251124.77623
97s,76.762495714,44.70026947,153.32780633,327772.22504
A7o,76.419012536,55.035765654,123.9762187,320565.98761
52s,76.282950021,45.1527539,150.84301825,168384.68522
Q9o,76.151539505,48.793148282,139.34834783,266708.27366
T7s,76.138778696,44.516409963,152.71009604,204955.43745
65s,75.940697031,42.642363808,159.00664907,245763.48317
J9s,75.744241811,48.037879328,140.78220829,137406.34757
JTo,75.564873107,46.571950719,144.86968156,524230.59902
74s,75.436687771,45.172911597,149.10304235,314777.21544
98o,75.181107633,41.682531302,161.04105691,63581.875352
T9s,75.028064939,46.446809041,144.22808602,31578.401252
75s,74.821716177,43.609521942,153.18925949,387081.43727
64s,74.793212742,43.743514394,152.66184064,389550.63824
T8o,74.776178931,41.523132257,160.78855771,4701.084909
53s,74.63995584,43.18782883,154.30925684,429172.02477
43s,73.65476608,43.834092553,150.027479,437943.68478
87o,73.615744734,40.133781296,163.77311429,86723.24432
54s,73.081968269,41.132276832,158.63881703,303103.10447
J9o,72.926692275,44.95692258,144.83446456,452993.51331
T9o,71.812844196,42.755794838,149.96472673,646617.82992
A5o,71.774865077,50.353414012,127.26982315,406315.57825
A4o,69.024206085,47.459413183,129.8557047,232272.77098

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,86.921708008,69.547296031,168.8948015,253190.98817
KK,83.371657736,67.751030091,166.29179246,245973.49572
QQ,73.505251383,65.159611852,152.44323587,250107.19032
JJ,64.500762548,62.733268185,138.94253425,247940.12234
TT,60.076008186,60.720469255,133.70086865,246032.70927
88,55.069676355,56.743550986,131.14879183,233008.46981
99,53.480620368,58.351562273,123.85462495,241721.52453
77,50.762848314,54.097962847,126.8041162,220639.86472
66,49.814369223,52.250348761,128.83495855,216173.17519
55,44.628643439,49.580545478,121.6383907,207527.20302
44,41.030922057,46.89637748,118.23342217,210745.03371
33,37.851158559,44.291492142,115.48541671,230679.80128
22,33.613650282,41.553932656,109.3130032,234901.02224
AJs,33.350671632,53.507622217,84.228140424,170123.79729
A9s,33.204562489,52.111009428,86.106622924,138145.84667
ATs,33.194696144,52.783480887,84.984348774,163617.138
A8s,33.170687956,51.528089631,86.991880188,134974.94034
KJs,32.709778514,51.937658828,85.106653622,150157.69017
KQs,32.449260296,52.757372699,83.117011914,157736.70395
A5s,31.708593713,49.009275111,87.431309411,141503.55257
KTs,31.6543395,50.686724451,84.393171827,145354.20846
A7s,31.431342953,49.811535008,85.270987468,136409.68534
AQs,30.965240627,53.451487182,78.285791421,181301.76067
A2s,30.578687225,45.024758547,91.777394566,146454.64058
K9s,30.109810157,49.702422253,81.865089869,129191.28446
AKs,29.082331452,53.437816158,73.544262722,184547.78047
A4s,28.126696103,46.571774824,81.613915148,158180.34939
QJs,27.802146703,48.364525405,77.681871584,157778.87032
A3s,27.639726138,45.432248264,82.212487154,166431.06186
QTs,27.559360935,47.535666506,78.346181677,153828.73806
A6s,27.431326277,47.534542408,77.984046874,149692.12523
K8s,24.663003126,45.617760563,73.060102452,148903.16997
87s,24.121625351,36.875425969,88.397056193,163476.00337
JTs,23.898097597,43.717685819,73.87107958,174968.4076
85s,23.778244556,34.669006335,92.684406942,24.190171158
K3s,23.602359432,41.935163801,76.058079716,156417.17255
K4s,23.496025663,42.696622068,74.365100782,151152.29301
K6s,23.447655087,43.870265032,72.22664455,158585.05054
76s,23.366611592,35.007784489,90.198516164,167232.74304
K7s,23.209374897,44.241314385,70.893056791,157574.20774
K2s,23.130013111,40.779415017,76.648413083,158838.88972
K5s,22.804035388,43.22482078,71.292982785,152666.46193
T9s,22.75364966,41.349626007,74.361434882,163700.72688
KQo,22.497262239,50.305481871,60.434180525,425697.73417
Q9s,22.373286063,44.442959821,68.029155748,158020.9296
98s,22.367582193,37.877228274,79.801146494,175393.75765
65s,22.165862215,32.961822549,90.87442848,170390.60691
86s,22.020158522,35.369944404,84.130669349,168332.39895
54s,21.909341395,31.030590901,95.413001304,170684.23941
J9s,21.82169794,42.434389104,69.492648822,158192.30644
97s,21.595246312,35.921956306,81.239354109,154639.58715
75s,21.29636374,32.631641886,88.193140939,163436.9615
Q8s,20.847223138,41.976521073,67.113525465,149819.03692
T8s,19.392570598,38.488667143,68.088033255,173138.81693
KJo,18.977493327,48.481257788,52.897268806,413629.10462
Q7s,18.830869532,40.154254038,63.373412352,151018.25974
J8s,18.692058661,39.182719447,64.466017387,161488.68635
Q6s,18.415068058,40.025041105,62.174145031,158336.29909
AKo,18.404328232,51.413909774,48.373512024,529694.90556
T7s,18.392446223,36.50049405,68.094029151,153145.13962
Q4s,18.031984618,38.432430119,63.403606553,154607.54533
Q3s,18.013951572,37.777517316,64.438267862,158808.08159
Q2s,17.955856379,36.569239543,66.352680794,116659.97769
96s,17.876103012,34.034317371,70.978053413,158487.45894
QJo,17.644646343,45.157954501,52.801587102,422855.16486
Q5s,17.601125439,39.099442629,60.832848366,155410.27445
AQo,17.245780003,51.002110002,45.69439992,490226.75706
T5s,16.857372286,32.87400605,69.295578957,12.826593593
J7s,16.166012726,36.991584223,59.056576252,155586.35178
AJo,16.033524715,50.252595849,43.116031967,483110.62063
J4s,15.912908732,34.551683436,62.23699855,85366.859225
KTo,15.690663977,46.528159372,45.571542599,431112.74923
T6s,15.598643171,34.980738501,60.259584077,158661.52416
J6s,15.129355719,35.855354461,57.020982231,159484.06568
98o,14.880128474,34.377852514,58.49196576,141781.86257
J5s,14.531752244,34.852219868,56.345056663,161241.91178
ATo,14.467453002,49.482609804,39.510066755,465316.15292
QTo,13.761428103,42.519308853,43.736657451,474071.11805
JTo,13.701422813,40.056583729,46.223203555,472674.42095
A9o,12.202074537,47.561742074,34.669230342,389278.16453
T8o,11.623034628,35.148284879,44.6872546,322250.89823
K9o,11.620327146,43.850058806,35.81100053,425978.85941
T9o,11.523747939,36.241920847,42.968562335,474048.20236
A8o,10.79845655,45.920686205,31.777636742,427260.27268
J8o,10.691627202,34.760912272,41.564343177,107743.88674
Q9o,10.63543167,39.873382619,36.04460925,463397.94751
J9o,10.487219797,37.225891208,38.070058727,474646.28851
K8o,9.9558211989,40.82432808,32.95537995,452103.99866
Q8o,9.8428902069,35.936123899,37.013460383,15443.656565
K7o,9.7165005125,39.66555611,33.102790899,187331.30169
A2o,9.6110033813,39.944094271,32.515050458,46.735617121
A7o,9.1308904533,44.266167877,27.874654041,442614.88278
A5o,8.6519781968,42.757819106,27.344384425,484901.59109
A4o,8.5864307858,42.299519507,27.431245037,475338.24429
A3o,8.4495261889,41.610788598,27.440668678,505689.9139
A6o,8.2412843689,43.230864002,25.761388364,455893.31648

Hands EV OOP
