Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12 RAISE 50
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 975 freq,CALL freq,FOLD freq
2h 2d 2c,5.54882,58.48,86.532,132.123,41.52,23.968,78.001,0.00,70.78,29.22
3c 2d 2c,9.91439,54.37,86.6998,142.369,45.63,23.8002,70.4904,0.00,65.96,34.04
3d 3c 2c,10.1809,54.03,86.1052,142.296,45.97,24.3948,71.7087,0.00,65.17,34.83
3h 3d 3c,4.97501,58.91,86.862,131.653,41.09,23.638,77.7376,0.00,70.81,29.19
3h 3d 2c,9.33137,51.70,86.1721,148.833,48.30,24.3279,68.0587,0.00,69.91,30.09
3h 2d 2c,8.90802,52.34,87.3063,148.922,47.66,23.1937,65.769,0.00,71.00,29.00
4c 2d 2c,8.73709,54.25,86.1441,141.769,45.75,24.3559,71.9474,0.00,65.87,34.13
4c 3c 2c,4.78387,56.86,88.0183,138.205,43.14,22.4817,70.4288,0.00,57.18,42.82
4c 3c 2d,6.26277,54.49,85.1155,139.463,45.51,25.3845,75.3791,0.00,63.62,36.38
4c 3d 3c,8.69786,53.92,86.2164,142.772,46.08,24.2836,71.2107,0.00,65.05,34.95
4c 3d 2c,6.57148,54.53,85.1499,139.425,45.47,25.3501,75.3374,0.00,63.80,36.20
4d 4c 2c,7.12503,53.63,86.6805,144.306,46.37,23.8195,69.4189,0.00,64.07,35.93
4d 4c 3c,6.93523,53.66,86.9031,144.591,46.34,23.5969,68.8175,0.00,64.22,35.78
4h 4d 4c,8.04267,57.96,87.4586,134.724,42.04,23.0414,74.0679,0.00,70.09,29.91
4d 3c 2c,6.35405,54.62,85.1804,139.247,45.38,25.3196,75.3952,0.00,63.74,36.26
4h 4d 2c,6.2848,50.29,87.0155,154.484,49.71,23.4845,63.8439,0.00,67.56,32.44
4h 4d 3c,7.05368,50.98,86.8354,152.072,49.02,23.6646,65.2416,0.00,67.62,32.38
4h 2d 2c,7.45186,52.13,86.5066,148.174,47.87,23.9934,67.7278,0.00,70.39,29.61
4h 3d 3c,8.51338,52.13,85.8862,147.106,47.87,24.6138,69.4815,0.00,69.51,30.49
4h 3d 2c,6.22429,52.58,85.671,145.488,47.42,24.829,70.7503,0.00,66.42,33.58
5c 2d 2c,8.27444,53.59,86.487,144.098,46.41,24.013,69.9184,0.00,65.91,34.09
5c 3c 2c,3.91455,57.45,88.8569,138.099,42.55,21.6431,68.7351,0.00,56.99,43.01
5c 3c 2d,4.29948,54.62,86.6328,141.618,45.38,23.8672,71.0721,0.00,63.04,36.96
5c 3d 3c,8.18442,53.65,86.3713,143.75,46.35,24.1287,70.343,0.00,64.98,35.02
5c 3d 2c,4.4521,54.60,86.6388,141.679,45.40,23.8612,71.0233,0.00,63.11,36.89
5c 4c 2c,5.17646,57.70,89.1663,137.98,42.30,21.3337,68.1524,0.00,57.26,42.74
5c 4c 2d,6.88238,54.73,85.6737,139.754,45.27,24.8263,74.1169,0.00,63.23,36.77
5c 4c 3c,4.63402,57.09,86.8977,135.906,42.91,23.6023,74.328,0.00,58.77,41.23
5c 4c 3d,5.3282,55.81,85.4472,136.706,44.19,25.0528,76.6077,0.00,64.49,35.51
5c 4d 4c,6.84935,54.40,85.6521,140.566,45.60,24.8479,73.6445,0.00,64.40,35.60
5c 4d 2c,6.49896,54.86,85.8486,139.71,45.14,24.6513,73.8052,0.00,63.25,36.75
5c 4d 3c,4.73214,55.91,85.5723,136.646,44.09,24.9277,76.4094,0.00,64.37,35.63
5d 5c 2c,6.61648,52.68,86.5092,146.621,47.32,23.9908,68.5125,0.00,63.58,36.42
5d 5c 3c,6.47289,53.38,86.4272,144.555,46.62,24.0728,69.7825,0.00,63.74,36.26
5d 5c 4c,6.96752,54.23,85.4723,140.722,45.77,25.0277,73.8948,0.00,63.94,36.06
