
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
99,34.384267469,60.464674538,113.73340792,1038944.0308
AQo,29.978381143,59.719308481,100.39761647,189200.63637
AJs,29.213474033,59.484619171,98.221941874,12316.797401
88,29.192967328,56.997590044,102.43579529,2271604.2475
ATs,25.898011604,57.927045136,89.415959484,1681408.5258
77,25.350659072,54.147625854,93.635348447,2677464.2949
KJs,24.854065253,54.005269906,92.043110965,1722674.0949
KQo,24.23908074,53.670880377,90.324885933,2835422.1155
KTs,23.841439208,52.846321173,90.22932412,1602710.6691
66,23.28835929,51.864833769,89.804044851,2689386.7539
QJs,23.064679315,50.928784158,90.576202423,1140358.6605
AJo,22.218309682,57.419651938,77.389217565,3732389.971
QTs,22.177110918,49.70758891,89.230282154,449143.62085
JTs,21.363066703,47.271067123,90.385379486,851260.30033
A9s,21.247983689,54.518109838,77.948350567,1702581.3352
55,20.082576554,49.514558311,81.117866094,2863352.3556
A8s,20.075210087,52.909968057,75.884415828,1720135.5644
KJo,19.942865737,51.65201806,77.220083498,3122870.9338
ATo,19.485203049,55.76808831,69.879401067,3456580.5929
K9s,19.260266886,49.597350639,77.666514998,1740283.433
A5s,19.118364613,49.521837234,77.211855138,163827.37859
A3s,19.108226924,48.491612224,78.810441836,1761063.8954
44,19.063997902,47.712073047,79.912679052,2876446.1657
33,19.033097751,46.054713369,82.654288166,2855522.3401
KTo,18.794348914,50.399650359,74.581267051,2670683.58
A2s,18.70995743,48.067785451,77.848218945,1767304.1496
A7s,18.657728915,51.133779575,72.976138553,1745905.3786
A6s,18.59503293,49.834724822,74.626810909,1748295.7768
QJo,18.396473508,48.426711425,75.976554951,3700129.8979
Q9s,18.371141952,46.423171707,79.146431735,1632256.4692
A4s,18.20196543,48.785538322,74.620332403,1759256.9612
T9s,18.051553069,42.699867903,84.550861423,79474.235688
K8s,17.939752749,46.993992905,76.349131622,1758018.9743
22,17.896727344,44.293683894,80.809387574,2896902.6315
J9s,17.66891717,43.925150363,80.450115819,462350.59745
T8s,17.198587758,40.931950743,84.035026162,1372300.6188
QTo,17.108671614,47.097613354,72.65196852,4349083.009
Q8s,16.951520207,44.291496796,76.545257821,1385578.3879
K7s,16.896616457,45.726691398,73.90264172,1782870.408
K3s,16.878635391,43.512451638,77.580714283,833291.59097
K6s,16.877942493,45.068821404,74.898530592,1461053.0483
K2s,16.718053358,43.275887727,77.262670905,1666894.6885
JTo,16.665900673,44.536831278,74.840980802,3602568.1818
98s,16.651493408,39.538350047,84.2295816,1418011.7495
J8s,16.445537944,42.031710727,78.253003074,1232931.5681
87s,16.086576667,37.898274051,84.893452644,1072065.8156
K5s,15.984016786,44.114748181,72.465637662,1755024.3948
K4s,15.863496274,43.657230125,72.672939757,1631941.6994
76s,15.591931488,36.537134944,85.348407922,1166708.9499
Q3s,15.19674802,40.320446233,75.379860292,856190.69991
65s,15.153321166,35.391554575,85.632413427,906284.78523
Q6s,15.134425655,41.820296615,72.378375477,1306457.1635
Q2s,15.078877009,40.087217762,75.230349479,1767899.9324
54s,15.038795907,34.691604854,86.699914696,946254.70551
Q7s,15.023077334,42.141182468,71.298793505,1422777.0811
T7s,15.00323256,38.810006734,77.316310006,1107500.4792
A9o,14.739504702,52.039234952,56.647661003,4238888.9439
97s,14.670793871,37.651040162,77.930350968,1790960.3627
86s,14.669968544,36.533893403,80.308815608,1846385.4429
J7s,14.461866749,39.880238227,72.526481243,695943.99117
K9o,14.275557678,46.856701031,60.932832931,3567245.6364
Q5s,14.201381481,40.824376032,69.573048561,1672169.6001
Q4s,14.090107122,40.401095024,69.751114981,1812729.6759
J3s,14.088693174,37.336145044,75.46945812,182.14852712
T6s,13.907573174,37.49865266,74.176388683,702737.11332
Q9o,13.895786855,43.522166417,63.856135845,2320887.7581
A8o,13.646586746,50.303865128,54.256613129,4671774.5292
T8o,13.638676925,37.692509809,72.368101748,23955.879387
53s,13.471133112,33.535582899,80.339340767,1901535.4494
63s,13.414476779,33.237001048,80.720139336,1155922.4433
75s,13.364540222,34.837101467,76.725902324,1889147.8581
96s,13.356596058,36.252947578,73.685572902,1340730.5718
J6s,13.287895098,38.514346426,69.002313847,1515574.4913
43s,13.268913762,33.190521005,79.956043836,1906469.388
64s,13.238940192,34.076302093,77.701742146,1891914.9953
52s,13.236084558,32.491382538,81.474431209,751901.29646
T9o,13.095339693,39.622084578,66.101215183,4308496.7188
J9o,12.940967354,40.883157704,63.307083311,3447344.7722
98o,12.894530721,36.158251388,71.322756083,403127.95176
J4s,12.630033303,37.358219135,67.615821074,1106504.2761
85s,12.553028403,34.758676474,72.229610999,1852721.6831
J5s,12.497737251,37.721267893,66.263611746,1724913.3509
87o,12.418262072,34.353595597,72.296723858,518220.46621
A7o,12.282937388,48.370086465,50.787328637,3473670.4692
A5o,12.110382349,46.573766932,52.005165768,3486262.2154
74s,12.057545907,33.551207868,71.875480338,1888397.5857
A4o,11.773195663,45.814378512,51.395199696,1742862.8578

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,81.486505277,84.293191746,155.91988451,1739712.9675
KK,78.612932655,81.356857286,155.85048009,1751009.1387
QQ,74.047967973,78.799667748,151.56435277,1757704.5077
JJ,68.529061533,76.07183647,145.29785205,1747884.8634
TT,64.754996743,73.451283954,142.19430555,1739645.3721
99,61.3407727,70.807587282,139.72617054,1670213.6971
88,59.220472822,67.631495336,141.23137626,1626376.1276
77,56.652269396,64.613243273,141.41780141,1557991.7833
66,54.997122155,61.868695236,143.37628326,1527952.2179
AQs,52.986181483,67.025322856,127.50641011,1256983.9042
AJs,52.44330552,66.381174205,127.42464661,1188620.825
AKs,52.298413648,66.913247342,126.06215275,1257628.1414
55,52.055461293,58.925495547,142.48572822,1490237.3736
KQs,51.622715951,63.061398534,132.03393362,1133207.4868
ATs,51.279337677,65.073500156,127.10029268,1144721.2071
A9s,50.696268763,64.37707656,127.0144278,966881.49397
KJs,50.397584437,61.973498896,131.16320356,1091192.3532
44,49.528315702,55.5665246,143.76349923,1518307.4827
A8s,49.517171557,62.588614724,127.60532581,952269.72571
KTs,49.427186079,60.694964581,131.34741641,1064024.4291
K9s,48.253912391,59.771776588,130.21010148,937924.70119
AKo,47.97188499,65.217881025,118.63925481,3660796.6832
QJs,47.551664196,58.015266965,132.20008557,1138896.9668
AQo,47.436115119,65.008336305,117.69238754,3447852.8077
QTs,47.204974604,57.236429209,133.02202262,1126030.4671
KQo,47.20291264,60.88752412,125.03995057,3112034.6671
A7s,47.092614257,59.575351181,127.49539523,976815.43017
33,46.527792966,51.793479402,144.8924232,1676765.8904
A5s,46.269887693,57.699583863,129.34036283,1013808.3565
AJo,45.113517208,63.369195742,114.82509219,3396988.5098
KJo,44.213123119,58.693189207,121.49874605,3028218.4978
22,44.124296535,48.819327473,145.77878046,1719999.1738
A6s,43.996485887,56.352218967,125.9259623,1068696.0672
JTs,43.783652687,51.904197135,136.05603892,1268844.3811
ATo,43.492146121,62.148258017,112.87303138,3268440.7878
K8s,43.314817338,54.384458527,128.46061265,1078795.1486
Q9s,43.247382853,53.465593721,130.46491857,1128516.6121
A2s,43.116303187,52.070598671,133.55410975,1041604.6637
A4s,43.093990677,54.4412514,127.6723712,1124401.0584
QJo,42.579056766,54.738708472,125.46130504,3074474.8397
J9s,42.191425382,50.770252896,134.03653167,1138896.4503
A3s,42.136731182,52.69898151,128.96353535,1183442.3225
T9s,42.060790663,48.919337556,138.67723548,1176970.4796
KTo,41.902667966,56.444948129,119.73604472,3146112.1803
K7s,41.852155583,52.418978635,128.77678754,1135332.1512
K6s,41.714104313,51.699717299,130.13768145,1135694.7397
A9o,41.219031672,60.131854553,110.56088265,2726469.7833
Q8s,41.027673425,50.075195968,132.1485928,1074382.9808
K5s,40.915098879,50.745585604,130.04499639,1104828.2861
K4s,40.856057408,50.102867299,131.52314496,1096262.548
K3s,40.42633049,49.007739003,133.0478822,1137935.4112
87s,40.197010281,43.291052813,149.76278777,1186281.8014
K2s,39.885239915,47.881772165,134.35390799,1152906.0131
98s,39.646667788,44.116417475,144.94884677,1254086.6936
Q7s,39.579682465,48.368607433,131.9827072,1084654.601
76s,39.371729576,41.322281825,153.67687077,1206563.9959
QTo,39.281058256,51.225773825,123.68099268,3430086.2956
Q6s,39.234946523,47.914423189,132.0733249,1131747.171
T8s,39.183997731,45.333737295,139.41051436,1252538.8206
J8s,38.99411026,46.577195898,135.03115637,1164861.3194
85s,38.82949619,40.959982478,152.90099231,181.65600177
97s,38.747167638,42.67122738,146.45801284,1110577.2606
86s,38.727357507,41.785318054,149.48666843,1222612.1616
JTo,38.465060921,47.897372731,129.52781604,3430929.9451
Q5s,38.282239445,46.6034422,132.49138814,1115298.9314
K9o,38.277884126,53.024494387,116.43396792,3039697.5056
65s,38.181565215,39.006261983,157.88021351,1226024.8905
A8o,38.08890018,56.332321193,109.05588242,2972955.4479
Q4s,38.064240806,45.768318457,134.14068695,1113785.0205
T7s,38.001121502,43.548302501,140.74516786,1111784.2185
Q3s,37.682162394,44.805227659,135.64863847,1152584.1098
54s,37.49995733,37.016950941,163.39487885,1244004.542
75s,37.382681744,38.788476739,155.44474298,1184221.5117
J7s,37.362895456,44.352904493,135.87099942,1113184.78
Q2s,37.149997961,43.482775794,137.80019894,847561.7711
96s,36.62346733,40.659172277,145.28113901,1137841.859
T6s,36.364712634,41.860796583,140.11382272,1148444.6198
Q9o,36.328798198,48.009125992,122.04936998,3311649.2014
J6s,36.257586889,43.127035608,135.59934744,1151485.0187
T5s,36.217849192,39.484498777,147.94637795,93.717343838
J4s,35.794959345,41.042982154,140.66669224,617903.68276
A7o,35.774793029,53.253268226,108.35255938,3102407.4376
98o,35.420661095,40.650201678,140.54075055,1033390.1153
J5s,35.374229994,41.511961425,137.44281819,1165956.7903
T9o,35.152489389,42.851449173,132.31189289,3415139.9331
J9o,35.07068607,44.347508525,127.55084688,3407520.6836
T8o,34.964451253,41.892885012,134.61540354,2343594.5319
K8o,34.894090076,48.606606733,115.78835518,3238528.4867
A6o,34.568146541,51.467240275,108.33119236,3193757.7034
A5o,34.187563103,50.431444265,109.33898804,3410467.1623
K7o,34.045367453,46.743774172,117.47421761,1338400.7821
