Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 50 freq,CALL freq,FOLD freq
2h 2d 2c,99.9981,46.04,15.8196,68.7158,53.96,44.6805,133.561,5.55,94.45,0.00
3c 2d 2c,62.6646,45.58,16.8666,74.0107,54.42,43.6334,129.318,15.82,66.47,17.71
3d 3c 2c,64.0488,45.74,16.9068,73.9312,54.26,43.5932,129.574,15.90,65.28,18.82
3h 3d 3c,99.9989,46.64,15.9033,68.1986,53.36,44.5967,134.797,4.98,94.90,0.12
3h 3d 2c,67.8109,45.54,16.4106,72.0702,54.46,44.0895,130.577,13.76,73.21,13.03
3h 2d 2c,66.331,45.44,16.4098,72.2243,54.56,44.0902,130.342,13.43,75.77,10.80
4c 2d 2c,55.8714,45.68,16.8466,73.7578,54.32,43.6534,129.62,15.64,67.31,17.05
4c 3c 2c,46.657,47.43,18.6256,78.5466,52.57,41.8744,128.465,10.25,66.13,23.62
4c 3c 2d,39.5975,46.39,17.2281,74.2772,53.61,43.272,130.184,15.82,62.94,21.24
4c 3d 3c,55.4386,45.79,16.878,73.7123,54.21,43.622,129.798,15.69,65.94,18.37
4c 3d 2c,41.2578,46.39,17.2352,74.2996,53.61,43.2648,130.175,15.93,62.78,21.29
4d 4c 2c,43.2492,45.78,17.1763,75.0325,54.22,43.3237,128.885,16.47,62.95,20.58
4d 4c 3c,41.9063,45.70,17.0116,74.4455,54.30,43.4884,129.181,16.55,62.84,20.61
4h 4d 4c,89.2447,46.27,16.9502,73.2728,53.73,43.5498,130.72,9.01,90.39,0.60
4d 3c 2c,39.85,46.36,17.2132,74.2532,53.64,43.2868,130.168,15.94,62.71,21.35
4h 4d 2c,44.3571,45.44,16.6751,73.3934,54.56,43.8249,129.556,14.17,70.30,15.53
4h 4d 3c,49.2508,45.53,16.498,72.4778,54.47,44.002,130.283,14.32,70.12,15.55
4h 2d 2c,56.3927,45.53,16.3478,71.8044,54.47,44.1522,130.748,13.21,75.85,10.93
4h 3d 3c,62.934,45.84,16.3952,71.5334,54.16,44.1049,131.343,13.53,73.33,13.14
4h 3d 2c,41.7578,46.39,17.0777,73.6332,53.61,43.4223,130.63,14.91,65.36,19.73
5c 2d 2c,52.8514,45.43,16.8016,73.962,54.57,43.6984,129.165,15.66,67.54,16.80
5c 3c 2c,34.8073,47.65,18.9444,79.5084,52.35,41.5556,128.042,11.25,65.04,23.71
5c 3c 2d,25.9427,46.28,17.4662,75.4881,53.72,43.0338,129.194,16.57,61.80,21.63
5c 3d 3c,51.9378,45.69,16.8328,73.6869,54.31,43.6672,129.677,15.76,66.24,18.01
5c 3d 2c,26.775,46.28,17.4666,75.485,53.72,43.0334,129.2,16.63,61.70,21.67
5c 4c 2c,51.5418,47.60,18.7543,78.7918,52.40,41.7457,128.507,10.04,66.58,23.38
5c 4c 2d,46.9725,46.70,17.2779,73.9951,53.30,43.2221,130.794,14.65,65.49,19.85
5c 4c 3c,40.4191,47.42,18.372,77.4843,52.58,42.1281,129.231,11.46,66.45,22.08
5c 4c 3d,32.4675,46.49,17.1771,73.894,53.51,43.3229,130.587,16.41,63.26,20.33
5c 4d 4c,41.5615,46.15,17.072,73.9828,53.85,43.4281,130.077,16.48,64.61,18.91
5c 4d 2c,43.938,46.69,17.3038,74.1149,53.31,43.1962,130.702,14.79,65.25,19.96
5c 4d 3c,28.8341,46.52,17.2225,74.0395,53.48,43.2775,130.526,16.41,63.28,20.31
5d 5c 2c,39.9359,45.62,17.1451,75.1717,54.38,43.3549,128.58,16.57,62.46,20.97
5d 5c 3c,38.3397,45.73,17.015,74.4205,54.27,43.4851,129.229,16.88,62.20,20.92
5d 5c 4c,42.2789,46.28,17.0615,73.7276,53.72,43.4385,130.427,16.48,64.14,19.38
5h 5d 5c,90.1782,46.22,16.9689,73.4289,53.78,43.5311,130.549,9.26,90.24,0.50
5d 3c 2c,27.4267,46.29,17.422,75.2756,53.71,43.078,129.359,16.42,61.85,21.73
5d 4c 2c,46.1673,46.73,17.2916,74.012,53.27,43.2084,130.817,14.73,65.29,19.98
5d 4c 3c,30.3309,46.55,17.2046,73.9166,53.45,43.2954,130.651,16.33,63.35,20.32
5h 5d 2c,43.9575,45.29,16.6264,73.4211,54.71,43.8736,129.344,14.25,69.73,16.02
5h 5d 3c,45.6409,45.51,16.5371,72.6808,54.49,43.9629,130.121,14.32,69.84,15.84
5h 5d 4c,41.3773,46.07,16.6256,72.179,53.93,43.8745,131.21,14.25,70.50,15.25
5h 2d 2c,57.2831,45.33,16.3123,71.9666,54.67,44.1877,130.372,13.16,76.54,10.30
5h 3d 3c,59.483,45.67,16.323,71.4871,54.33,44.1771,131.141,13.40,74.03,12.58
5h 3d 2c,25.616,46.05,17.1387,74.4383,53.95,43.3613,129.629,14.89,65.21,19.90
5h 4d 4c,40.6155,45.94,16.5913,72.2334,54.06,43.9087,130.999,14.29,71.19,14.52
5h 4d 2c,45.6115,46.73,16.9783,72.6722,53.27,43.5217,131.764,13.12,69.03,17.85
5h 4d 3c,30.1268,46.46,16.9224,72.8487,53.54,43.5776,131.276,15.32,65.74,18.94
6c 2d 2c,66.0473,45.74,17.014,74.3881,54.26,43.4861,129.273,15.03,70.20,14.77
6c 3c 2c,56.5464,47.45,18.8285,79.3578,52.55,41.6715,127.906,12.45,64.40,23.15
6c 3c 2d,47.1544,45.70,16.5922,72.6141,54.30,43.9078,130.421,16.44,66.09,17.47
6c 3d 3c,65.5057,45.83,16.8482,73.5177,54.17,43.6518,129.983,15.29,68.21,16.49
6c 3d 2c,48.4442,45.70,16.5779,72.5487,54.30,43.9221,130.468,16.44,66.16,17.41
6c 4c 2c,50.4155,48.04,19.2984,80.3422,51.96,41.2016,127.896,12.19,65.48,22.32
6c 4c 2d,27.8008,46.04,17.0689,74.1462,53.96,43.4311,129.821,17.33,64.37,18.30
6c 4c 3c,39.4451,47.94,19.1225,79.7707,52.06,41.3775,128.203,13.17,64.23,22.59
6c 4c 3d,27.3379,46.40,17.2727,74.4573,53.60,43.2273,130.068,18.04,62.51,19.44
6c 4d 4c,40.6072,45.83,17.0667,74.4855,54.17,43.4333,129.311,17.39,63.42,19.19
6c 4d 2c,28.8792,46.08,17.0939,74.1945,53.92,43.4061,129.836,17.32,64.28,18.40
