
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
99,35.554810656,62.758592225,113.30659085,1655979.7957
AJs,31.388328097,61.521261888,102.04058608,19894.263736
AQo,31.142868871,61.396977032,101.44756428,306731.13593
88,30.936623612,59.385337775,104.18943386,3637317.4525
ATs,28.564160058,59.948040159,95.296393285,2725808.6689
77,27.912880566,56.646496563,98.551127642,4243579.7031
KJs,26.139047081,54.437239679,96.033697652,2802126.4999
66,26.001913997,54.318403,95.738875079,4270172.7526
AJo,25.257737538,59.527813402,84.860289986,6032035.5767
A9s,25.024128777,57.187825374,87.515580855,2730499.2266
KTs,25.005439713,53.035180058,94.297557528,2614861.158
KQo,24.790340975,53.642684183,92.427667827,4626870.2405
QJs,24.308218766,50.877506837,95.55585671,1854378.1645
A8s,23.642045643,55.279781402,85.535959235,2765695.7461
55,23.575755453,52.112394627,90.480414962,4498351.0367
QTs,23.409904979,49.504032484,94.577769949,732547.32349
JTs,22.867739979,47.398201976,96.492014575,1383355.7701
ATo,22.751494569,57.792733563,78.734792997,5604115.2819
A5s,22.688598222,51.913622423,87.409035095,260704.01311
A7s,22.433178194,53.555126337,83.77602567,2791922.2403
44,22.119063855,49.957004016,88.552403375,4538826.8514
A3s,22.109792904,50.441933904,87.664334781,2828007.2665
A6s,22.083204029,52.155623797,84.681966856,2797695.4302
A4s,21.839415476,51.060556839,85.543193524,2805632.902
A2s,21.727307611,49.95787753,86.982508805,2836574.662
K9s,21.545777643,50.399797644,85.499460911,2809296.8656
KJo,21.54442952,51.940741088,82.957728628,5079059.8539
33,21.247369606,47.949444126,88.624049739,4564390.5637
Q9s,20.432527251,46.91610873,87.102395334,2633420.0594
T9s,20.423140815,43.61875494,93.643850419,128170.40005
K8s,20.273116933,47.961112713,84.539810638,2843412.0865
22,20.258835378,46.249597758,87.606536531,4620363.4345
KTo,20.195982231,50.390727612,80.157533691,4356492.2354
J9s,20.059771426,44.817150111,89.518282067,743438.27359
QJo,19.955762041,48.182961328,82.833273385,6015757.5459
K7s,19.615568979,46.956556982,83.547731091,2868251.9744
T8s,19.610592723,41.913813615,93.575797723,2218863.7651
98s,19.528541261,41.299818424,94.56962285,2267354.1422
87s,19.476980635,40.414610558,96.385838515,1709379.9365
K6s,19.468078592,46.276084321,84.138832736,2352751.6051
76s,19.321832766,39.655916072,97.447416071,1852698.8427
Q8s,19.238633104,44.930440092,85.637412252,2241227.4271
J8s,19.078781769,43.062988197,88.608722095,1988020.9215
A9o,19.059009393,54.7796418,69.584279001,6799928.6834
65s,18.995813369,38.860622633,97.763813763,1432866.1428
K3s,18.959777274,44.233472363,85.725927725,1346552.143
K5s,18.850943279,45.517589096,82.829269535,2810895.0472
K2s,18.749232821,43.915616279,85.387542791,2691213.2771
54s,18.74747322,38.210133893,98.128278075,1490480.4133
QTo,18.649313331,46.663701342,79.93070757,7091344.5131
K4s,18.584903193,44.824494325,82.922979825,2619069.6962
JTo,18.460588222,44.462080141,83.039696583,5853686.8504
86s,18.200809175,39.192762413,92.878419661,2947665.8276
97s,18.183187792,40.1174417,90.649787331,2849363.9064
T7s,18.088882758,40.451689686,89.434497784,1781494.1067
Q7s,17.884480435,43.368141078,82.477505333,2288846.9265
Q6s,17.876452321,43.043109468,83.063015393,2103453.0588
A8o,17.684846511,52.693717821,67.123168538,7511936.7359
J7s,17.642927753,41.544018107,84.936068085,1116052.2459
75s,17.554719485,38.373505118,91.493958817,2984412.7463
Q3s,17.454581097,41.069161885,85.000912101,1383264.7314
64s,17.351521662,37.454516677,92.653827634,2998747.2947
53s,17.289639053,36.778537147,94.020265047,3018355.5209
Q2s,17.273432074,40.757379251,84.762231484,2853909.3067
Q5s,17.269722515,42.337619766,81.5809798,2677602.2006
Q4s,17.013738787,41.661764685,81.675555109,2908684.9297
96s,16.967902893,38.841885316,87.369100417,2135267.0343
T6s,16.930843373,39.154850483,86.481460989,1131420.6042
43s,16.901211215,36.180458034,93.427292703,3031897.2993
