Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\3c2c2d.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 12 freq,CHECK freq
2h 2d 2c,100,46.04,15.8197,68.7164,53.96,32.6803,121.135,100.00,0.00
3c 2d 2c,100,48.05,20.3326,84.6235,51.95,28.1675,108.449,62.66,37.34
3d 3c 2c,100,47.99,20.1877,84.127,52.01,28.3123,108.879,64.05,35.95
3h 3d 3c,100,46.64,15.9034,68.1986,53.36,32.5966,122.172,100.00,0.00
3h 3d 2c,100,47.63,19.5244,81.9912,52.37,28.9756,110.647,67.81,32.19
3h 2d 2c,100,47.70,19.6965,82.5872,52.30,28.8035,110.144,66.33,33.67
4c 2d 2c,100,48.76,21.0595,86.3811,51.24,27.4405,107.104,55.87,44.13
4c 3c 2c,100,49.31,21.9102,88.8675,50.69,26.5898,104.911,46.66,53.34
4c 3c 2d,100,49.83,22.5123,90.35,50.17,25.9877,103.606,39.60,60.40
4c 3d 3c,100,48.67,20.9401,86.0565,51.33,27.5599,107.374,55.44,44.56
4c 3d 2c,100,49.72,22.3701,89.9778,50.28,26.1299,103.945,41.26,58.74
4d 4c 2c,100,48.95,21.9386,89.6334,51.05,26.5614,104.063,43.25,56.75
4d 4c 3c,100,48.92,21.8927,89.5097,51.08,26.6073,104.172,41.91,58.09
4h 4d 4c,100,47.11,17.9753,76.3072,52.89,30.5247,115.433,89.24,10.76
4d 3c 2c,100,49.80,22.4773,90.2709,50.20,26.0227,103.675,39.85,60.15
4h 4d 2c,100,48.68,21.6039,88.7586,51.32,26.8961,104.817,44.36,55.64
4h 4d 3c,100,48.48,21.0991,87.0399,51.52,27.4009,106.373,49.25,50.75
4h 2d 2c,100,48.53,20.6626,85.1618,51.47,27.8374,108.16,56.39,43.61
4h 3d 3c,100,48.26,19.9977,82.8762,51.74,28.5023,110.173,62.93,37.07
4h 3d 2c,100,49.60,22.2386,89.6665,50.40,26.2614,104.218,41.76,58.24
5c 2d 2c,100,48.69,21.2686,87.3567,51.31,27.2314,106.151,52.85,47.15
5c 3c 2c,100,49.82,22.8347,91.6621,50.18,25.6653,102.3,34.81,65.19
5c 3c 2d,100,50.33,23.5964,93.7655,49.67,24.9036,100.277,25.94,74.06
5c 3d 3c,100,48.83,21.2466,87.0281,51.17,27.2534,106.514,51.94,48.06
5c 3d 2c,100,50.27,23.5217,93.5845,49.73,24.9783,100.452,26.78,73.22
5c 4c 2c,100,49.31,21.7033,88.0223,50.69,26.7967,105.734,51.54,48.46
5c 4c 2d,100,49.99,22.08,88.3316,50.01,26.42,105.666,46.97,53.03
5c 4c 3c,100,49.96,22.4476,89.8603,50.04,26.0524,104.129,40.42,59.58
5c 4c 3d,100,50.54,23.1824,91.7445,49.46,25.3176,102.369,32.47,67.53
5c 4d 4c,100,49.79,22.295,89.5588,50.21,26.205,104.378,41.56,58.44
5c 4d 2c,100,50.16,22.3574,89.1524,49.84,26.1426,104.896,43.94,56.06
5c 4d 3c,100,50.75,23.5049,92.638,49.25,24.9951,101.494,28.83,71.17
5d 5c 2c,100,48.87,22.1413,90.6165,51.13,26.3587,103.1,39.94,60.06
5d 5c 3c,100,49.06,22.1869,90.4513,50.94,26.3131,103.306,38.34,61.66
5d 5c 4c,100,49.64,22.1251,89.1445,50.36,26.3749,104.742,42.28,57.72
5h 5d 5c,100,46.97,17.9162,76.2859,53.03,30.5838,115.347,90.18,9.82
5d 3c 2c,100,50.25,23.4368,93.2808,49.75,25.0632,100.756,27.43,72.57
5d 4c 2c,100,50.06,22.1583,88.5275,49.94,26.3417,105.492,46.17,53.83
5d 4c 3c,100,50.70,23.3771,92.2086,49.30,25.123,101.928,30.33,69.67
5h 5d 2c,100,48.46,21.5704,89.0161,51.54,26.9296,104.507,43.96,56.04
5h 5d 3c,100,48.60,21.4032,88.0732,51.40,27.0968,105.441,45.64,54.36
5h 5d 4c,100,49.55,22.0074,88.836,50.45,26.4926,105.016,41.38,58.62
5h 2d 2c,100,48.32,20.5624,85.1154,51.68,27.9376,108.11,57.28,42.72
5h 3d 3c,100,48.39,20.29,83.8622,51.61,28.2101,109.317,59.48,40.52
5h 3d 2c,100,50.12,23.4957,93.757,49.88,25.0044,100.258,25.62,74.38
5h 4d 4c,100,49.69,22.1779,89.2643,50.31,26.3222,104.64,40.62,59.38
5h 4d 2c,100,50.01,22.0345,88.1219,49.99,26.4656,105.881,45.61,54.39
5h 4d 3c,100,50.56,23.3037,92.179,49.44,25.1963,101.93,30.13,69.87
6c 2d 2c,100,48.04,20.2426,84.2754,51.96,28.2574,108.764,66.05,33.95
