
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
66,145.13016083,83.611941914,170.1724277,170383.52078
77,143.22388267,82.684375086,169.82116766,176998.10391
55,137.56947219,80.917137476,166.67919277,176506.55186
88,137.48971349,80.775029546,166.87562668,167379.44493
99,132.91328396,79.599045821,163.70440097,184326.76915
44,127.23678329,75.464536344,165.29876211,223904.72936
33,123.15559336,72.205698966,167.21779518,279990.59219
TT,121.94994013,76.800611463,155.67423561,199872.23818
22,117.09100053,69.09560135,166.1395173,325477.34362
JJ,115.94936109,76.940109469,147.74588312,241026.8511
AKo,106.85846131,79.272799577,132.15528898,39645.959856
AQs,96.034098066,73.770978673,127.62617255,117385.5442
AJs,93.048672116,70.741707993,128.95389571,155027.24592
K2s,90.754062047,59.4135177,149.75475966,95046.201887
AQo,90.148002662,71.953496923,122.82988117,384264.36973
ATs,88.753374872,65.79649772,132.24581191,146136.81844
Q2s,88.506261308,59.397417734,146.08521335,105125.6964
A2s,86.552963599,56.459632603,150.29471988,160773.86556
A9s,86.464821421,64.288153133,131.85855968,160145.40319
A3s,86.232635443,56.110890499,150.66914587,185375.00941
K3s,85.347258494,55.595491805,150.50461849,86457.65602
AJo,84.980700442,67.323150468,123.75299079,314330.435
Q3s,84.157920556,55.861332302,147.70103371,99709.644215
A4s,83.159149622,55.627726039,146.56104764,215829.65482
A6s,81.627671578,56.119926593,142.60020256,151258.30275
A7s,81.516418158,57.097308982,139.9681674,151984.13898
A8s,81.433854036,59.791216885,133.5264876,193734.82376
J6s,81.239211024,57.306987062,138.98180554,109347.9348
J3s,81.028087915,53.129343224,149.52057951,3368.8236556
ATo,79.769742179,61.641940933,126.87080972,288183.01478
A5s,79.459203601,55.379019316,140.66912156,144579.3123
K4s,79.259257229,53.561524889,145.07644117,153956.57835
J5s,78.843410696,55.667780636,138.85493653,123118.16535
KQs,78.604444107,59.770667744,128.93143645,87264.61413
Q7s,78.555773764,54.450396353,141.44151307,137744.19299
Q4s,77.854257681,53.749659602,142.00592929,140362.52946
J4s,77.85065884,54.558545037,139.89408127,114517.33925
Q6s,77.80307222,53.894998178,141.52987172,138637.38252
K8s,77.681975618,54.093699214,140.79051855,147545.12696
K6s,77.378397846,52.164459291,145.4269351,105343.38103
K7s,76.839988328,52.406567123,143.74786601,132738.00862
Q5s,76.677625186,53.129450496,141.49241454,152939.13333
K5s,76.426708148,51.715200522,144.88611566,134048.64831
KQo,76.341483493,57.768820968,129.55880076,411591.17013
KJs,76.226436734,56.871141816,131.40548674,210865.17042
T8s,75.78152982,49.048901083,151.47254236,195403.21808
32s,75.776042608,47.368616967,156.83429791,208575.0223
A9o,75.429337338,57.930769745,127.65293996,355143.5132
J7s,75.112471318,51.136626606,144.00574041,144483.16638
T6s,75.059685444,51.848004359,141.93010477,152561.64052
J9s,74.919057099,47.821763386,153.59127472,166395.80965
KTs,74.438894776,53.696805867,135.90996229,199458.84587
95s,74.237253308,51.185594445,142.19161012,156783.63958
96s,74.016924823,49.322569392,147.12455873,189146.5928
J8s,73.970941827,48.614272288,149.17539189,188919.41413
97s,73.881663194,47.708236182,151.82494455,231228.64943
52s,73.818248442,46.167808806,156.75604643,200560.46485
Q9s,73.758523262,48.058365153,150.46761886,164436.65837
T7s,73.696740842,49.027866551,147.36865336,181803.7234
63s,73.436796658,46.328749932,155.40427828,197133.38952
K9s,73.259184744,51.220523502,140.22256164,165601.61936
J9o,72.917535839,45.129387222,158.4062728,36364.522923
Q8s,72.417548976,47.728777436,148.75218024,127007.25692
86s,72.241306297,46.882526942,151.06867039,252568.15549
85s,72.183060283,48.080647893,147.18542545,204755.16604
84s,72.103075159,49.34486763,143.25560644,157923.18791
KJo,72.033445687,53.05907884,133.09885269,391915.69428
JTo,71.700081806,46.864987014,149.99299547,431680.03121
98s,71.664447345,47.756870727,147.11864708,248151.09454
QTs,71.658725919,50.01849202,140.45535966,147392.60955
QJs,71.599371958,51.299865363,136.83361975,67039.46588
53s,71.425842606,43.7662084,159.99863467,286258.98306
42s,71.082273158,45.281436066,153.90082372,242680.88086
T9s,70.863023848,47.026290359,147.73343222,179524.78273
JTs,70.501836261,46.699974287,148.00746332,146417.26055
T9o,70.143756698,47.03329599,146.21214072,348064.31559
K9o,70.055573892,46.89139681,146.47022665,170775.18664
87s,69.817305142,47.09285326,145.34761357,164205.86441
QTo,69.65956167,46.770893399,146.0174971,465003.74796
KTo,69.548673763,49.084462027,138.91356136,383540.88346
75s,69.325984761,44.889693454,151.40814405,288526.21681
43s,69.285285813,43.814922283,155.03108817,286658.98796
A8o,69.197592212,51.925057499,130.65132702,396346.22353
64s,68.896316676,44.222828566,152.73877926,297180.08941
98o,68.601374011,45.875664647,146.60550326,243309.82229
74s,68.532140589,45.309256294,148.28840423,231197.6391
76s,67.91363816,45.893979187,145.07784981,168560.07998
A7o,67.856980991,48.788842563,136.35587248,109506.78932
QJo,67.83397884,46.984400617,141.54464024,538040.00255
87o,66.87368662,44.564633253,147.11764257,308839.45116
76o,66.66868871,45.195899319,144.61811913,357815.87011
65s,66.009611868,43.55140906,148.59520541,222344.6579
54s,65.981818077,42.511017566,152.16774531,201567.48055
A5o,64.657211134,46.290882442,136.93716632,338895.52034
54o,64.620114454,42.025846827,150.74783299,374000.34268
65o,64.448137375,43.313906788,145.87566233,406768.71731
A4o,64.304440058,44.194234472,142.651116,204861.56787

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,67.75154922,67.596483024,149.5961191,404814.71899
KK,63.179560817,65.222750061,144.57816004,411550.4749
QQ,55.855343223,63.278761622,131.74433535,411778.03804
JJ,50.32849721,61.039796584,123.06259886,402917.20156
TT,43.646296843,58.229589076,111.87392469,394511.96503
99,38.783552822,55.300813806,104.6745893,398083.8406
22,34.062515483,39.888832799,127.45315363,29158.999683
88,33.726981967,52.217900494,96.401384543,401122.68808
