Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11 RAISE 46
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 980 freq,CALL freq,FOLD freq
2h 2d 2c,1.83708,55.41,84.4798,149.463,44.59,16.0201,53.6283,0.00,68.66,31.34
3c 2d 2c,18.487,52.46,81.0189,151.422,47.54,19.4811,61.1566,0.00,65.57,34.43
3d 3c 2c,17.3507,52.47,81.6744,152.596,47.53,18.8255,59.121,0.00,65.39,34.61
3h 3d 3c,2.62298,55.57,84.1214,148.402,44.43,16.3786,55.0244,0.00,68.70,31.30
3h 3d 2c,17.3378,50.00,81.4699,159.755,50.00,19.0301,56.8028,0.00,69.70,30.30
3h 2d 2c,17.8062,50.14,80.7159,157.821,49.86,19.7841,59.2242,0.00,70.08,29.92
4c 2d 2c,17.1179,52.82,79.3333,147.254,47.18,21.1667,66.9589,0.00,65.20,34.80
4c 3c 2c,4.81564,54.38,81.0593,146.134,45.62,19.4407,63.6055,0.00,56.72,43.28
4c 3c 2d,2.25616,53.60,78.1152,142.878,46.40,22.3848,72.0058,0.01,62.61,37.39
4c 3d 3c,14.175,52.89,79.5137,147.385,47.11,20.9863,66.4913,0.00,64.74,35.26
4c 3d 2c,2.20087,53.66,78.0972,142.674,46.34,22.4028,72.1633,0.01,62.62,37.38
4d 4c 2c,5.08734,52.92,79.8209,147.884,47.08,20.6792,65.5529,0.00,63.48,36.52
4d 4c 3c,5.48698,52.73,79.0249,146.928,47.27,21.4751,67.8069,0.00,63.41,36.59
4h 4d 4c,14.2517,54.84,84.918,151.817,45.16,15.582,51.4958,0.00,67.97,32.03
4d 3c 2c,1.95401,53.55,78.1169,143.02,46.45,22.3831,71.9197,0.01,62.65,37.34
4h 4d 2c,6.1181,49.86,79.7864,156.869,50.14,20.7136,61.6643,0.00,66.10,33.90
4h 4d 3c,5.91085,49.75,78.7874,155.277,50.25,21.7126,64.485,0.00,65.58,34.42
4h 2d 2c,17.0827,51.23,78.6768,150.564,48.77,21.8233,66.7872,0.00,69.74,30.26
4h 3d 3c,13.5579,50.67,78.8794,152.63,49.33,21.6206,65.4112,0.00,68.17,31.83
4h 3d 2c,0.37293,51.41,77.8966,148.556,48.59,22.6034,69.4274,0.00,64.88,35.12
5c 2d 2c,17.9592,52.87,77.8714,144.414,47.13,22.6286,71.6539,0.00,65.02,34.98
5c 3c 2c,5.17981,54.19,81.7338,147.865,45.81,18.7661,61.1449,0.00,56.65,43.35
5c 3c 2d,4.18646,53.14,78.8648,145.497,46.86,21.6351,68.9113,0.00,64.34,35.66
5c 3d 3c,15.4552,52.65,78.0236,145.294,47.35,22.4764,70.8449,0.00,64.77,35.23
5c 3d 2c,4.17862,53.20,78.8372,145.292,46.80,21.6628,69.0825,0.00,64.26,35.74
5c 4c 2c,5.59136,54.22,82.1535,148.54,45.78,18.3465,59.8178,0.00,56.57,43.43
5c 4c 2d,6.17971,53.09,78.9972,145.89,46.91,21.5028,68.411,0.00,63.38,36.62
5c 4c 3c,4.86625,54.84,81.5845,145.841,45.16,18.9155,62.5208,0.00,56.94,43.06
5c 4c 3d,4.80196,54.30,77.951,140.739,45.70,22.549,73.6458,0.00,63.59,36.41
5c 4d 4c,9.03453,52.96,77.4695,143.413,47.04,23.0305,73.0725,0.00,63.13,36.87
5c 4d 2c,5.38044,53.29,78.8423,145.04,46.71,21.6577,69.208,0.00,63.29,36.71
5c 4d 3c,3.99882,54.37,77.8724,140.412,45.63,22.6276,74.0175,0.00,63.57,36.43
5d 5c 2c,5.33566,52.47,78.4669,146.612,47.53,22.0331,69.1893,0.00,62.54,37.46
5d 5c 3c,5.67138,52.49,78.1471,145.958,47.51,22.3529,70.2234,0.00,62.67,37.33
5d 5c 4c,6.95759,52.91,78.0979,144.712,47.09,22.4021,71.0039,0.00,62.39,37.61
5h 5d 5c,18.6944,54.14,84.7684,153.495,45.86,15.7316,51.2022,0.00,67.48,32.52
5d 3c 2c,4.21207,53.05,78.8444,145.702,46.95,21.6556,68.8464,0.00,64.31,35.69
5d 4c 2c,5.64245,53.19,78.9484,145.52,46.81,21.5516,68.7155,0.00,63.32,36.68
5d 4c 3c,4.31041,54.25,77.8941,140.76,45.75,22.6059,73.7539,0.00,63.62,36.38
5h 5d 2c,6.13771,49.54,78.4561,155.278,50.46,22.0439,65.1968,0.00,64.95,35.05
5h 5d 3c,6.09025,49.75,77.9647,153.646,50.25,22.5353,66.9325,0.00,64.94,35.06
5h 5d 4c,5.56643,50.50,77.8996,151.246,49.50,22.6004,68.1387,0.00,64.12,35.88
5h 2d 2c,18.2179,51.55,76.967,146.369,48.45,23.5329,72.4999,0.00,69.35,30.65
5h 3d 3c,15.5856,51.04,77.0301,147.956,48.96,23.4698,71.5506,0.00,68.41,31.59
5h 3d 2c,2.26345,50.57,79.1181,153.39,49.43,21.3819,64.5601,0.00,66.10,33.90
5h 4d 4c,7.61003,50.72,76.9188,148.681,49.28,23.5812,71.4195,0.00,65.23,34.77
5h 4d 2c,3.5156,50.70,78.8182,152.401,49.30,21.6818,65.6453,0.00,65.42,34.58
5h 4d 3c,1.97526,52.57,77.7172,144.933,47.43,22.7828,71.6952,0.00,65.56,34.44
6c 2d 2c,19.2854,52.93,77.598,143.733,47.07,22.902,72.6179,0.00,65.98,34.02
6c 3c 2c,7.27133,52.84,81.3259,150.901,47.16,19.1741,60.6785,0.00,56.14,43.86
6c 3c 2d,7.20355,52.47,78.8836,147.384,47.53,21.6164,67.8842,0.00,65.68,34.32
6c 3d 3c,16.4322,52.31,78.6525,147.42,47.69,21.8475,68.3703,0.00,65.35,34.65
