
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
JJ,35.800831309,64.409852128,123.51744381,1550335.9894
AKo,30.575069161,60.432985367,112.42965695,162338.45742
TT,29.567485733,59.912992258,109.66823952,1680534.931
AQs,26.290182786,58.620322026,99.66275584,600004.59703
99,24.674512159,55.243058668,99.256360099,1783013.0354
KQs,23.0999054,53.113022284,96.648845997,297621.94007
AJs,22.616919686,55.589187723,90.412944645,1080321.1368
88,21.218275844,51.995491323,90.684255304,1843446.2102
AQo,20.475864556,56.577229932,80.42444158,3105098.1962
ATs,20.149989274,52.780867319,84.837093851,1068011.974
KJs,19.711948833,50.256757264,87.16107669,1086056.0301
77,19.201762888,49.604927575,86.020857767,1881988.1651
KQo,18.702679434,50.832087875,81.762350496,2768371.2898
KTs,18.033432876,47.727929078,83.964035428,1044846.3438
QJs,18.030522523,45.989888368,87.123124782,208966.41555
66,17.385162198,47.362445477,81.570310367,1883277.2491
A9s,16.903489532,48.534927735,77.394387553,1090427.7899
QTs,16.598579569,43.859089147,84.100543564,566837.42817
AJo,16.482161754,53.262817433,68.766595319,2990347.5254
A3s,16.428392609,43.944752772,83.075991619,996274.12863
A2s,16.215311344,43.73840904,82.385313047,891907.5384
JTs,16.184218498,42.205671641,85.213499979,529560.02053
K9s,15.889343816,44.234704282,79.823418055,848765.40379
A8s,15.855328478,46.781736201,75.315852178,1135089.6686
A7s,15.70012169,45.538519448,76.614610517,1013157.4847
55,15.519427533,45.073318737,76.51448286,1889788.312
A4s,15.497269525,44.037428963,78.202514393,1097184.9986
A5s,15.47194921,44.625694765,77.045544135,694240.40295
22,15.339832502,41.427255323,82.285240487,1917761.5589
KJo,15.305997803,47.706182618,71.297527039,2840873.079
A6s,15.286456471,44.530496528,76.284582292,1018247.956
33,15.258123845,42.310875153,80.137651975,1920109.3311
J9s,15.151500085,39.951882001,84.276380744,899936.13801
Q9s,15.111066602,41.131896902,81.640163797,870094.81105
44,14.760209433,43.362463646,75.642531926,1923639.4791
T9s,14.548019756,39.561726621,81.717699283,679838.37656
K8s,14.486317545,41.985815805,76.673076729,1144264.2608
K2s,14.14619121,39.111618568,80.375043572,836449.14443
K7s,14.134577789,41.081377014,76.458422642,1043416.4525
K3s,14.132024636,39.205289741,80.102709098,664080.1426
T8s,13.921190826,37.699861314,82.058603228,1085766.0922
K6s,13.801764402,40.285633466,76.13281689,772524.41496
ATo,13.78766455,50.218747141,61.011586909,2865396.3032
QJo,13.583504513,43.170087454,69.922410087,3322324.6679
KTo,13.474829853,44.961381998,66.59952388,3018937.3116
98s,13.435945791,37.458186026,79.709298502,1108715.6731
97s,13.197974752,35.996432599,81.477053876,1218242.0628
K5s,13.195571389,39.553911583,74.135504686,1012859.7027
Q8s,13.192635057,38.946526711,75.274919922,799703.59358
K4s,13.050200498,39.102480838,74.165231796,1146283.4592
J8s,12.915696064,37.90339358,75.722894701,1166801.0948
87s,12.641302672,36.049665954,77.925226131,623900.85522
Q2s,12.278423347,35.988771209,75.816384666,1166466.624
86s,12.236836818,34.577134856,78.644372417,1236429.655
Q3s,12.220802821,36.073038131,75.284314849,940692.46154
QTo,12.212005334,40.840038638,66.448981287,3336214.7736
76s,11.996829103,34.898560668,76.391747165,612156.76558
53s,11.985294077,32.284414699,82.497970264,1267887.8321
Q7s,11.951041808,37.176214881,71.437801748,1169717.4547
T7s,11.895735491,35.905976245,73.622751759,1115867.4855
JTo,11.758113748,39.066606705,66.883571076,3361855.0171
