Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
2h 2d 2c,99.9998,39.89,10.8347,60.3585,60.11,43.6653,129.719,1.84,71.92,26.24
3c 2d 2c,80.7509,42.03,15.4359,81.616,57.97,39.0641,120.331,22.89,48.99,28.12
3d 3c 2c,74.7143,41.86,15.43,81.9128,58.14,39.07,120,23.22,47.61,29.17
3h 3d 3c,99.9999,40.17,11.0406,61.0808,59.83,43.4594,129.706,2.62,70.79,26.59
3h 3d 2c,82.1194,41.36,14.8404,79.7349,58.64,39.6596,120.773,21.11,56.37,22.52
3h 2d 2c,86.7868,41.55,14.8192,79.2649,58.45,39.6808,121.222,20.52,58.41,21.07
4c 2d 2c,75.8133,42.73,15.3348,79.7448,57.27,39.1652,122.126,22.58,51.26,26.17
4c 3c 2c,57.1352,45.47,16.399,80.1423,54.53,38.101,124.775,8.43,66.79,24.78
4c 3c 2d,11.0418,44.18,15.4558,77.734,55.82,39.0442,124.915,20.43,53.03,26.54
4c 3d 3c,63.798,42.89,15.2536,79.0332,57.11,39.2464,122.714,22.22,52.19,25.59
4c 3d 2c,10.7584,44.20,15.4587,77.7294,55.80,39.0413,124.93,20.46,53.01,26.53
4d 4c 2c,22.5195,42.12,14.7912,78.0441,57.88,39.7088,122.502,22.59,46.65,30.76
4d 4c 3c,24.5393,42.53,14.8169,77.4195,57.47,39.6832,123.303,22.36,48.81,28.83
4h 4d 4c,99.9985,41.43,14.0723,75.4884,58.57,40.4277,123.25,14.25,59.85,25.90
4d 3c 2c,9.7015,44.19,15.4602,77.7401,55.81,39.0397,124.921,20.14,53.29,26.57
4h 4d 2c,27.7049,41.63,14.4712,77.24,58.37,40.0288,122.469,22.08,49.32,28.60
4h 4d 3c,27.2637,42.06,14.4711,76.4663,57.94,40.0289,123.359,21.68,52.14,26.18
4h 2d 2c,79.6901,42.34,14.7888,77.6147,57.66,39.7112,122.99,21.44,57.38,21.19
4h 3d 3c,64.938,42.42,14.7164,77.0932,57.58,39.7836,123.38,20.88,57.96,21.16
4h 3d 2c,1.7595,43.65,15.21,77.4334,56.35,39.29,124.51,21.20,52.93,25.88
5c 2d 2c,80.3554,43.17,15.2028,78.2555,56.83,39.2972,123.483,22.35,52.70,24.95
5c 3c 2c,57.5729,45.45,16.53,80.819,54.55,37.97,124.299,9.00,66.37,24.63
5c 3c 2d,20.2742,43.84,15.4373,78.2565,56.16,39.0627,124.2,20.65,53.62,25.73
5c 3d 3c,70.4365,43.28,15.1525,77.8028,56.72,39.3475,123.875,21.94,53.71,24.34
5c 3d 2c,20.1975,43.86,15.4448,78.2508,56.14,39.0552,124.231,20.69,53.56,25.75
5c 4c 2c,70.952,45.88,16.5669,80.2357,54.12,37.9331,125.171,7.88,68.82,23.30
5c 4c 2d,33.7066,44.46,15.5534,77.7369,55.54,38.9466,125.224,18.33,58.56,23.10
5c 4c 3c,69.6322,46.45,16.6245,79.5384,53.55,37.8754,126.295,6.99,71.40,21.61
5c 4c 3d,24.9283,45.15,15.8464,78.0024,54.85,38.6536,125.831,19.26,58.30,22.44
5c 4d 4c,42.8776,43.90,15.3059,77.4854,56.10,39.1941,124.75,21.07,55.27,23.66
5c 4d 2c,29.1729,44.52,15.5586,77.6525,55.48,38.9414,125.35,18.44,58.23,23.33
5c 4d 3c,21.0052,45.16,15.8265,77.8802,54.84,38.6735,125.928,19.04,58.46,22.50
5d 5c 2c,23.2724,42.56,14.8736,77.6631,57.44,39.6264,123.189,22.93,47.35,29.72
5d 5c 3c,24.5504,42.91,15.0013,77.696,57.09,39.4987,123.539,23.10,48.52,28.38
5d 5c 4c,31.8941,43.83,15.359,77.8731,56.17,39.141,124.433,21.81,53.05,25.14
5h 5d 5c,99.997,41.82,15.0341,79.886,58.18,39.4659,121.135,18.70,54.43,26.88
5d 3c 2c,20.9292,43.92,15.4627,78.2432,56.08,39.0373,124.296,20.13,54.21,25.67
5d 4c 2c,31.0685,44.58,15.5814,77.6746,55.42,38.9186,125.396,18.16,58.60,23.24
5d 4c 3c,22.9515,45.17,15.8103,77.7803,54.83,38.6897,126.007,18.78,58.76,22.46
5h 5d 2c,27.532,42.06,14.5655,76.9552,57.94,39.9345,123.08,22.29,50.18,27.53
5h 5d 3c,27.328,42.36,14.6557,76.8863,57.64,39.8443,123.438,22.29,51.81,25.91
5h 5d 4c,26.3078,43.41,15.0713,77.1589,56.59,39.4288,124.41,21.16,56.27,22.57
5h 2d 2c,83.6144,42.79,14.5841,75.7419,57.21,39.9159,124.588,21.79,57.74,20.47
5h 3d 3c,72.3821,42.87,14.58,75.5824,57.13,39.92,124.772,21.53,57.76,20.71
5h 3d 2c,11.1221,43.27,15.2706,78.4243,56.73,39.2294,123.485,20.35,54.53,25.12
5h 4d 4c,36.566,43.57,15.0402,76.7142,56.43,39.4598,124.865,20.81,58.16,21.03
5h 4d 2c,19.4094,44.08,15.3432,77.351,55.92,39.1568,125.04,18.11,59.49,22.39
5h 4d 3c,10.2696,44.69,15.7043,78.0866,55.31,38.7957,125.259,19.23,58.11,22.66
6c 2d 2c,88.627,43.75,15.252,77.4787,56.25,39.248,124.587,21.76,55.69,22.55
