
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
JJ,35.853750058,65.616381882,121.42547005,2029180.0362
AKo,30.375894061,61.214285304,110.27162445,211443.5579
TT,30.120061663,61.250583604,109.27809406,2192602.3319
AQs,26.902327222,59.69086419,100.15427016,780722.14019
99,25.911253178,56.927674683,101.14687265,2304339.236
AJs,23.709914368,56.93374458,92.543884096,1401947.6226
88,23.172639815,53.979596851,95.396701993,2354963.6987
KQs,22.15901004,51.588834597,95.451360585,392566.64829
AQo,21.583613514,57.648986497,83.19935614,4040235.1243
ATs,21.406829345,54.211794491,87.749782727,1384002.9103
77,21.259235335,51.60877452,91.540141435,2398841.4009
66,19.691617853,49.492794074,88.415195796,2393994.5464
KJs,19.355412915,48.980732236,87.814180674,1428239.6907
A9s,18.671851333,50.41932962,82.295824389,1406786.9975
A3s,18.122457085,45.917812924,87.704801886,1278798.4012
AJo,18.079909133,54.623850539,73.553174032,3879990.3123
55,18.003602003,47.303995235,84.576375107,2393718.76
A8s,17.935747016,48.942127863,81.437439139,1455508.9827
KQo,17.919551676,49.050579053,81.184007844,3651316.832
QJs,17.888788483,44.600787456,89.130406797,274357.62909
A7s,17.852440186,47.813149601,82.973177112,1297000.6587
KTs,17.849791303,46.538628811,85.232856894,1371771.9767
A5s,17.805875064,47.067472447,84.067848124,886077.83501
A2s,17.774424854,45.582092544,86.654033839,1147340.4168
A4s,17.695576057,46.352130832,84.83645011,1400358.2689
A6s,17.450223088,46.889391331,82.701592891,1301738.0519
44,17.128684732,45.480715513,83.692051497,2436659.6394
33,17.085145271,44.210430203,85.877901023,2456904.331
22,16.843982592,43.188476608,86.669119558,2464040.0077
QTs,16.698343954,42.648443562,87.007702767,743112.50037
JTs,16.613572185,41.41050831,89.153818215,692116.70006
K9s,16.304478837,43.766358996,82.785445319,1108703.351
J9s,15.876018662,39.720218361,88.821368379,1170663.2856
T9s,15.730579314,39.661789533,88.137331502,883278.10985
Q9s,15.684284114,40.584595246,85.879788835,1135187.9401
ATo,15.551786629,51.672711574,66.881579829,3711996.1527
K8s,15.480562507,42.320860619,81.28674491,1485217.0625
98s,15.379591075,38.739371864,88.222568956,1425060.656
T8s,15.294253715,38.43613776,88.425196857,1401660.0522
87s,15.291237697,38.287778765,88.75032533,796282.88433
K7s,15.288236467,41.566642456,81.733468974,1352312.3331
97s,15.233045217,37.626807644,89.965675303,1563727.7027
KJo,15.058025537,46.183234098,72.455469229,3734964.5288
K6s,15.05311421,40.960923487,81.666530106,999792.16739
76s,15.031401147,37.715829445,88.565236802,779161.65975
86s,14.906987406,37.115327158,89.253257932,1575821.2627
K3s,14.847383379,39.297689947,83.959605084,863114.561
54s,14.733491433,36.331346762,90.118024767,749720.15893
K2s,14.673031487,38.950973963,83.712249837,1089552.112
65s,14.613148203,36.940991557,87.906851724,935222.90876
53s,14.57408896,35.026950857,92.462699614,1614874.4209
K5s,14.518269847,40.288724401,80.079035417,1308482.0429
75s,14.491404286,36.381270102,88.515658042,1574125.3254
J8s,14.406674867,38.521614482,83.108751976,1509166.5702
Q8s,14.392504593,39.238964104,81.509143448,1036829.6863
K4s,14.324798356,39.715451481,80.152394217,1481224.7909
64s,14.313698366,35.636114221,89.258380965,1607529.4073
43s,14.143616826,34.487813907,91.134392277,1464949.1197
T7s,13.815610328,37.100728987,82.751355896,1439045.3359
96s,13.80451231,36.387807139,84.304871421,1561448.6802
QJo,13.639787885,41.533290945,72.979142885,4362658.303
63s,13.519453267,34.301573006,87.585573636,1615128.2209
Q7s,13.423883218,37.805239228,78.906660041,1514655.0511
KTo,13.399262523,43.52961979,68.40431661,3961640.7309
85s,13.333090843,35.724552994,82.937610915,1578886.9123
32s,13.329943112,32.7645871,90.408878691,1609237.3656
52s,13.300804588,33.721929317,87.650214941,1617732.7118
Q6s,13.245380755,37.646532609,78.185632026,1429857.9056
Q3s,13.223735116,36.305571839,80.940959054,1221263.8838
42s,13.180364716,33.221074595,88.166020291,1629558.3641
74s,13.154951605,35.046504586,83.412671634,1609150.9932
J7s,13.140175574,37.257508319,78.37451156,1527745.8851
Q2s,13.088000157,35.936325633,80.933273733,1517754.1978
A9o,12.973533648,47.553129392,60.627082049,4293845.003
Q5s,12.856131505,37.140079016,76.922779592,1517044.7053
J3s,12.849834039,34.921709935,81.769153937,28821.08273
Q4s,12.750841321,36.718300971,77.169155938,1532927.7957
T6s,12.473838058,35.833691167,77.356362758,1531418.255
QTo,12.471641109,39.389657455,70.360495142,4373832.5924
JTo,12.389347658,38.080762714,72.298666627,4395183.0953
J6s,12.325887161,36.018241404,76.047189674,1523377.0471
95s,12.244811956,34.972860734,77.805168533,1560731.5536
A8o,12.217591071,45.920362648,59.124538253,4154109.6475
J9o,12.207772476,36.185551438,74.970208281,290871.3039
A7o,12.192076077,44.660933203,60.664881924,972998.19908
K9o,12.122769863,40.469497855,66.567390288,1824256.1447
84s,12.096002018,34.379745569,78.185582933,1571510.6767
J5s,12.021977713,35.736363916,74.757202749,1513668.9872
J4s,11.977124796,35.332854354,75.328850067,1459891.5065
A5o,11.889130947,43.858279681,60.240144359,2979565.4548
A4o,11.853123301,43.054467478,61.178956669,1562576.7064
T9o,11.542622459,36.150402364,70.954319883,3368333.7704
98o,11.443825671,35.128772544,72.392861668,2242957.6939
87o,11.431521128,34.712428713,73.182376533,2526189.0022
76o,11.268835533,34.143392063,73.343201207,2886290.1648
54o,11.003524785,32.685095318,74.81170565,2331159.9069
65o,10.872273937,33.316850441,72.517685279,2846009.9775

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,54.28534657,82.710149158,145.85163334,3343950.5137
KK,49.545870261,78.68990424,139.91875448,3501231.473
QQ,45.82507088,76.53468913,133.05534001,3466400.047
JJ,42.041748886,73.902896331,126.41738453,3431659.9856
TT,38.130563793,70.523072079,120.15158119,3428221.5144
99,34.97506916,66.589360721,116.71890985,3495218.2718
88,32.627107739,63.336323439,114.47567514,3511257.4909
AKs,31.582387604,64.634790481,108.58406601,2284114.508
AQs,30.951615252,63.671481222,108.02539207,2275446.6522
77,30.866037242,60.276920572,113.79346062,3546642.0666
AJs,29.65016758,62.238415405,105.8659043,2263747.087
66,29.203109734,57.366163512,113.12556991,3540142.1355
ATs,28.406778194,60.681096936,104.02938798,2262351.1124
KQs,28.092695184,58.093264013,107.46204845,2326271.6304
AKo,27.818739556,62.858601254,98.34679742,6841763.9219
55,27.366847967,54.260737429,112.07960044,3513485.0009
KJs,27.211915917,56.758177187,106.54134304,2316128.2721
JTs,27.146321506,50.854025622,118.62415643,2286028.8374
44,26.924854778,51.142699734,116.99228028,1969753.9415
QJs,26.923579166,54.034880621,110.7251006,2299906.9232
87s,26.842312674,44.011705757,135.53117902,646575.61416
97s,26.829968913,44.415622885,134.23689519,13861.87563
33,26.713134274,48.625734415,122.08046073,911918.42367
AQo,26.696219142,61.800309728,95.994553567,6821685.5293
QTs,26.649734331,52.623326188,112.53874686,2300372.2388
A9s,26.609662357,57.683381192,102.51233855,2284636.5479
T9s,26.438506148,47.870410391,122.73184083,2307687.5093
KTs,26.412665566,55.316041451,106.10812131,2314583.2815
76s,26.378937987,42.276975393,138.6567077,853713.81077
22,26.289139427,46.404105317,125.89470143,279831.94614
A8s,26.28475331,56.078036482,104.15942956,2290096.9958
98s,26.077717709,45.832342041,126.44015387,2337180.285
J9s,26.011742637,48.911772733,118.17987633,2310085.1972
A7s,26.009036542,54.842921393,105.38800179,2301280.4446
A5s,25.830246907,53.755709843,106.78037524,2288644.8758
Q9s,25.665990695,50.456669394,113.03864397,2324115.4156
A4s,25.645069243,52.772401431,107.99023963,2307361.5576
J8s,25.59519429,47.384537434,120.03537992,267570.58845
65s,25.407049553,40.437651508,139.62262399,1350209.8525
K9s,25.356872315,52.760940907,106.79984886,2335813.5843
A6s,25.30753554,53.848152616,104.43992066,2299129.4884
T8s,25.232488417,46.23579728,121.27442324,2314894.8653
A3s,25.22809351,51.881997035,108.05757917,2337832.5414
54s,25.216211863,38.970089604,143.79239805,891914.64262
AJo,25.125371087,60.236876396,92.690991486,6778665.3593
Q8s,24.696443736,48.985251818,112.03573329,2116869.6284
K7s,24.681655663,50.55500918,108.49196664,2353787.9082
A2s,24.589231115,51.260240797,106.59867172,2341040.782
K8s,24.463576683,51.032236668,106.52777007,2342518.6561
K6s,24.212769012,49.936023596,107.75017609,2350310.0379
K4s,24.201222611,48.137772505,111.72202595,213813.87581
KQo,24.192832137,55.856747809,96.249515596,6976523.9736
JTo,23.762189323,48.136728415,109.69766102,1713121.1746
ATo,23.735242564,58.511201711,90.145103728,6773966.9876
K5s,23.640087794,49.002321108,107.2062042,2342554.4653
