Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 11 freq,CHECK freq
2h 2d 2c,100,39.89,10.8347,60.3587,60.11,32.6652,120.762,100.00,0.00
3c 2d 2c,100,42.84,16.5426,85.8066,57.16,26.9574,104.807,80.75,19.25
3d 3c 2c,100,42.87,16.817,87.176,57.13,26.683,103.788,74.71,25.29
3h 3d 3c,100,40.17,11.0406,61.0808,59.83,32.4594,120.556,100.00,0.00
3h 3d 2c,100,42.23,16.015,84.2793,57.77,27.485,105.721,82.12,17.88
3h 2d 2c,100,42.22,15.7201,82.7508,57.78,27.7799,106.833,86.79,13.21
4c 2d 2c,100,43.88,16.8646,85.4104,56.12,26.6354,105.467,75.81,24.19
4c 3c 2c,100,47.17,18.8126,88.6274,52.83,24.6874,103.844,57.14,42.86
4c 3c 2d,100,47.48,21.1326,98.9098,52.52,22.3674,94.6385,11.04,88.96
4c 3d 3c,100,44.49,17.5064,87.4403,55.51,25.9936,104.062,63.80,36.20
4c 3d 2c,100,47.50,21.1533,98.9555,52.50,22.3467,94.5953,10.76,89.24
4d 4c 2c,100,44.54,19.0724,95.1627,55.46,24.4276,97.8742,22.52,77.48
4d 4c 3c,100,45.04,19.2577,95.0055,54.96,24.2423,98.0281,24.54,75.46
4h 4d 4c,100,41.43,14.0725,75.4891,58.57,29.4275,111.645,100.00,0.00
4d 3c 2c,100,47.60,21.2313,99.1241,52.40,22.2687,94.4344,9.70,90.30
4h 4d 2c,100,44.04,18.8151,94.9366,55.96,24.6849,98.0282,27.70,72.30
4h 4d 3c,100,44.65,19.1422,95.2728,55.35,24.3578,97.7908,27.26,72.74
4h 2d 2c,100,43.43,16.2584,83.1821,56.57,27.2416,107.021,79.69,20.31
4h 3d 3c,100,44.14,17.1709,86.4538,55.86,26.329,104.735,64.94,35.06
4h 3d 2c,100,47.45,21.8561,102.366,52.55,21.6438,91.5207,1.76,98.24
