
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
77,144.55317206,83.767030516,169.18206993,132618.73943
66,143.33066295,83.918081461,167.44932123,134884.7477
88,139.09437726,81.715631996,166.87998759,134811.60553
55,134.7667945,80.722371052,163.67743739,146165.27891
99,131.40803065,79.061786428,162.95028031,146648.72308
44,121.67945824,73.396500298,162.53307177,193279.9956
33,121.11619299,72.345140636,164.13177807,222986.22924
22,119.00382447,70.673339813,165.08405639,253647.12418
JJ,117.78595408,76.854582271,150.25314322,194792.40943
TT,117.6143942,75.232332855,153.26951223,156889.3657
QQ,114.03976234,77.104348731,145.0030905,120255.08925
AKo,99.476205759,76.752468843,127.06521808,138799.98459
AQs,93.851629709,73.149544787,125.78533734,113043.48044
AJs,91.544946956,69.710865173,128.74599644,115260.53114
K2s,91.531761032,60.287339726,148.8488645,86562.398057
AQo,86.49404442,69.583820558,121.86465486,301572.17865
A2s,85.200289489,55.412286926,150.74219133,104254.51449
A3s,84.78944401,55.216314165,150.54772697,162822.91831
K3s,84.284109712,54.942736767,150.39563912,77084.827425
ATs,83.037367691,61.486605402,132.40149375,128035.87503
A4s,82.992440137,54.308673317,149.81978461,149036.6598
Q3s,82.738854187,55.518435342,146.10736634,79981.616186
AJo,82.469884302,64.32364365,125.69690266,255103.46913
A8s,81.323079957,58.315389345,136.71950176,139535.54302
A9s,80.546386619,60.340765733,130.86848459,153709.90715
J5s,80.321501828,55.404358503,142.13064197,11592.489689
A7s,79.887795249,55.713902412,140.57778131,118205.23084
A6s,79.608823585,54.418345009,143.421977,129056.05722
A5s,79.587421262,54.515912018,143.12680592,169699.08905
Q7s,78.966474617,55.029873249,140.68379191,102360.39097
K4s,78.876230864,52.046742104,148.57728837,86161.603809
32s,77.968253749,47.151030408,162.11621209,99725.60218
Q6s,77.299863422,53.959346109,140.44680911,102571.61096
Q4s,77.224119063,52.935806952,143.02213381,111597.09223
J7s,77.129526328,53.114375767,142.3666975,111821.85662
K6s,76.354811946,51.299307096,145.9233331,93471.086515
K7s,75.922204273,50.938005009,146.1257338,81910.119227
Q5s,75.600269672,52.512089726,141.14447136,116155.70244
KQs,75.118972184,57.325352555,128.47029783,124622.00116
