Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11 RAISE 46
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 980 freq,CALL freq,FOLD freq
2h 2d 2c,1.42895,53.77,88.2103,160.824,46.23,12.2897,39.6802,0.00,68.23,31.77
3c 2d 2c,23.06,52.48,81.2566,151.794,47.52,19.2433,60.4424,0.00,66.00,34.00
3d 3c 2c,19.7165,52.68,82.4729,153.479,47.32,18.027,56.8621,0.00,65.57,34.43
3h 3d 3c,4.31167,53.80,87.8861,160.163,46.20,12.6139,40.7477,0.00,68.00,32.00
3h 3d 2c,22.2409,50.28,82.2707,160.43,49.72,18.2293,54.7178,0.00,69.60,30.40
3h 2d 2c,19.7841,50.68,81.5803,157.807,49.32,18.9197,57.2583,0.00,70.19,29.81
4c 2d 2c,22.108,52.41,81.1342,151.781,47.59,19.3658,60.7312,0.00,65.78,34.22
4c 3c 2c,5.4189,54.52,80.7881,145.277,45.48,19.7118,64.6885,0.00,56.44,43.56
4c 3c 2d,2.44991,53.60,79.0405,144.564,46.40,21.4595,69.0323,0.00,62.80,37.20
4c 3d 3c,14.5224,52.74,81.546,151.599,47.26,18.954,59.8544,0.00,65.05,34.95
4c 3d 2c,2.25269,53.68,78.9064,144.101,46.32,21.5936,69.5857,0.01,62.78,37.21
4d 4c 2c,8.95782,52.91,81.9546,151.857,47.09,18.5454,58.7807,0.00,64.39,35.61
4d 4c 3c,8.51572,52.84,80.8992,150.095,47.16,19.6008,62.036,0.00,64.21,35.79
4h 4d 4c,8.43288,53.70,87.4762,159.708,46.30,13.0238,41.9825,0.00,67.82,32.18
4d 3c 2c,2.26552,53.53,78.9827,144.666,46.47,21.5173,69.1043,0.01,62.90,37.09
4h 4d 2c,12.7955,49.86,81.8756,160.976,50.14,18.6244,55.4453,0.00,67.56,32.44
4h 4d 3c,10.1814,49.85,80.6288,158.571,50.15,19.8712,59.1396,0.00,66.59,33.41
4h 2d 2c,20.109,50.84,80.8893,155.98,49.16,19.6107,59.5418,0.00,70.27,29.73
4h 3d 3c,15.8607,49.99,81.1056,159.057,50.01,19.3944,57.8842,0.00,68.03,31.97
4h 3d 2c,0.63696,51.29,78.7203,150.484,48.71,21.7797,66.7298,0.00,64.90,35.10
5c 2d 2c,21.4867,52.52,78.7416,146.984,47.48,21.7584,68.3993,0.00,65.16,34.84
5c 3c 2c,6.91014,53.87,81.1015,147.587,46.13,19.3985,62.77,0.00,56.33,43.67
5c 3c 2d,8.63159,52.35,79.5199,148.921,47.65,20.9801,65.7163,0.00,64.68,35.32
5c 3d 3c,17.5508,52.31,79.1497,148.337,47.69,21.3503,66.8217,0.00,64.56,35.44
5c 3d 2c,8.41167,52.46,79.4345,148.448,47.54,21.0655,66.1373,0.00,64.64,35.36
5c 4c 2c,6.75843,54.26,81.7243,147.672,45.74,18.7757,61.2621,0.00,56.38,43.62
5c 4c 2d,7.13119,53.02,79.7285,147.433,46.98,20.7715,65.9869,0.00,63.55,36.45
5c 4c 3c,6.59777,54.55,80.955,145.503,45.45,19.545,64.1798,0.00,56.74,43.26
5c 4c 3d,6.47943,54.00,78.8231,143.116,46.00,21.6769,70.3283,0.00,63.81,36.19
5c 4d 4c,13.6594,52.61,78.3831,146.08,47.39,22.1169,69.65,0.00,63.64,36.36
5c 4d 2c,6.28209,53.26,79.5327,146.409,46.74,20.9673,66.9501,0.00,63.51,36.49
5c 4d 3c,5.89365,54.07,78.7415,142.783,45.93,21.7585,70.7005,0.00,63.72,36.28
5d 5c 2c,6.38148,52.50,78.9848,147.504,47.50,21.5152,67.6017,0.00,62.68,37.32
5d 5c 3c,6.64248,52.54,78.7273,146.909,47.46,21.7727,68.4694,0.00,62.77,37.23
5d 5c 4c,7.71394,52.92,78.6239,145.659,47.08,21.8761,69.3518,0.00,62.77,37.23
5h 5d 5c,16.5366,53.40,86.4988,158.804,46.60,14.0012,44.8447,0.00,67.31,32.69
5d 3c 2c,8.38075,52.40,79.4513,148.663,47.60,21.0487,65.9946,0.00,64.74,35.26
5d 4c 2c,6.16951,53.11,79.5733,146.9,46.89,20.9267,66.6057,0.00,63.58,36.42
5d 4c 3c,5.87479,53.92,78.7215,143.122,46.08,21.7785,70.5483,0.00,63.81,36.19
5h 5d 2c,7.98366,49.75,79.0408,155.77,50.25,21.4592,63.7347,0.00,64.88,35.12
5h 5d 3c,7.65106,49.69,78.4113,154.714,50.31,22.0887,65.5271,0.00,64.78,35.22
5h 5d 4c,7.11764,50.42,78.3013,152.253,49.58,22.1987,66.8262,0.00,64.48,35.52
5h 2d 2c,19.6942,51.54,77.8714,148.132,48.46,22.6286,69.6916,0.00,69.29,30.71
5h 3d 3c,18.8763,50.41,77.9362,151.581,49.59,22.5638,67.9077,0.00,68.11,31.89
5h 3d 2c,6.91913,49.65,79.1219,156.225,50.35,21.3781,63.3752,0.00,66.94,33.06
5h 4d 4c,13.0827,50.48,77.5342,150.57,49.52,22.9658,69.2246,0.00,65.95,34.05
5h 4d 2c,4.49787,50.54,79.2355,153.705,49.46,21.2645,64.1688,0.00,65.69,34.31
5h 4d 3c,3.84729,51.82,78.0748,147.702,48.18,22.4252,69.4744,0.00,65.55,34.45
6c 2d 2c,20.1243,52.92,77.98,144.474,47.08,22.52,71.3884,0.00,65.82,34.18
6c 3c 2c,8.70844,53.19,81.0862,149.449,46.81,19.4138,61.9046,0.00,55.58,44.42
6c 3c 2d,10.1062,52.36,79.1921,148.287,47.64,21.3079,66.7534,0.00,65.46,34.54
6c 3d 3c,18.3642,52.03,79.1891,149.208,47.97,21.3109,66.3101,0.00,65.16,34.84
6c 3d 2c,10.6098,52.38,79.1507,148.154,47.62,21.3493,66.91,0.00,65.60,34.40
