
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
QQ,43.673356101,67.825788977,143.08997199,603306.48463
JJ,33.53368742,62.906970854,118.45953535,1375386.8543
AKo,27.503253439,59.7851819,102.22991556,883516.46058
TT,27.33080407,58.383523748,104.02784254,1423173.5929
AQs,24.097548701,57.198903672,93.620864712,652365.04666
99,22.962922489,54.012696222,94.475410803,1489424.1568
AJs,21.060265916,53.988261446,86.686604959,874016.62305
88,20.455882734,51.26876865,88.665123787,1507181.4733
KQs,20.029079846,50.416687919,88.282408388,488425.37504
AQo,18.656111353,55.063035227,75.291935973,2579752.3884
77,18.565305292,48.768974312,84.595246393,1505762.5258
ATs,18.194594579,50.341215023,80.316759099,850126.58326
KJs,17.739775848,47.554631536,82.89775955,882413.46896
66,16.673340525,46.420865124,79.817271252,1518823.95
KTs,16.173192687,44.758266033,80.298973527,425027.25196
QJs,16.042637623,43.526424845,81.904971418,380431.27382
KQo,15.917239488,47.946719523,73.772812111,2442859.6236
A9s,15.897706536,46.865671342,75.381906919,877478.62792
A2s,15.854102885,42.44031471,83.0138513,558580.98429
A3s,15.700923689,42.600189119,81.903255017,846421.88072
A4s,15.593701284,42.728798749,81.099096007,711418.05325
A8s,15.387956496,45.452706693,75.23305292,923960.75428
AJo,15.281587556,51.578623843,65.839452331,2508023.3914
A7s,15.257153955,44.324945784,76.491433811,802697.86951
K9s,15.025954143,42.174864091,79.172772517,736644.43475
55,15.015726145,44.060417655,75.733009576,1541979.6467
JTs,14.889230981,40.756730138,81.182125863,617042.20681
22,14.811733324,40.621486804,81.028454474,1568253.4586
A5s,14.79878802,43.259727894,76.020347795,895315.09132
QTs,14.694530115,41.656673154,78.389628583,697997.899
A6s,14.651308688,43.108867729,75.5261399,791748.43772
33,14.479823675,41.445550921,77.637732467,1573441.8836
J9s,14.398675922,38.831124487,82.400543446,900081.11357
T9s,13.972988577,38.441720756,80.774442756,740457.98863
44,13.938203594,42.288830282,73.243420447,1582057.2399
Q9s,13.860966551,39.388024271,78.201809969,739434.25261
KJo,13.548418983,44.833850902,67.153717858,2507720.6093
K8s,13.507184787,39.974217379,75.088314825,923379.32776
K2s,13.366164259,37.476543433,79.256474905,862165.95955
K7s,13.329742547,39.229932506,75.507777382,676052.91579
K3s,13.157650716,37.496624407,77.978282783,628214.49803
T8s,13.075071955,36.662902346,79.250996504,905391.73853
98s,12.936376424,36.847307626,78.017920485,928752.54321
97s,12.836452688,35.481240319,80.395865987,1004425.0616
K6s,12.811750701,38.43339882,74.077645977,686516.98165
K4s,12.653382902,37.420182363,75.142949327,598818.65335
87s,12.571855874,35.753331719,78.13945206,592436.39723
J8s,12.423905453,37.016438466,74.584913968,959627.81955
K5s,12.368811053,37.87013616,72.580269237,846840.2471
54s,12.345599498,32.994701653,83.148700175,652659.79407
ATo,12.316813533,47.609685572,57.489765816,2331262.0096
Q8s,12.068629589,37.380567076,71.746308207,757522.83285
76s,12.047826515,34.612375162,77.350796312,635856.31991
86s,11.927628407,34.324082191,77.222285967,1013410.1591
QJo,11.875447883,40.517113612,65.132685502,2731018.1504
53s,11.832241272,31.982677681,82.212845825,1035923.7298
32s,11.77939847,30.555663139,85.668050878,616606.67292
43s,11.772020185,31.557139472,82.897389603,952034.42914
KTo,11.703321634,41.7649669,62.27080575,2692360.9951
64s,11.680095306,32.395150471,80.122385508,984970.33497
Q3s,11.371861438,34.705970356,72.813994065,755740.89818
75s,11.319343155,33.129167213,75.927341421,1020905.3919
T7s,11.242743324,34.978101082,71.427188102,980795.55865
96s,11.215089094,33.926510743,73.46001597,1009485.1369
65s,11.206580199,33.420513315,74.515646477,787987.99741
Q7s,11.200526474,35.861977186,69.405149368,961128.94974
J7s,11.194929501,35.459758787,70.15733317,962493.50268
42s,11.123501093,30.535410851,80.951559611,1047605.473
52s,10.904599368,30.936199518,78.330381294,1035206.7528
63s,10.82254909,31.40830228,76.572458051,1037161.6842
Q6s,10.819418158,35.522447803,67.684388181,951982.88861
Q4s,10.727097854,34.62843834,68.839359714,949810.80109
J5s,10.578932116,33.586110496,69.995416817,80544.717838
JTo,10.561460148,37.494808094,62.59509685,2781436.3706
QTo,10.548174409,38.446880573,60.968243003,2769177.0425
Q5s,10.510290677,34.954051267,66.819726636,965759.98434
74s,10.395292959,31.904413239,72.405816863,1035165.454
85s,10.394176037,32.774181396,70.476722796,1019719.3058
A9o,10.301685764,43.80014709,52.266114502,2666169.4904
A8o,9.9224043427,42.229172075,52.214586138,1168481.1245
T6s,9.8123200803,33.438184468,65.21034584,975160.7687
T9o,9.7717326306,34.93559201,62.157130171,1538835.0198
95s,9.727464365,32.33881563,66.844091402,992493.92079
84s,9.5800341004,31.471185046,67.645894608,738038.34985
A5o,9.2421477176,39.83301508,51.560510792,1117266.7377
98o,9.1304492118,33.283066558,60.961591691,1114113.2603
87o,8.8978284167,32.177253628,61.450092247,1062318.9954
54o,8.7084526945,29.224252551,66.219374011,598030.82115
76o,8.4403375008,30.978123788,60.546938497,1259721.0325
65o,7.6126671212,29.708252059,56.943902365,1378252.6663

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,65.844323916,83.232051828,141.26667224,2427842.6216
KK,62.627306309,80.020279036,139.75766755,2448969.9277
QQ,57.928855827,77.362414178,133.71400893,2433013.8522
JJ,53.431141169,73.939073447,129.04239618,2406388.9406
TT,49.406006169,70.31958682,125.46292577,2379272.2851
99,45.998403973,65.95864488,124.53258742,2457641.9973
88,43.953292466,62.773428097,125.03383142,2455338.5836
AKs,42.819841677,65.611811738,116.53999634,1644461.8795
AQs,42.638274023,64.706733476,117.66901364,1599188.8354
77,42.098364177,59.662811718,126.0008507,2481149.7303
KQs,41.844460956,61.371250671,121.75448747,1538888.7991
AJs,41.557840727,63.105751443,117.59693558,1553135.1056
22,41.0431811,47.282095449,155.0087705,44444.863418
ATs,40.780782214,61.50605168,118.39944752,1494914.3823
44,40.612791232,51.369924298,141.17762967,556188.02297
66,40.342271085,56.660861212,127.14203112,2508757.3886
KJs,40.206276891,59.001372853,121.68686854,1592842.7038
KTs,39.964088272,57.159625016,124.85113981,1574042.7478
QJs,39.879699873,55.401374375,128.5414858,1651456.8218
33,39.832653583,48.791271823,145.78373525,379188.84701
JTs,39.438723664,51.04185365,137.97753651,1619103.8938
QTs,39.361008346,53.271971002,131.94089421,1628435.2736
AKo,39.30573531,63.560165945,110.42893298,4947703.9377
55,38.820183514,53.54614405,129.46171476,2258544.1667
A9s,38.740307048,57.382950822,120.55692281,1517324.0765
87s,38.5597317,43.729333879,157.46103963,260216.96679
98s,38.389238178,45.589820293,150.36736401,492872.29184
T9s,37.850151635,47.559132684,142.11688203,1654394.3198
T8s,37.8472544,46.073873585,146.68699981,573549.91377
J9s,37.8400617,48.51297352,139.2855021,1059294.679
AQo,37.738537968,61.795461635,109.05371461,4816175.2513
K6s,37.445444212,50.576781538,132.20861951,212588.53795
A8s,37.362967453,55.022302916,121.25916438,1606940.1369
Q9s,37.313414146,50.029321407,133.18409048,1666202.4607
K9s,37.254127492,53.182341255,125.08894136,1683111.4731
76s,37.142090015,40.992709402,161.79745547,421542.83541
KQo,37.07749083,58.06822273,114.02071898,4695482.5409
A4s,36.631561037,51.866563567,126.11882753,1661209.7959
A7s,36.621302636,53.728240989,121.71472967,1621429.4453
A5s,36.57660125,52.770105886,123.77340973,1615144.1894
K8s,36.531008606,51.509140654,126.64537422,1688019.7323
K7s,36.16492802,50.75850608,127.23035722,1707977.628
A6s,36.133635776,52.758883719,122.30044507,1622509.1381
K5s,36.075501977,49.643033039,129.76753293,864322.08938
A3s,36.046563214,51.00577007,126.19917863,1689043.3905
54s,35.943783358,37.089126135,173.05699571,568751.11201
AJo,35.918512772,59.732699733,107.37870826,4760558.1491
65s,35.780558006,38.426843952,166.27400799,736977.95808
QJo,35.488467406,51.840845231,122.243885,2362486.9199
A2s,35.258948263,50.049522519,125.80021635,1707944.6187
QTo,35.176223753,49.231227852,127.59114086,653842.97452
KJo,34.835469434,55.186155924,112.72065317,4910155.0997
ATo,34.565776318,57.500315535,107.34654235,4706434.4659
KTo,34.21831615,52.18652339,117.08796067,1162569.5553

Hands EV OOP
Hand, EV, Equity, Matchups
AcQc,50.965955267,69.629567709,162.65744869,141115.88395
AcJc,48.685341393,67.293485031,160.77284077,188599.37594
QsQh,46.689913659,67.751848767,153.14026934,109801.10043
QsQc,46.624709091,69.627073698,148.80772542,98860.503243
AcTc,45.998640774,64.59898928,158.23653413,183566.68306
QsQd,45.219804857,67.210670533,149.51265096,106468.1171
Ac4c,43.358778515,58.251778443,165.40755273,148604.74183
Ac2c,43.356247769,57.89554401,166.41560056,112964.42703
Ac3c,43.287162386,58.077214952,165.63069402,173921.06311
Ac9c,42.56026339,61.699586388,153.28848802,188781.43743
Ac5c,42.220189887,58.619631778,160.05328138,187512.38517
Ac8c,42.012154979,60.311120102,154.79789505,197128.73668
Ac7c,41.781149033,59.375642656,156.3721986,170189.26092
Ac6c,41.485944723,58.414243696,157.82278849,166922.98869
QhQc,41.220701901,68.349858085,134.01865395,94035.509926
QhQd,40.996174098,66.16890023,137.6819152,102411.51478
QdQc,40.59005707,67.999523662,132.64817452,91729.739147
KcQc,38.478598467,62.253631725,137.35423014,102836.36792
JsJh,38.002827885,63.416960938,133.1674167,252184.30908
KcJc,36.586048601,60.164108386,135.13427259,185310.1157
JsJc,35.913258213,64.589306476,123.56107354,225137.09041
AcKs,35.858581334,63.800482132,124.89832934,74445.985823
KcTc,35.457907407,58.049047373,135.73926422,89261.526326
JsJd,35.143385364,62.374000628,125.20667447,241214.10419
AcKh,34.153313138,62.594197451,121.25125732,69979.512292
AcKd,33.46051944,62.341187689,119.27381018,69327.905499
QcJc,32.990031752,56.152568693,130.55712922,79819.734367
Kc9c,32.9825425,55.722704659,131.5344245,154478.24179
TsTh,32.562520193,59.299219977,122.02716328,261627.15005
JcTc,32.293830551,53.812883275,133.35852592,129155.08517
QcTc,31.766432519,54.709191013,129.03146794,146421.68801
JhJd,31.320484755,61.345057133,113.45832979,233541.74108
Tc9c,31.002682835,51.668947347,133.33898653,154526.70394
JhJc,30.87422512,63.283168867,108.41648796,215802.57198
Jc9c,30.633464157,52.044274873,130.80087091,187978.41558
Kc8c,30.480986883,53.608646028,126.35186938,191981.42574
AsKc,30.360322362,61.921553633,108.9562181,71785.780162
Kc7c,30.31530159,52.92570308,127.2866168,139598.81634
Kc3c,29.888836818,51.371266574,129.29336145,125702.94957
Qc9c,29.782114252,52.627339104,125.75683521,154811.75338
Kc2c,29.776308111,51.221069039,129.18428846,169583.61859
Kc6c,29.74931321,52.19865556,126.64997633,140886.08848
Kc4c,29.669288039,51.448558235,128.15082377,121830.1395
9s9h,29.359722906,55.574843389,117.39813322,273871.24237
Kc5c,29.317817378,51.797764757,125.77898987,172825.75672
TsTc,29.07896221,59.8865754,107.90384254,231906.71318
JdJc,28.906063237,62.448093936,102.86254077,207507.03755
AdKc,28.852801257,60.73864158,105.56267717,67907.91237
TsTd,28.609141675,57.832783186,109.93050461,248043.08352
Tc8c,28.314664304,49.796250187,126.35786027,187321.31905
AhKc,28.292855548,60.582223395,103.78128898,67495.307035
9c8c,28.290586581,49.643515026,126.63883721,191357.23539
8s8h,27.721249526,53.342399157,115.48557564,278602.67092
9c7c,27.305674934,48.42187449,125.31377248,205820.0515
Jc8c,27.186763488,50.165698234,120.43095601,198590.59179
AcQs,27.111886885,59.138822671,101.87662656,216893.143
Qc8c,26.860801299,50.650015389,117.84926242,157175.54913
8c7c,26.815256978,48.207640067,123.60999183,120171.85374
7s7h,26.489555571,51.236898071,114.88923269,279359.1927
5c4c,26.14236751,45.731882264,127.03205542,128101.10636
2s2h,25.927208335,44.746471642,128.76103167,295778.64489
