Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
2h 2d 2c,99.9998,38.23,9.77286,56.8029,61.77,44.7272,129.309,1.43,65.83,32.74
3c 2d 2c,98.7236,41.06,15.2173,82.3514,58.94,39.2827,119.022,23.36,46.15,30.49
3d 3c 2c,81.7062,40.74,15.3395,83.6762,59.26,39.1605,118,24.13,43.08,32.79
3h 3d 3c,99.9994,38.76,10.6733,61.1963,61.24,43.8267,127.792,4.31,63.78,31.91
3h 3d 2c,94.8912,40.34,14.9727,82.4713,59.66,39.5273,118.32,23.44,47.99,28.57
3h 2d 2c,99.9838,40.39,14.2382,78.3439,59.61,40.2618,120.604,19.79,53.99,26.22
4c 2d 2c,95.8544,41.49,15.3871,82.4176,58.51,39.1128,119.368,23.06,48.38,28.55
4c 3c 2c,52.9927,44.31,16.0825,80.6551,55.69,38.4175,123.189,10.23,61.98,27.79
4c 3c 2d,11.2481,42.74,15.1625,78.8302,57.26,39.3375,122.684,21.78,47.80,30.42
4c 3d 3c,62.7801,41.39,15.163,81.4128,58.61,39.337,119.848,23.13,46.63,30.24
4c 3d 2c,10.2966,42.80,15.175,78.7881,57.20,39.325,122.77,21.88,47.66,30.46
4d 4c 2c,38.5852,40.71,14.8164,80.8847,59.29,39.6836,119.514,23.22,42.31,34.48
4d 4c 3c,36.9208,41.27,14.7467,79.4056,58.73,39.7533,120.871,23.06,44.11,32.82
4h 4d 4c,99.9997,39.43,11.8502,66.792,60.57,42.6498,125.732,8.43,60.08,31.48
4d 3c 2c,10.5051,42.76,15.1474,78.7174,57.24,39.3526,122.772,21.57,48.05,30.39
4h 4d 2c,54.745,40.13,14.578,80.736,59.87,39.922,119.064,23.37,44.06,32.57
4h 4d 3c,44.7316,40.75,14.3615,78.3131,59.25,40.1385,120.977,22.76,46.46,30.78
4h 2d 2c,99.9772,40.96,14.4717,78.5053,59.04,40.0283,121.079,20.11,55.95,23.93
4h 3d 3c,71.6875,40.98,14.7759,80.1284,59.02,39.7241,120.186,22.12,51.86,26.02
4h 3d 2c,2.76319,42.36,15.0306,78.8519,57.64,39.4694,122.277,23.05,46.41,30.54
5c 2d 2c,99.6888,42.07,14.9795,79.1234,57.93,39.5205,121.825,21.55,51.24,27.20
5c 3c 2c,66.7038,44.27,16.1605,81.1128,55.73,38.3395,122.859,10.36,62.26,27.38
5c 3c 2d,40.7407,42.48,15.2122,79.5811,57.52,39.2878,121.966,21.19,50.63,28.19
5c 3d 3c,79.2362,42.08,15.0251,79.3482,57.92,39.4749,121.703,22.15,50.41,27.44
5c 3d 2c,39.6301,42.50,15.2078,79.5181,57.50,39.2923,122.025,21.23,50.55,28.22
5c 4c 2c,69.926,44.69,16.3184,81.135,55.31,38.1816,123.282,9.67,63.79,26.54
5c 4c 2d,35.245,42.97,15.2904,79.0831,57.03,39.2096,122.764,20.23,52.25,27.51
5c 4c 3c,74.6292,45.37,16.4084,80.3729,54.63,38.0916,124.506,8.84,66.58,24.58
5c 4c 3d,31.4391,43.59,15.532,79.1734,56.41,38.968,123.368,20.61,53.62,25.77
5c 4d 4c,62.3574,42.55,15,78.3304,57.44,39.5,122.788,21.91,50.79,27.31
5c 4d 2c,30.9769,43.02,15.2614,78.8401,56.98,39.2386,122.964,20.28,52.14,27.58
5c 4d 3c,28.6741,43.66,15.538,79.0812,56.34,38.962,123.497,20.55,53.61,25.83
5d 5c 2c,27.0158,41.31,14.5169,78.0926,58.69,39.9831,121.653,23.62,42.69,33.69
5d 5c 3c,28.196,41.85,14.6766,77.9302,58.15,39.8234,122.296,23.56,44.40,32.04
5d 5c 4c,33.343,42.51,14.9219,78.004,57.49,39.5781,122.936,23.14,47.11,29.76
5h 5d 5c,99.9989,40.19,13.9854,77.3347,59.81,40.5146,120.957,16.54,51.49,31.97
5d 3c 2c,40.0414,42.54,15.229,79.5586,57.46,39.271,122.039,20.93,50.85,28.22
5d 4c 2c,30.9049,43.04,15.268,78.8301,56.96,39.232,122.995,19.96,52.47,27.56
5d 4c 3c,28.9294,43.66,15.5266,79.0238,56.34,38.9734,123.532,20.31,53.79,25.90
5h 5d 2c,33.9111,40.69,14.1693,77.377,59.31,40.3307,121.435,23.54,44.16,32.30
5h 5d 3c,32.8925,41.28,14.2558,76.7479,58.72,40.2442,122.38,23.26,46.50,30.24
5h 5d 4c,31.2393,41.97,14.5489,77.029,58.03,39.9511,122.944,22.78,49.67,27.55
5h 2d 2c,99.9972,41.46,13.9588,74.818,58.54,40.5412,123.668,19.69,55.76,24.55
5h 3d 3c,84.0226,41.72,14.5372,77.4338,58.28,39.9628,122.446,22.47,53.01,24.53
5h 3d 2c,31.6018,41.72,14.8879,79.3081,58.28,39.6121,121.364,21.89,50.02,28.09
5h 4d 4c,59.1536,42.14,14.598,76.9835,57.86,39.902,123.146,22.12,52.90,24.99
5h 4d 2c,21.5439,42.40,15.0147,78.6965,57.60,39.4853,122.409,20.88,51.48,27.64
5h 4d 3c,17.9663,43.07,15.4042,79.4805,56.93,39.0958,122.629,21.41,51.91,26.68
6c 2d 2c,99.9808,42.54,14.6692,76.63,57.46,39.8308,123.784,20.13,53.26,26.61
6c 3c 2c,81.0327,45.13,16.5984,81.7357,54.87,37.9016,123.343,10.75,60.20,29.05
6c 3c 2d,46.6931,43.26,15.3919,79.0715,56.74,39.1081,123.075,21.64,51.72,26.64
6c 3d 3c,84.1836,42.48,15.1658,79.3375,57.52,39.3342,122.111,21.81,52.08,26.10
6c 3d 2c,48.9754,43.24,15.3951,79.1141,56.76,39.105,123.033,21.66,51.86,26.47
6c 4c 2c,77.5705,45.68,16.8954,82.2005,54.32,37.6046,123.61,10.34,61.65,28.01
6c 4c 2d,37.5159,43.79,15.6233,79.2848,56.21,38.8767,123.505,21.26,52.74,26.00
6c 4c 3c,61.5129,45.93,16.8329,81.4504,54.07,37.6672,124.389,9.05,65.54,25.40
6c 4c 3d,20.7483,44.65,16.0673,79.9632,55.35,38.4327,123.997,21.63,52.58,25.80
6c 4d 4c,60.2927,42.76,15.0297,78.1152,57.24,39.4703,123.128,21.58,51.90,26.51
6c 4d 2c,38.8749,43.79,15.5993,79.1608,56.21,38.9007,123.584,21.16,52.96,25.89
6c 4d 3c,20.5138,44.69,16.0682,79.8956,55.31,38.4318,124.084,21.40,52.89,25.71
6c 5c 2c,87.9027,46.22,17.1415,82.4226,53.78,37.3585,124.036,9.31,64.16,26.53
6c 5c 2d,42.6728,44.53,15.9154,79.4231,55.47,38.5846,124.215,21.15,53.80,25.05
6c 5c 3c,69.2866,46.39,17.0844,81.8415,53.61,37.4156,124.626,7.73,68.06,24.21
6c 5c 3d,23.5869,45.30,16.3878,80.3939,54.70,38.1122,124.416,20.85,54.32,24.82
6c 5c 4c,76.1821,46.74,16.9263,80.4672,53.26,37.5737,125.989,6.28,72.13,21.59
6c 5c 4d,26.9255,45.83,16.435,79.6905,54.17,38.065,125.482,19.85,57.35,22.79
6c 5d 5c,49.2331,43.42,15.3099,78.3643,56.58,39.1901,123.677,21.64,52.77,25.58
6c 5d 2c,40.6923,44.59,15.8919,79.1998,55.41,38.6081,124.424,21.14,53.69,25.17
6c 5d 3c,20.9124,45.39,16.4099,80.3453,54.61,38.0901,124.546,20.72,54.47,24.81
6c 5d 4c,24.7566,45.87,16.4366,79.6236,54.13,38.0634,125.576,19.55,57.67,22.77
6d 6c 2c,33.0845,41.85,14.5737,77.3859,58.15,39.9263,122.609,22.41,45.66,31.94
6d 6c 3c,30.972,42.07,14.6473,77.3693,57.93,39.8527,122.848,22.58,46.70,30.72
6d 6c 4c,30.1905,42.61,14.8285,77.3303,57.39,39.6715,123.444,21.86,49.62,28.52
6d 6c 5c,47.5179,43.31,15.2956,78.4826,56.69,39.2044,123.491,21.35,53.22,25.43
6h 6d 6c,99.9998,40.45,13.5631,74.5037,59.55,40.9369,122.766,13.67,56.43,29.91
6d 3c 2c,46.5763,43.35,15.4392,79.1525,56.65,39.0608,123.118,21.54,51.84,26.61
6d 4c 2c,36.3615,43.90,15.6412,79.181,56.10,38.8588,123.685,21.13,52.80,26.07
6d 4c 3c,21.0657,44.70,16.0638,79.8669,55.30,38.4362,124.107,21.24,53.12,25.64
6d 5c 2c,38.2495,44.65,15.9321,79.2888,55.35,38.5679,124.435,21.15,53.68,25.17
6d 5c 3c,20.7186,45.40,16.4074,80.307,54.60,38.0926,124.587,20.66,54.52,24.81
6d 5c 4c,26.614,45.86,16.4307,79.6169,54.14,38.0693,125.566,19.81,57.29,22.90
6h 6d 2c,34.4015,41.37,14.2352,76.4635,58.63,40.2648,122.638,22.59,47.30,30.11
6h 6d 3c,35.6656,41.55,14.2638,76.2955,58.45,40.2362,122.916,22.37,49.20,28.43
6h 6d 4c,32.9871,42.12,14.3823,75.8743,57.88,40.1177,123.778,21.27,53.13,25.60
6h 6d 5c,43.3532,42.94,15.0256,77.7609,57.06,39.4744,123.536,21.20,56.07,22.73
6h 2d 2c,99.9631,42.17,14.2136,74.9095,57.83,40.2864,124.389,19.77,59.00,21.23
