
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
QQ,42.829845982,68.795760142,138.34782161,791032.31041
JJ,33.632141063,64.05027554,116.6866038,1804463.157
TT,28.14983827,59.658743893,104.85503394,1847145.1211
AKo,27.472397232,60.287737141,101.26399583,1154595.4144
AQs,24.909090373,58.274423362,94.987699524,848788.64874
99,24.519974914,55.647401999,97.918018067,1915295.1385
88,22.111946383,52.878380112,92.925801672,1933837.1618
AJs,21.941841184,55.011368636,88.63558258,1138069.7305
77,20.322567155,50.406644787,89.593863141,1932047.8756
AQo,19.929026026,56.143881205,78.880767683,3355496.675
KQs,19.67566736,49.096268996,89.057083436,643855.40286
ATs,19.474115482,51.67029534,83.753754254,1100682.4724
66,18.682061199,48.143112115,86.233917439,1941424.5105
A9s,17.588350961,48.519750031,80.555287967,1131348.4683
KJs,17.538979722,46.080665416,84.581049646,1163667.7064
A4s,17.254308363,44.547201206,86.072539765,911896.59643
A8s,17.176083619,47.210233593,80.849154524,1188945.0279
55,17.126573479,45.877226633,82.958485,1969594.4876
A3s,17.090579824,44.148576507,86.025573826,1090600.8247
A7s,17.016194308,46.130717853,81.970901145,1032829.4444
A2s,17.007718211,43.805498636,86.278961625,721963.97674
A5s,16.810160988,45.22717557,82.596166652,1149657.3421
AJo,16.606102751,52.583192184,70.179175181,3263210.4787
A6s,16.505476981,45.015328935,81.480772446,1016655.7947
KTs,16.505369031,43.903860807,83.542989554,557254.15754
QJs,16.381883809,42.498140388,85.660656939,499124.15735
44,16.31538863,44.243739405,81.947004627,2013036.817
33,16.275979753,43.152838213,83.815677932,2021285.8821
22,16.193725085,42.171570762,85.332500292,2026682.0059
JTs,15.778338184,40.434355686,86.715796868,805307.9916
K9s,15.727363536,41.923915051,83.364582492,960960.2306
KQo,15.711807196,46.398001119,75.251360535,3220263.4983
QTs,15.512815348,41.246991474,83.576818,910574.49974
T9s,15.486446324,39.12750483,87.95430558,956723.07267
J9s,15.439107015,38.945760484,88.094637959,1169383.3333
98s,15.119797668,38.331939348,87.654188506,1193386.5298
87s,15.040899703,37.695801251,88.668287858,760064.43916
Q9s,14.968090021,39.51271878,84.181557979,960148.9041
54s,14.910787117,35.588042467,93.107347821,831975.28709
97s,14.887025553,37.127795184,89.103807115,1290354.0178
76s,14.852203051,37.056847802,89.06557796,814133.13986
T8s,14.835634371,37.759417173,87.310871961,1168108.0424
K8s,14.533818009,40.1051656,80.531704261,1202518.3895
86s,14.518268311,36.595800852,88.159891894,1297319.2123
K7s,14.374740339,39.420891085,81.032839544,880404.79202
65s,14.317818751,36.238388284,87.800193408,1006595.4138
64s,14.266192542,34.960438708,90.681499617,1256304.54
53s,14.191312172,34.293538676,91.959740783,1327451.3475
K6s,14.080071118,38.850906556,80.536208041,892498.91966
75s,14.074411653,35.630392593,87.780313557,1306661.9566
ATo,14.047804885,48.968903877,63.749321951,3016504.0761
43s,13.967805321,33.764262468,91.93023958,1218397.1995
J8s,13.925437646,37.578234678,82.349310061,1245014.1035
K3s,13.857745018,37.348890947,82.452217851,819457.86159
K2s,13.795463303,36.99365091,82.869855672,1128415.7425
K4s,13.752540075,37.753402769,80.94952488,777034.51948
K5s,13.611215821,38.243377557,79.091200101,1100549.2062
96s,13.582421238,35.975961941,83.898127186,1294001.144
Q8s,13.567960789,37.931136421,79.488849587,982336.67219
KJo,13.442888877,43.100731024,69.309929746,3305682.8857
T7s,13.325548867,36.349424051,81.465749704,1265808.6501
32s,13.303308902,32.061817945,92.205965116,795333.55743
63s,13.149895297,33.634522615,86.880940407,1329452.7831
42s,13.069718919,32.490027565,89.393029177,1344694.1168
85s,13.02487694,35.128007369,82.396279056,1304868.3699
52s,13.01958701,32.983863897,87.716877767,1330542.5223
74s,12.949325014,34.330354675,83.821673504,1322836.8374
J7s,12.786460935,36.232569414,78.422143646,1248693.9855
Q7s,12.751252112,36.612864371,77.393878602,1246286.5829
Q6s,12.57112075,36.540763416,76.451122739,1231917.5301
Q3s,12.551328049,35.175015495,79.294464316,981259.63299
QJo,12.394468217,39.282847234,70.115240225,3583712.088
A9o,12.351814356,45.513402376,60.308557291,3434694.819
Q4s,12.319200926,35.587712457,76.925433436,1226933.4953
Q5s,12.234993444,35.964525909,75.59914564,1249360.2567
J5s,12.231997891,34.69616676,78.343575309,104209.31566
KTo,12.172042584,40.705233389,66.450874414,3528870.1364
95s,12.109460032,34.481595605,78.041374566,1271597.6945
T6s,12.077082113,35.153751647,76.344512304,1255744.2276
84s,12.044246149,33.823824407,79.130588903,942794.38129
A8o,12.031940305,44.055815356,60.69038765,1503293.3004
JTo,11.65554902,37.033804282,69.939398735,3630137.3242
A5o,11.604144961,41.894812378,61.551746718,1434435.3546
QTo,11.537994315,37.88571774,67.677185219,3613046.0542
T9o,11.4845561,35.584873232,71.719338751,1988512.9291
87o,11.460231891,34.148150459,74.578510512,1363520.7635
98o,11.44031153,34.771400762,73.114438745,1431884.0529
54o,11.395171832,31.939689163,79.282562651,762663.28529
76o,11.329966557,33.488902708,75.182228812,1613746.2947
65o,10.808040859,32.621318061,73.626297168,1761563.0837

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,53.411499536,82.514291821,143.84444024,3070576.0843
KK,48.72436657,78.663065407,137.64575483,3179639.4128
QQ,44.546593735,76.211493186,129.89173468,3119567.0002
JJ,40.240812101,72.914161969,122.64287825,3141065.982
TT,36.468439206,69.380728508,116.80617623,3109418.4291
99,33.338053026,65.216249001,113.59831854,3206843.7909
88,31.275241253,62.064079015,111.98190196,3230867.6602
AKs,30.251005512,63.990196546,105.05430569,2085557.4343
77,29.592628764,59.100285286,111.27086263,3251942.5096
AQs,29.514991077,62.84345562,104.36865448,2068307.735
66,28.052144744,56.21619268,110.88993483,3245450.5798
AJs,28.001732031,61.035950645,101.94986811,2075372.9085
KQs,27.357612317,57.547670936,105.64231888,2103527.4061
44,27.21800244,50.316688718,120.20753235,741835.61948
JTs,27.145131108,49.600804817,121.61599756,2083538.2293
87s,27.018459971,43.425990546,138.26057023,330583.34544
98s,26.992682961,45.203772048,132.69631536,613108.55673
ATs,26.956498175,59.444736301,100.77146103,2064558.9695
QJs,26.943890598,53.165781824,112.62001683,2087077.0434
QTs,26.792944806,51.599660588,115.3881182,2078359.8146
AKo,26.692403452,62.170109583,95.409920481,6252049.3428
55,26.591325469,53.202078232,111.07053773,2912469.9523
33,26.4108554,47.877279971,122.58589003,500668.01378
KJs,26.365428355,55.870627994,104.8669809,2111638.2426
KTs,26.331091414,54.365215949,107.63046822,2098178.1481
T9s,26.275672747,47.089336004,123.99916592,2106041.0729
76s,26.268353834,41.739652851,139.85291119,517618.39883
22,26.135155356,45.672460175,127.16223911,64300.077918
T8s,26.067062588,45.54509491,127.18560773,737918.74744
J9s,25.954942142,47.729058869,120.8438854,1352741.8876
A9s,25.684876808,56.229993625,101.50722122,2097092.1166
AQo,25.533883414,60.92494991,93.134197447,6198642.0338
Q9s,25.46835622,49.399175975,114.56941546,2110609.7243
65s,25.379984243,39.970425023,141.10424133,888093.17174
A8s,25.257283978,54.877805898,102.27686186,2105355.6813
54s,25.124385184,38.742509614,144.11035225,680688.52934
K9s,24.907897322,51.845899528,106.76038692,2132500.538
A7s,24.729596197,53.861617013,102.02935089,2111679.2244
A5s,24.72551851,52.859642929,103.94621236,2104339.5372
A4s,24.611086691,51.911960998,105.35395448,2127056.7986
K6s,24.504928331,49.147875907,110.79908396,274352.90189
K8s,24.356003855,50.379684778,107.43309183,2141366.9368
A6s,24.304594881,52.912023819,102.07549617,2109423.4529
A3s,24.1350184,51.151385479,104.85224148,2140503.8833
K7s,24.114637751,49.85483467,107.4882391,2146521.4964
KQo,23.682392766,55.296712343,95.17299899,6306066.6807
AJo,23.670167265,58.921840571,89.271433463,6214983.4331
QTo,23.578242669,48.895586055,107.15915085,853334.20806
K5s,23.556378932,48.241328723,108.51174734,1105678.8031
A2s,23.521329716,50.474552218,103.55638494,2148419.4995
QJo,23.423760126,50.593535034,102.88429193,3013732.9278
KTo,22.656841262,51.780233488,97.235050415,1418977.4877
ATo,22.656753381,57.182403814,88.048660933,6181407.7783
KJo,22.336344432,53.426758174,92.905358018,6213861.4351

Hands EV OOP
Hand, EV, Equity, Matchups
AcQc,49.190678019,70.162155328,155.79997124,183439.579
AcJc,46.89212242,67.658885532,154.01482846,245178.28054
QsQc,45.529879074,70.629423544,143.25121738,129415.27297
QsQh,44.993331152,68.361052591,146.26044589,142445.39434
AcTc,44.686585659,65.096639715,152.54784904,236169.38237
QsQd,43.861288527,67.978210871,143.38348834,139055.44932
Ac4c,42.869168802,59.179352553,160.97644778,186779.26191
Ac3c,42.569136338,58.806819156,160.86243417,221016.6142
Ac2c,42.373312922,58.457612305,161.07896627,144654.10214
Ac5c,42.167306265,59.823421887,156.63618375,238101.77882
Ac9c,42.063764548,62.552170489,149.43531391,241207.58932
Ac8c,41.840089609,61.424736837,151.36894629,251662.62314
Ac7c,41.628245554,60.540427662,152.80237672,217188.80389
Ac6c,41.404584564,59.62127599,154.32441925,212166.27417
QhQc,41.108189198,69.578688086,131.29240298,123987.51105
QdQc,40.730231172,69.370928833,130.47486368,121691.61902
QhQd,40.359825813,67.094118934,133.67565329,134437.06371
KcQc,37.444679134,61.588290613,135.1074973,138238.39442
JsJh,37.042355111,64.134866986,128.34881954,327136.40666
JsJc,35.698078461,65.703917466,120.73718936,294485.2823
KcJc,35.692331648,59.25790979,133.84929174,249049.45696
KcTc,35.057816136,57.592905196,135.27058205,118788.22452
JsJd,34.842401934,63.37458999,122.17445488,315946.29188
AcKs,34.352635418,63.520734305,120.17995487,95300.858791
Kc9c,33.291196454,55.915548257,132.30745092,203569.85716
AcKh,32.94389689,62.554766969,117.03130441,90740.604287
QcJc,32.792506458,55.719863563,130.78322866,106297.07588
TsTh,32.542976921,60.247678206,120.03404719,336966.94734
AcKd,32.470711277,62.409133983,115.61951203,90261.955608
