Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\7c5d2c.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 11 freq,CHECK freq
2h 2d 2c,100,38.23,9.77288,56.8031,61.77,33.7271,121.342,100.00,0.00
3c 2d 2c,100,41.12,15.2911,82.6335,58.88,28.2088,106.468,98.72,1.28
3d 3c 2c,100,41.31,16.1843,87.0547,58.69,27.3157,103.433,81.71,18.29
3h 3d 3c,100,38.76,10.6734,61.1965,61.24,32.8266,119.115,100.00,0.00
3h 3d 2c,100,40.55,15.2603,83.6262,59.45,28.2397,105.562,94.89,5.11
3h 2d 2c,100,40.39,14.2395,78.3492,59.61,29.2605,109.077,99.98,0.02
4c 2d 2c,100,41.68,15.6263,83.3176,58.32,27.8737,106.206,95.85,4.15
4c 3c 2c,100,45.83,18.5064,89.7325,54.17,24.9936,102.533,52.99,47.01
4c 3c 2d,100,45.41,20.2897,99.2964,54.59,23.2103,94.4789,11.25,88.75
4c 3d 3c,100,42.63,17.0016,88.6204,57.37,26.4984,102.646,62.78,37.22
4c 3d 2c,100,45.48,20.3612,99.4919,54.52,23.1388,94.3098,10.30,89.70
4d 4c 2c,100,42.17,17.468,92.0483,57.83,26.032,100.035,38.59,61.41
4d 4c 3c,100,42.84,17.7398,92.0306,57.16,25.7602,100.14,36.92,63.08
4h 4d 4c,100,39.43,11.8502,66.7919,60.57,31.6498,116.112,100.00,0.00
4d 3c 2c,100,45.48,20.3454,99.4004,54.52,23.1546,94.3856,10.51,89.49
4h 4d 2c,100,41.41,16.7597,89.937,58.59,26.7403,101.423,54.74,45.26
4h 4d 3c,100,42.24,17.2754,90.8821,57.76,26.2246,100.897,44.73,55.27
4h 2d 2c,100,40.97,14.4737,78.5129,59.03,29.0263,109.265,99.98,0.02
4h 3d 3c,100,42.06,16.39,86.5876,57.94,27.11,103.984,71.69,28.31
4h 3d 2c,100,45.17,20.8567,102.617,54.83,22.6433,91.7647,2.76,97.24
5c 2d 2c,100,42.09,15.0017,79.2042,57.91,28.4983,109.358,99.69,0.31
5c 3c 2c,100,45.47,17.9272,87.6209,54.53,25.5728,104.208,66.70,33.30
5c 3c 2d,100,44.95,18.9935,93.8899,55.05,24.5065,98.9341,40.74,59.26
5c 3d 3c,100,42.97,16.2812,84.2035,57.03,27.2188,106.056,79.24,20.76
5c 3d 2c,100,45.01,19.0601,94.0961,54.99,24.4399,98.7705,39.63,60.37
5c 4c 2c,100,45.85,17.9485,86.9906,54.15,25.5515,104.86,69.93,30.07
5c 4c 2d,100,45.63,19.3888,94.4229,54.37,24.1112,98.5498,35.24,64.76
5c 4c 3c,100,46.44,17.8866,85.5912,53.56,25.6133,106.269,74.63,25.37
5c 4c 3d,100,46.72,20.0404,95.3302,53.28,23.4596,97.8381,31.44,68.56
5c 4d 4c,100,44.02,17.3122,87.3962,55.98,26.1878,103.956,62.36,37.64
5c 4d 2c,100,45.85,19.6451,95.2059,54.15,23.8549,97.9036,30.98,69.02
5c 4d 3c,100,46.87,20.217,95.8509,53.13,23.283,97.3859,28.67,71.33
5d 5c 2c,100,43.17,18.4585,95.013,56.83,25.0415,97.9225,27.02,72.98
5d 5c 3c,100,43.77,18.689,94.8856,56.23,24.811,98.0531,28.20,71.80
5d 5c 4c,100,44.50,18.8023,93.8888,55.50,24.6977,98.8944,33.34,66.66
5h 5d 5c,100,40.19,13.9855,77.335,59.81,29.5145,109.655,100.00,0.00
5d 3c 2c,100,45.03,19.033,93.923,54.97,24.467,98.9142,40.04,59.96
5d 4c 2c,100,45.87,19.6343,95.1265,54.13,23.8657,97.9717,30.90,69.10
5d 4c 3c,100,46.88,20.1894,95.7086,53.12,23.3106,97.5117,28.93,71.07
5h 5d 2c,100,42.47,18.0139,94.2462,57.53,25.4861,98.4535,33.91,66.09
5h 5d 3c,100,43.22,18.3811,94.5094,56.78,25.1188,98.3087,32.89,67.11
5h 5d 4c,100,44.27,18.9414,95.0763,55.73,24.5586,97.9303,31.24,68.76
5h 2d 2c,100,41.46,13.9591,74.819,58.54,29.5409,112.14,100.00,0.00
5h 3d 3c,100,42.46,15.6277,81.7885,57.54,27.8723,107.646,84.02,15.98
5h 3d 2c,100,44.73,19.4567,96.6671,55.27,24.0433,96.6659,31.60,68.40
5h 4d 4c,100,43.81,17.3286,87.8979,56.19,26.1714,103.503,59.15,40.85
5h 4d 2c,100,45.65,20.1589,98.1389,54.35,23.3411,95.4301,21.54,78.46
5h 4d 3c,100,46.81,20.8854,99.1396,53.19,22.6146,94.4896,17.97,82.03
6c 2d 2c,100,42.54,14.6711,76.6367,57.46,28.8289,111.497,99.98,0.02
6c 3c 2c,100,45.56,17.4721,85.2193,54.44,26.0279,106.247,81.03,18.97
6c 3c 2d,100,45.31,18.7358,91.8845,54.69,24.7642,100.629,46.69,53.31
6c 3d 3c,100,43.16,16.1425,83.1205,56.84,27.3575,106.951,84.18,15.82
6c 3d 2c,100,45.23,18.6102,91.436,54.77,24.8898,100.986,48.98,51.02
6c 4c 2c,100,46.23,17.9252,86.1735,53.77,25.5748,105.686,77.57,22.43
6c 4c 2d,100,46.24,19.4928,93.6747,53.76,24.0072,99.2398,37.52,62.48
6c 4c 3c,100,47.18,18.8107,88.5932,52.82,24.6893,103.879,61.51,38.49
6c 4c 3d,100,47.56,20.7715,97.0506,52.44,22.7285,96.3184,20.75,79.25
6c 4d 4c,100,44.26,17.4738,87.7429,55.75,26.0261,103.751,60.29,39.71
6c 4d 2c,100,46.21,19.403,93.3052,53.79,24.097,99.5545,38.87,61.13
6c 4d 3c,100,47.61,20.792,97.0455,52.39,22.708,96.3219,20.51,79.49
6c 5c 2c,100,46.55,17.7232,84.616,53.45,25.7767,107.16,87.90,12.10
6c 5c 2d,100,46.86,19.614,93.0129,53.14,23.886,99.8884,42.67,57.33
6c 5c 3c,100,47.49,18.7115,87.5549,52.51,24.7884,104.908,69.29,30.71
6c 5c 3d,100,48.13,20.9427,96.6999,51.87,22.5572,96.6356,23.59,76.41
6c 5c 4c,100,47.83,18.3667,85.3257,52.17,25.1333,107.066,76.18,23.82
6c 5c 4d,100,49.00,21.1719,96.011,51.00,22.3281,97.2966,26.93,73.07
6c 5d 5c,100,45.31,18.5479,90.967,54.69,24.9521,101.389,49.23,50.77
6c 5d 2c,100,46.98,19.7088,93.2163,53.02,23.7912,99.7245,40.69,59.31
6c 5d 3c,100,48.32,21.1033,97.0514,51.68,22.3966,96.3067,20.91,79.09
6c 5d 4c,100,49.14,21.3049,96.3403,50.86,22.1951,96.9819,24.76,75.24
6d 6c 2c,100,43.51,18.2317,93.1218,56.49,25.2683,99.3963,33.08,66.92
6d 6c 3c,100,43.89,18.5567,93.9591,56.11,24.9433,98.784,30.97,69.03
6d 6c 4c,100,44.68,18.9301,94.144,55.32,24.5699,98.704,30.19,69.81
6d 6c 5c,100,45.16,18.5468,91.261,54.84,24.9532,101.118,47.52,52.48
6h 6d 6c,100,40.45,13.5631,74.5037,59.55,29.9369,111.724,100.00,0.00
6d 3c 2c,100,45.37,18.7779,91.9657,54.63,24.7221,100.571,46.58,53.42
6d 4c 2c,100,46.37,19.5849,93.8662,53.63,23.9151,99.0875,36.36,63.64
6d 4c 3c,100,47.62,20.7735,96.9399,52.38,22.7265,96.4178,21.07,78.93
6d 5c 2c,100,47.13,19.8975,93.8119,52.87,23.6024,99.2116,38.25,61.75
6d 5c 3c,100,48.34,21.1222,97.107,51.66,22.3778,96.2545,20.72,79.28
6d 5c 4c,100,49.05,21.1888,95.988,50.95,22.3111,97.3201,26.61,73.39
6h 6d 2c,100,43.06,18.1219,93.5127,56.94,25.3781,99.0518,34.40,65.60
6h 6d 3c,100,43.36,18.2221,93.3857,56.64,25.2778,99.178,35.67,64.33
6h 6d 4c,100,44.31,18.7403,93.9909,55.69,24.7597,98.795,32.99,67.01
6h 6d 5c,100,45.09,18.7967,92.6316,54.91,24.7033,99.9803,43.35,56.65
6h 2d 2c,100,42.17,14.2177,74.9253,57.83,29.2823,112.519,99.96,0.04
6h 3d 3c,100,42.68,15.4678,80.5413,57.32,28.0322,108.672,88.87,11.13
6h 3d 2c,100,45.10,19.1074,94.1463,54.90,24.3926,98.7368,39.59,60.41
6h 4d 4c,100,43.91,17.1375,86.7373,56.09,26.3625,104.439,62.50,37.50
6h 4d 2c,100,46.20,20.0839,96.6136,53.80,23.4161,96.7121,27.85,72.15
6h 4d 3c,100,47.65,21.5816,100.639,52.35,21.9184,93.0502,9.44,90.56
6h 5d 5c,100,45.26,18.8188,92.4056,54.74,24.6811,100.189,44.30,55.70
6h 5d 2c,100,47.06,20.5378,96.9754,52.94,22.9622,96.392,27.37,72.63
6h 5d 3c,100,48.45,22.0167,100.978,51.55,21.4832,92.6136,6.18,93.82
6h 5d 4c,100,49.39,22.2342,100.04,50.61,21.2658,93.3741,10.71,89.29
7c 2d 2c,100,42.02,14.168,74.9224,57.98,29.332,112.427,99.99,0.01
7c 3c 2c,100,44.57,16.3154,81.3519,55.43,27.1845,108.979,98.34,1.66
7c 3c 2d,100,44.04,16.4468,82.9932,55.96,27.0532,107.426,82.37,17.63
7c 3d 3c,100,42.99,15.5715,80.4857,57.01,27.9285,108.87,91.97,8.03
7c 3d 2c,100,44.10,16.5396,83.3442,55.90,26.9604,107.177,80.94,19.06
7c 4c 2c,100,45.29,16.9546,83.1815,54.71,26.5453,107.832,91.21,8.79
7c 4c 2d,100,44.93,17.767,87.8816,55.07,25.733,103.833,62.44,37.56
7c 4c 3c,100,46.46,17.7224,84.7631,53.54,25.7776,106.997,79.17,20.83
7c 4c 3d,100,46.80,19.7958,94.0071,53.20,23.7042,99.0057,33.47,66.53
7c 4d 4c,100,43.92,17.1503,86.7784,56.08,26.3497,104.41,64.14,35.86
7c 4d 2c,100,44.88,17.6389,87.3319,55.12,25.8611,104.268,64.61,35.39
7c 4d 3c,100,46.70,19.6514,93.5035,53.30,23.8486,99.4385,35.43,64.57
7c 5c 2c,100,45.78,16.7803,81.4525,54.22,26.7197,109.512,98.10,1.90
7c 5c 2d,100,45.69,17.744,86.3003,54.31,25.756,105.388,68.73,31.27
7c 5c 3c,100,46.69,17.5401,83.4906,53.31,25.9599,108.204,90.09,9.91
7c 5c 3d,100,47.16,19.369,91.2711,52.84,24.1309,101.482,48.45,51.55
7c 5c 4c,100,47.59,18.4393,86.0985,52.41,25.0607,106.264,75.28,24.72
7c 5c 4d,100,48.51,20.6899,94.7705,51.49,22.8101,98.4532,31.15,68.85
7c 5d 5c,100,45.15,18.4581,90.8412,54.85,25.0419,101.462,49.49,50.51
7c 5d 2c,100,45.65,17.5844,85.5932,54.35,25.9155,105.969,70.83,29.17
7c 5d 3c,100,47.07,19.1686,90.4904,52.93,24.3314,102.16,51.20,48.80
7c 5d 4c,100,48.52,20.6457,94.5536,51.48,22.8543,98.6581,31.84,68.16
7c 6c 2c,100,45.82,16.4034,79.5555,54.18,27.0966,111.137,99.93,0.07
7c 6c 2d,100,46.13,17.7356,85.4289,53.87,25.7644,106.292,69.91,30.09
7c 6c 3c,100,46.73,17.2725,82.139,53.27,26.2275,109.41,92.41,7.59
7c 6c 3d,100,47.34,19.3367,90.7718,52.66,24.1633,101.965,48.79,51.21
7c 6c 4c,100,47.91,18.603,86.2824,52.09,24.8969,106.218,74.43,25.57
7c 6c 4d,100,48.85,20.8178,94.6993,51.15,22.6822,98.5453,30.33,69.67
7c 6c 5c,100,48.59,18.9316,86.5829,51.41,24.5684,106.197,70.57,29.43
7c 6c 5d,100,50.03,21.612,95.9883,49.97,21.888,97.3456,21.95,78.05
7c 6d 6c,100,45.23,18.1581,89.2117,54.77,25.3418,102.823,53.70,46.30
7c 6d 2c,100,46.24,17.8257,85.6585,53.76,25.6742,106.137,68.59,31.41
7c 6d 3c,100,47.39,19.3456,90.7097,52.61,24.1544,102.033,48.32,51.68
7c 6d 4c,100,48.99,20.9447,95.0102,51.01,22.5553,98.2569,28.45,71.55
7c 6d 5c,100,50.17,21.7676,96.4231,49.83,21.7324,96.9115,19.65,80.35
7d 7c 2c,100,42.71,17.1701,89.331,57.29,26.3299,102.136,51.49,48.51
7d 7c 3c,100,43.41,17.4955,89.566,56.59,26.0045,102.113,50.33,49.67
7d 7c 4c,100,44.08,18.0926,91.2092,55.92,25.4074,100.969,43.31,56.69
7d 7c 5c,100,44.72,17.8909,88.9047,55.28,25.6091,102.945,58.17,41.83
7d 7c 6c,100,44.92,17.7306,87.7234,55.08,25.7694,103.959,61.32,38.68
7h 7d 7c,100,40.08,12.7233,70.5527,59.92,30.7767,114.131,100.00,0.00
7d 3c 2c,100,44.20,16.7167,84.0403,55.80,26.7832,106.669,79.30,20.70
7d 4c 2c,100,45.00,17.8336,88.0606,55.00,25.6664,103.709,61.82,38.18
7d 4c 3c,100,46.80,19.7582,93.8201,53.20,23.7417,99.1705,34.15,65.85
7d 5c 2c,100,45.77,17.7864,86.3565,54.23,25.7135,105.368,68.63,31.37
7d 5c 3c,100,47.18,19.327,91.0364,52.82,24.173,101.695,49.40,50.60
7d 5c 4c,100,48.38,20.4673,94.0142,51.62,23.0327,99.1525,34.78,65.22
7d 6c 2c,100,46.21,17.791,85.5494,53.79,25.7089,106.218,69.67,30.33
7d 6c 3c,100,47.49,19.4747,91.1318,52.51,24.0253,101.672,46.80,53.20
7d 6c 4c,100,48.94,20.8956,94.8717,51.06,22.6044,98.3872,29.11,70.89
7d 6c 5c,100,50.00,21.573,95.8836,50.00,21.927,97.4495,22.53,77.47
7h 7d 2c,100,42.19,16.8196,88.583,57.81,26.6804,102.567,56.77,43.23
7h 7d 3c,100,43.04,17.3626,89.6426,56.96,26.1374,101.974,51.38,48.62
7h 7d 4c,100,43.62,17.7023,90.1746,56.38,25.7977,101.69,48.69,51.31
7h 7d 5c,100,44.38,17.5719,87.9929,55.62,25.9281,103.587,60.93,39.07
7h 7d 6c,100,44.80,17.8325,88.4635,55.20,25.6675,103.323,59.17,40.83
7h 2d 2c,100,41.56,13.5394,72.3905,58.44,29.9605,113.933,100.00,0.00
7h 3d 3c,100,42.66,15.2964,79.6795,57.34,28.2036,109.305,89.81,10.19
7h 3d 2c,100,43.85,16.5442,83.841,56.15,26.9557,106.683,76.04,23.96
7h 4d 4c,100,43.48,16.6891,85.2979,56.52,26.8109,105.412,68.12,31.88
7h 4d 2c,100,44.69,17.9068,89.0484,55.31,25.5932,102.821,56.87,43.13
7h 4d 3c,100,46.73,20.3545,96.7973,53.27,23.1455,96.552,24.40,75.60
7h 5d 5c,100,44.82,18.2695,90.5906,55.18,25.2305,101.601,51.16,48.84
7h 5d 2c,100,45.55,17.9572,87.6007,54.45,25.5428,104.251,62.08,37.92
7h 5d 3c,100,47.19,19.9632,94.0109,52.81,23.5368,99.0394,37.59,62.41
