
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
99,296.0103092,79.361923,138.1436383,37030.012053
88,294.3872764,79.006441707,138.00434779,31812.921768
77,285.60417436,77.61204409,136.29240806,30625.918207
TT,284.35688707,78.237499937,134.61238622,52861.263293
44,283.59969568,75.246108714,139.59117105,45787.698453
55,281.39588291,75.622014264,137.81793356,42321.973406
66,281.15991629,76.097814854,136.84138307,38360.128261
33,278.69195792,73.839252566,139.78912311,45432.932989
JJ,264.25125482,76.892353851,127.28292245,67156.803952
22,263.85015044,69.857697951,139.88762987,51986.078683
AA,255.29434869,76.459219682,123.66522032,26913.004023
QQ,247.96068967,75.998479437,120.84096044,81397.16334
KK,235.54672265,75.201269317,116.00805106,73205.751405
A9s,216.55425586,71.190010845,112.66367148,20138.624876
A8s,215.01050514,69.291540865,114.92531329,15280.431402
A7s,209.36667882,66.752753526,116.16481761,11046.294258
ATs,207.99329559,69.321889361,111.12587183,29047.648262
K8s,205.57828452,65.401636715,116.41926594,14561.994578
AJs,202.18573059,69.171440336,108.25797982,37817.070345
A6s,200.15511889,64.491279686,114.94813853,15574.059186
K6s,197.65969246,60.686839069,120.63125157,16152.047078
KTs,196.40083252,62.942693461,115.5671057,27048.045209
A9o,196.09227673,67.540345392,107.5309413,54702.657081
KJs,196.07440663,64.300152355,112.93931343,31576.836261
K7s,194.8053749,60.047515679,120.15507725,13176.845792
AQs,194.64607408,68.404728373,105.38911602,41747.163937
K8o,194.04352781,65.957311974,108.9613435,23326.010777
K4s,193.62987773,59.578301348,120.370618,20139.94354
K9s,192.52177677,61.785758634,115.4058206,23108.804269
A8o,191.39185451,65.530814606,108.17181576,37806.674988
K5s,191.22687122,59.281388969,119.47217896,17357.909269
KQs,190.94502526,64.139648631,110.2600049,41984.331663
K3s,190.45965307,58.504239238,120.57350572,22024.209277
A3s,189.4844442,59.823026309,117.31172444,19384.905472
Q7s,189.28665376,58.255142309,120.34331268,12909.846089
K2s,189.08396505,57.68742263,121.39751609,28490.499072
A2s,188.52015035,58.807471523,118.73028393,25231.847464
A5s,188.21249898,61.057238022,114.16882783,21925.912977
A4s,186.92431593,59.883663943,115.6095395,23629.609004
Q6s,186.75763201,57.212931053,120.89835648,16534.834465
J6s,186.21074908,58.141360204,118.61941974,12567.494361
AKs,185.52495949,66.211649061,103.77773237,41090.033827
Q8s,185.31731343,56.832918397,120.76811106,20554.937168
ATo,185.17507902,64.937610847,105.61423758,76040.915718
Q2s,184.51463271,56.367335285,121.23821804,24345.567561
AJo,183.54307961,65.58078355,103.65676452,91530.599437
Q9s,183.21193607,57.266219776,118.49266965,30965.939391
Q5s,182.94718006,56.738162943,119.42264487,17212.80393
Q3s,182.61526186,56.361545467,120.00253295,19185.696716
Q4s,181.77036414,56.598056982,118.94817716,18756.461276
K7o,180.9751444,59.807066443,112.07343086,5911.8523578
KQo,180.67044809,61.649018367,108.54184308,96904.037868
J2s,180.36091851,54.887254111,121.70464941,61.46724328
J7s,179.72956464,54.055512414,123.14471263,14063.56287
AQo,179.21752067,65.846072287,100.80610308,104341.83006
J5s,179.04376752,56.184879574,118.02553818,14856.790146
QJs,178.31024194,57.408711052,115.03625345,47524.390281
