Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
2h 2d 2c,0.56604,61.48,175.774,105.89,38.52,68.7638,99.1754,0.02,13.69,45.86,40.43
3c 2d 2c,0.51846,58.52,192.897,122.08,41.48,52.3914,70.1731,0.00,8.53,48.24,43.24
3d 3c 2c,0.47487,58.22,190.179,120.98,41.78,55.127,73.3062,0.00,11.34,45.15,43.52
3h 3d 3c,0.56848,61.26,173.147,104.68,38.74,71.7336,102.874,0.00,19.09,38.94,41.97
3h 3d 2c,0.32386,56.57,190.681,124.835,43.43,55.088,70.4728,0.00,11.84,44.96,43.21
3h 2d 2c,0.35163,56.96,193.039,125.51,43.04,52.4926,67.7634,0.00,8.26,48.79,42.96
4c 2d 2c,0.51355,59.29,193.05,120.592,40.71,52.4439,71.5694,0.00,9.14,47.24,43.62
4c 3c 2c,0.20172,61.33,191.047,115.378,38.67,57.1548,82.1056,0.00,1.11,51.51,47.38
4c 3c 2d,0.30663,58.74,189.252,119.319,41.26,55.5044,74.7435,5.42,6.99,43.34,44.25
4c 3d 3c,0.27588,59.77,193.387,119.835,40.23,52.3335,72.2691,0.00,10.25,45.52,44.23
4c 3d 2c,0.32222,58.75,188.537,118.851,41.25,56.1258,75.5954,5.82,6.80,43.26,44.12
4d 4c 2c,0.75531,59.76,190.887,118.305,40.24,55.2208,76.2375,0.00,9.63,46.00,44.37
4d 4c 3c,0.62398,60.44,190.168,116.524,39.56,55.8878,78.4946,0.00,10.20,45.71,44.09
4h 4d 4c,0.48632,61.03,173.885,105.526,38.97,71.5186,101.954,0.00,21.17,35.19,43.64
4d 3c 2c,0.39351,58.81,188.798,118.901,41.19,55.8027,75.2641,6.24,6.28,43.56,43.92
4h 4d 2c,0.66225,58.02,191.593,122.294,41.98,54.909,72.6729,0.00,9.53,46.85,43.62
4h 4d 3c,0.55,59.15,191.81,120.103,40.85,54.5609,74.2016,0.00,7.01,50.20,42.79
4h 2d 2c,0.31478,58.15,192.16,122.402,41.85,53.655,71.2185,0.00,10.22,46.28,43.50
4h 3d 3c,0.147,58.88,194.491,122.34,41.12,51.582,69.6896,0.00,8.25,48.21,43.54
4h 3d 2c,0.10067,57.87,187.856,120.219,42.13,57.7142,76.1142,0.00,13.10,42.01,44.89
5c 2d 2c,0.48261,59.28,192.793,120.45,40.72,52.9277,72.2145,0.00,10.17,45.47,44.36
5c 3c 2c,0.29275,61.14,189.161,114.582,38.86,58.9066,84.2231,0.00,2.70,50.56,46.74
5c 3c 2d,0.63983,60.02,189.634,117.02,39.98,54.9556,76.3644,4.85,6.83,43.80,44.53
5c 3d 3c,0.38129,59.72,194.257,120.467,40.28,51.8672,71.5431,0.00,10.09,45.10,44.81
5c 3d 2c,0.62629,59.97,189.619,117.107,40.03,54.9254,76.2286,5.23,6.42,43.89,44.46
5c 4c 2c,0.31997,61.27,190.263,115.011,38.73,57.9933,83.1888,0.00,3.58,48.88,47.54
5c 4c 2d,0.00014,63.63,219.346,127.683,36.37,21.2767,32.4965,2.96,8.18,46.99,41.87
