Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
2h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
3c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
3d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
3h 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
3h 3d 2c,0.00001,82.03,1094.31,122.395,17.97,-34.4486,-106.478,23.23,76.77
3h 2d 2c,0.00003,90.59,1160.92,117.574,9.41,-97.7924,-577.142,19.64,80.36
4c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4c 3c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
4c 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
4c 3d 2c,0.00001,91.47,1166.25,116.97,8.53,-103.576,-674.712,20.13,79.87
4d 4c 2c,0,87.10,1130.95,119.122,12.90,-68.1187,-293.403,19.96,80.04
4d 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
4d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 3d 3c,0.00007,88.20,1137.47,118.32,11.80,-72.7512,-342.445,17.89,82.11
4h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 3c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 4c 2d,0,77.21,1091.5,129.698,22.79,-34.9141,-85.1053,26.83,73.17
5c 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 4c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 4d 2c,0,79.06,1094.56,127.015,20.94,-39.587,-105.022,28.60,71.40
5c 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
5d 5c 2c,0.00004,87.97,1125.71,117.398,12.03,-61.7848,-285.311,18.76,81.24
5d 5c 3c,0.00006,86.80,1116.44,117.998,13.20,-52.0148,-218.993,18.21,81.79
5d 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
5h 5d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
5d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5d 4c 2c,0,58.04,1002.9,158.54,41.96,50.6566,67.0628,30.16,69.84
5d 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
5h 5d 2c,0.00006,90.16,1136.14,115.613,9.84,-72.1281,-407.147,18.66,81.34
5h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
5h 5d 4c,0.00003,87.75,1120.67,117.173,12.25,-54.8234,-248.555,16.65,83.35
5h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5h 3d 3c,0.00007,88.41,1139.06,118.196,11.59,-75.0175,-359.666,18.64,81.36
5h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
5h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 3c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 3d 2c,0.00212,67.69,1028.69,139.414,32.31,29.7272,51.1193,24.82,75.18
6c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 4c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 4c 3d,0.00009,70.55,1048.88,136.389,29.45,9.72987,18.3578,24.61,75.39
6c 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 4d 2c,0.00466,67.54,1032.75,140.279,32.46,27.8127,47.6037,22.46,77.54
6c 4d 3c,0.00035,69.12,1044.94,138.694,30.88,13.4908,24.2707,24.80,75.20
6c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 5c 2d,0.00002,62.30,1031.16,151.86,37.70,27.3604,40.314,24.71,75.29
6c 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 5c 3d,0.00013,66.21,1049.41,145.406,33.79,8.87822,14.5981,24.96,75.04
6c 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 5c 4d,0.00001,91.51,1190.09,119.313,8.49,-131.584,-861.035,24.72,75.28
6c 5d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
6c 5d 2c,0.00837,68.49,1025.85,137.405,31.51,34.0819,60.0992,23.16,76.84
6c 5d 3c,0.00095,67.72,1039.68,140.843,32.28,18.9749,32.6592,24.56,75.44
6c 5d 4c,0,89.27,1174.15,120.661,10.72,-115.675,-599.228,24.76,75.24
6d 6c 2c,0.00009,88.36,1134.62,117.807,11.64,-70.7497,-337.695,18.82,81.18
6d 6c 3c,0.00003,87.06,1123.5,118.389,12.94,-58.3616,-250.654,17.44,82.56
6d 6c 4c,0.00003,85.78,1115.88,119.346,14.22,-50.8764,-198.778,17.58,82.42
6d 6c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
6d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6d 4c 2c,0.00105,74.01,1045.4,129.587,25.99,16.5212,35.3152,20.97,79.03
6d 4c 3c,0.00019,74.69,1095.49,134.558,25.31,-38.3837,-84.2602,26.26,73.74
6d 5c 2c,0.0008,73.01,1046.14,131.458,26.99,15.7244,32.3657,21.02,78.98
6d 5c 3c,0.00028,73.38,1042.55,130.347,26.62,16.6036,34.6493,24.01,75.99
6d 5c 4c,0.00001,91.00,1184.03,119.369,9.00,-125.455,-774.475,24.64,75.36
6h 6d 2c,0.00009,92.02,1160.6,115.715,7.98,-97.0907,-675.665,19.22,80.78
