
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,90.767456969,74.953829827,134.55313784,313217.83568
KK,76.796748083,72.05642843,118.42069049,327815.4733
QQ,74.028278033,70.564391904,116.56536681,324774.97127
JJ,71.621485304,69.048123914,115.25212215,306214.70191
TT,66.962513138,67.154191522,110.79396638,297440.43959
99,60.329324097,64.757167014,103.513766,287676.10347
88,49.996824723,61.324984479,90.586288675,284212.69998
66,40.936029556,55.79202945,81.525045301,283049.54631
77,40.01083922,57.702377888,77.044464457,282535.40804
55,39.845971864,53.537606179,82.695707245,278120.77005
44,38.632660583,50.741546874,84.595722974,280096.14976
33,35.079316749,47.519724671,82.022820798,289195.45168
KQs,34.445240523,57.063539516,67.06995359,209143.65816
KJs,34.110377012,56.795030413,66.731928174,197954.41943
22,33.53425504,44.851286627,83.075171705,296530.24408
AQs,32.482087936,58.394520232,61.805814441,231760.65601
AJs,32.473808915,58.141756647,62.058685507,222297.93954
KTs,32.420200538,55.744346015,64.62080483,195783.85522
AKs,31.925208148,58.398629132,60.741928407,249434.00775
QJs,31.791736915,54.624125853,64.667674907,207256.49898
ATs,31.251744062,57.404264617,60.49055815,216056.38636
QTs,30.235065048,53.463119016,62.836806642,207233.69833
K9s,29.4348082,53.960629436,60.609638521,182390.65873
A9s,28.590483171,55.58405519,57.151647922,199666.0017
Q9s,27.694146752,51.667732292,59.556076499,199631.83108
JTs,26.810365801,50.923292547,58.498368514,226451.99715
A3s,26.75907851,50.907969341,58.404037405,194454.28415
A8s,26.582641807,54.484068707,54.210835158,192217.20798
A2s,26.50704483,50.477322094,58.347532736,193784.59762
J2s,26.2449554,42.954493635,67.888267532,314.93233657
K8s,25.75689785,50.98929756,56.127024216,178726.62496
A4s,25.641201242,51.716695222,55.089025856,203253.33835
A5s,25.528753198,52.380454565,54.152415374,202669.6303
J9s,25.451625114,49.617626856,56.995034329,215117.13427
K2s,24.622317908,47.065361663,58.127952367,198052.89613
T9s,24.442606654,48.291983668,56.238012554,218532.10305
Q2s,24.274806478,45.310014439,59.527694996,195238.15649
Q8s,24.219619154,48.282784323,55.735575995,193247.84781
A6s,23.743120331,51.889842957,50.840864626,193182.45936
A7s,23.680091714,52.836964184,49.796981,189719.47817
J8s,23.279367458,46.573331331,55.538144048,203443.07362
KQo,23.20879851,54.066536592,47.695960432,642930.76783
K3s,23.121537504,46.741698213,54.96290937,202088.21742
K4s,22.642144345,46.761210144,53.800870601,206921.11048
43s,22.523260072,35.790784157,69.922593521,181.9710767
K7s,22.349364056,48.509524307,51.191239418,186548.5104
Q3s,22.079263165,44.661892733,54.929411017,202253.63991
K6s,22.061604926,47.397865274,51.717296171,202480.91531
QJo,22.041742783,51.682447553,47.387123624,618893.38043
T4s,21.835504761,40.819398396,59.436623052,348.83861761
K5s,21.747132486,47.089928811,51.313478593,202088.55976
