Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 150 freq,CALL freq,FOLD freq
2h 2d 2c,2.98678,52.23,18.2957,38.9217,47.77,101.539,157.448,0.00,18.95,45.78,35.27
3c 2d 2c,4.55587,49.51,25.6776,57.6249,50.49,95.3789,139.934,0.00,11.38,53.40,35.22
3d 3c 2c,4.82599,49.43,25.8329,58.071,50.57,95.3671,139.686,0.00,9.84,54.98,35.18
3h 3d 3c,3.25652,52.44,17.7117,37.5246,47.56,102.315,159.371,0.00,17.46,47.44,35.10
3h 3d 2c,3.35865,49.62,26.9908,60.4426,50.38,94.0688,138.302,0.00,9.64,56.32,34.03
3h 2d 2c,3.28017,49.76,26.7417,59.7089,50.24,94.1603,138.839,0.00,10.72,55.43,33.85
4c 2d 2c,4.86176,49.90,25.5209,56.8266,50.10,95.5623,141.292,0.00,10.56,54.62,34.82
4c 3c 2c,1.53496,48.04,24.9071,57.6104,51.96,98.0364,139.754,0.00,13.14,43.64,43.22
4c 3c 2d,1.81818,48.86,23.622,53.7182,51.14,97.5701,141.325,0.00,16.86,43.70,39.44
4c 3d 3c,2.34939,50.05,26.1239,57.993,49.95,95.069,140.989,0.00,11.74,52.74,35.52
4c 3d 2c,1.90451,48.78,23.5049,53.5413,51.22,97.6867,141.269,0.00,16.92,43.53,39.55
4d 4c 2c,7.40676,50.40,26.3328,58.0495,49.60,95.1335,142.084,0.00,10.20,54.16,35.64
4d 4c 3c,5.06834,50.31,25.8917,57.1834,49.69,95.4812,142.334,0.00,12.31,51.29,36.40
4h 4d 4c,2.81401,53.03,18.8,39.3877,46.97,101.528,160.128,0.00,17.28,47.40,35.32
4d 3c 2c,2.25534,48.78,23.4634,53.4397,51.22,97.6861,141.286,0.00,17.45,42.83,39.72
4h 4d 2c,6.17698,51.00,27.2722,59.4171,49.00,93.9412,142.011,0.00,10.72,55.06,34.22
4h 4d 3c,4.35968,50.92,26.8582,58.6052,49.08,94.2815,142.298,0.00,12.62,52.47,34.92
4h 2d 2c,3.28415,50.92,26.8708,58.6383,49.08,93.95,141.783,0.00,9.58,57.72,32.69
4h 3d 3c,1.31226,50.88,27.3514,59.7248,49.12,93.6384,141.221,0.00,11.20,54.89,33.91
4h 3d 2c,0.58244,49.88,24.0968,53.6812,50.12,97.0248,143.386,0.00,17.28,43.64,39.07
5c 2d 2c,4.28579,49.64,25.5489,57.182,50.36,95.5866,140.61,0.00,11.26,53.68,35.06
5c 3c 2c,2.21529,47.91,24.2082,56.1383,52.09,98.645,140.287,0.00,13.22,43.81,42.97
5c 3c 2d,3.54703,49.72,23.6757,52.9135,50.28,97.3001,143.333,0.00,18.04,42.87,39.09
5c 3d 3c,3.25057,49.89,26.2935,58.5634,50.11,94.9847,140.398,0.00,11.73,52.95,35.32
5c 3d 2c,3.44997,49.62,23.6442,52.9452,50.38,97.3227,143.094,0.00,18.15,42.73,39.11
5c 4c 2c,2.07158,48.40,24.475,56.1849,51.60,98.2476,141.043,0.00,15.45,42.10,42.45
5c 4c 2d,0.00071,52.94,37.7588,79.2502,47.06,80.0309,125.968,0.36,19.65,52.85,27.14
5c 4c 3c,1.46427,49.07,25.799,58.4175,50.93,96.6097,140.513,0.00,18.46,40.05,41.49
5c 4c 3d,0.0004,50.44,36.0218,79.3452,49.56,82.9943,124.055,0.00,24.23,40.94,34.82
5c 4d 4c,4.16449,50.67,26.2396,57.5362,49.33,95.1588,142.898,0.00,14.73,48.41,36.86
5c 4d 2c,0.00063,48.99,28.0657,63.6572,51.01,91.9426,133.508,0.63,15.26,47.62,36.49
5c 4d 3c,0.0003,50.57,32.1442,70.6239,49.43,88.4207,132.509,0.00,26.65,27.91,45.44
5d 5c 2c,6.22642,50.65,26.827,58.8508,49.35,95.0426,142.657,0.00,10.53,53.19,36.27
5d 5c 3c,5.53986,50.59,26.7436,58.7405,49.41,95.0541,142.494,0.00,12.68,50.47,36.84
5d 5c 4c,3.66809,50.93,26.5734,57.97,49.07,95.0612,143.51,0.00,13.68,49.39,36.93
5h 5d 5c,4.75588,52.88,20.3696,42.8017,47.12,100.258,157.605,0.00,14.57,51.17,34.26
5d 3c 2c,3.99056,49.95,23.5272,52.3359,50.05,97.3724,144.109,0.00,19.56,40.75,39.69
5d 4c 2c,0.00143,50.08,25.669,56.9566,49.92,94.3881,140.045,0.13,21.17,40.24,38.46
5d 4c 3c,0.00021,52.02,29.9897,64.0541,47.98,89.8056,138.651,0.00,18.17,50.47,31.37
5h 5d 2c,5.98946,51.23,27.2456,59.0943,48.77,94.4202,143.404,0.00,11.15,53.96,34.89
5h 5d 3c,4.63088,51.15,26.8255,58.2697,48.85,94.7466,143.675,0.00,12.79,51.97,35.24
5h 5d 4c,2.14261,51.77,27.0012,57.9565,48.23,94.4881,145.105,0.00,14.46,49.81,35.73
5h 2d 2c,3.51615,50.64,26.5551,58.2602,49.36,94.2568,141.463,0.00,9.82,57.52,32.66
5h 3d 3c,1.80661,50.97,27.1408,59.1701,49.03,93.8079,141.712,0.00,10.12,56.92,32.96
5h 3d 2c,2.75874,51.03,23.3,50.7317,48.97,97.5193,147.515,0.00,18.61,42.80,38.59
5h 4d 4c,2.37498,51.61,26.7566,57.6075,48.39,94.4458,144.566,0.00,15.07,49.55,35.39
5h 4d 2c,0.00069,49.29,37.2113,83.8772,50.71,81.3922,118.901,0.00,31.74,32.46,35.80
5h 4d 3c,0.00007,35.63,0,0,64.37,130.5,150.173,0.00,0.00,0.00,100.00
6c 2d 2c,4.57058,49.87,25.2197,56.1942,50.13,95.8105,141.562,0.00,11.91,52.88,35.21
6c 3c 2c,2.61234,48.38,24.8504,57.0753,51.62,97.8322,140.381,0.00,10.90,47.97,41.13
6c 3c 2d,0.88599,48.79,23.7191,54.0135,51.21,96.6233,139.77,0.00,18.43,43.73,37.84
6c 3d 3c,2.26651,49.93,26.1663,58.2268,50.07,94.9728,140.509,0.00,12.28,52.40,35.33
6c 3d 2c,0.99322,48.81,23.5528,53.616,51.19,96.7944,140.065,0.21,17.69,44.42,37.67
6c 4c 2c,3.04874,48.21,24.4403,56.3264,51.79,98.2003,140.458,0.00,10.92,48.28,40.80
6c 4c 2d,1.57797,49.20,23.0341,52.0191,50.80,97.1428,141.649,0.00,17.34,46.06,36.60
6c 4c 3c,2.5154,48.64,24.5665,56.1202,51.36,97.8686,141.147,0.00,12.98,46.47,40.55
6c 4c 3d,0.14251,48.19,24.647,56.8242,51.81,95.6954,136.827,0.06,16.71,47.36,35.87
6c 4d 4c,4.7661,50.31,26.3377,58.1668,49.69,95.0167,141.645,0.00,15.18,47.97,36.84
6c 4d 2c,1.9184,49.18,22.8406,51.606,50.82,97.2869,141.796,0.24,17.40,45.60,36.75
