
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,89.855979263,85.542441521,140.05676039,2960144.1196
KK,82.034080704,82.33206149,132.8507659,3118723.5856
QQ,77.589632688,79.976427967,129.35416874,3107418.7082
JJ,73.112274948,77.705245209,125.4523205,3003065.4381
TT,68.739913715,75.263686937,121.77614732,2933702.9597
99,63.860754126,72.234711874,117.87639205,2823254.5695
AKs,59.914752304,69.700767961,114.61328009,2296155.4337
AQs,59.136214167,69.236091137,113.8832136,2208476.8095
88,58.800715297,68.598043079,114.29036487,2744619.7096
AJs,57.514280363,68.436418722,112.05394523,2158930.4282
KQs,57.482524064,66.532472808,115.19692893,2016997.8086
ATs,55.867309492,67.390949438,110.53375358,2110821.4843
KJs,55.857389377,65.65852398,113.4300844,1971028.613
KTs,53.969993431,64.313023784,111.89023157,1965012.9224
77,53.921090499,64.762067462,111.01373095,2700044.688
AKo,53.602208449,67.575529408,105.76256212,6798593.5583
QJs,52.813415533,61.89979785,113.76109426,2075855.9882
66,52.790969331,62.052864927,113.43224715,2711413.0538
A9s,52.592709571,65.146209774,107.64035698,1961623.1084
AQo,52.582858552,67.007433304,104.63089632,6707403.9867
QTs,51.256190072,60.625203921,112.72801136,2090741.9803
KQo,51.107731469,63.625487449,107.10117076,6274472.1626
A8s,51.020120343,63.824319778,106.58449218,1881657.3305
K9s,50.990648328,62.12697868,109.43318434,1852850.5968
AJo,50.564688162,66.025814743,102.11094627,6579601.5113
55,49.995199744,58.976601936,113.02832672,2734873.301
KJo,48.725605225,62.320806986,104.24684271,6118175.1371
ATo,48.691883764,64.978393773,99.913998971,6287987.8969
A7s,48.616663826,61.647830918,105.14922824,1874710.8097
Q9s,48.450561303,58.329802839,110.75084307,2013964.0499
JTs,48.128673755,56.980014727,112.6211801,2275515.233
44,48.070994688,55.936849305,114.58396456,2819442.0841
A5s,48.051484605,60.121109908,106.56597365,1994575.078
A3s,47.776631361,58.694970742,108.53089173,1918115.4642
A4s,47.673164525,59.423864639,106.96749488,2005873.4475
K8s,47.629727682,58.869738889,107.87597291,1833611.5125
A2s,47.585059936,58.315747164,108.79865159,1896679.8014
A6s,47.546896506,60.114036332,105.45933342,1932005.464
QJo,47.514664569,59.284862757,106.86182466,6236581.3211
KTo,46.552043637,60.848380477,102.00664509,6018827.0865
33,46.018030259,53.137274568,115.46955349,2985324.2879
Q8s,45.802086969,55.254682535,110.52357283,1912171.2132
J9s,45.70260899,54.997882311,110.79846973,2177582.1095
K2s,45.303077486,54.548302825,110.73507366,1917623.6177
K7s,45.095846151,56.299867866,106.79917582,1898503.7498
QTo,45.053350788,57.389530811,104.67263547,6289303.8668
T9s,44.902243106,53.407272168,112.1001973,2207980.9397
A9o,44.89554923,62.246724896,96.166878511,5810309.1282
22,44.741492861,50.757728612,117.52953776,3120005.031
