Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 60 freq,CALL freq,FOLD freq
2h 2d 2c,89.2525,56.91,45.1568,105.791,43.09,19.4517,75.2416,3.35,96.65,0.00
3c 2d 2c,22.6696,56.43,46.0486,108.8,43.57,19.2263,73.5494,20.10,63.97,15.93
3d 3c 2c,22.1848,56.31,45.8566,108.574,43.69,19.4732,74.2922,21.75,61.24,17.00
3h 3d 3c,84.1713,57.13,45.2536,105.614,42.87,19.4213,75.5064,3.87,96.13,0.00
3h 3d 2c,15.6555,56.38,46.416,109.762,43.62,18.6732,71.3539,21.45,63.90,14.64
3h 2d 2c,16.7673,56.46,46.5258,109.865,43.54,18.498,70.815,19.56,67.23,13.21
4c 2d 2c,24.0344,56.52,45.911,108.304,43.48,19.3416,74.1421,20.23,64.19,15.59
4c 3c 2c,49.4737,55.07,45.5448,110.279,44.93,21.4582,79.5919,3.10,78.27,18.63
4c 3c 2d,12.6041,55.04,44.7686,108.449,44.96,20.7961,77.093,14.43,70.66,14.92
4c 3d 3c,11.8468,56.34,45.8933,108.613,43.66,19.4173,74.1213,19.83,64.71,15.46
4c 3d 2c,13.5615,55.03,44.7284,108.381,44.97,20.8593,77.3018,14.04,70.99,14.97
4d 4c 2c,35.6837,56.32,45.6184,107.989,43.68,19.8826,75.873,20.76,62.44,16.80
4d 4c 3c,25.849,56.13,45.4254,107.902,43.87,20.0295,76.0973,19.61,64.38,16.02
4h 4d 4c,93.804,56.86,45.2892,106.194,43.14,19.4947,75.3216,3.00,96.92,0.08
4d 3c 2c,16.2744,55.04,44.7588,108.432,44.96,20.827,77.2015,13.86,71.20,14.94
4h 4d 2c,31.6252,56.52,46.1112,108.781,43.48,19.1283,73.3203,19.53,66.33,14.13
4h 4d 3c,22.2093,56.38,45.8619,108.465,43.62,19.3405,73.8924,19.63,66.29,14.08
4h 2d 2c,17.5237,56.88,46.7384,109.552,43.12,18.2191,70.4273,18.74,69.43,11.83
4h 3d 3c,6.49339,56.51,46.488,109.687,43.49,18.5481,71.0822,20.21,66.71,13.08
4h 3d 2c,3.7208,54.93,44.7481,108.625,45.07,20.6098,76.209,15.65,70.72,13.63
5c 2d 2c,21.1626,56.28,45.7844,108.476,43.72,19.4528,74.1497,20.25,64.41,15.34
5c 3c 2c,50.6739,54.85,45.154,109.763,45.15,21.7507,80.2908,4.37,77.17,18.46
5c 3c 2d,27.2792,55.43,44.925,108.059,44.57,20.6174,77.1024,13.00,72.54,14.46
5c 3d 3c,16.034,56.29,45.8437,108.591,43.71,19.4775,74.2663,20.27,64.24,15.49
5c 3d 2c,26.8234,55.42,44.916,108.061,44.58,20.6305,77.1303,12.86,72.71,14.43
5c 4c 2c,31.9071,55.04,44.9218,108.828,44.96,21.8175,80.8719,6.49,75.34,18.17
5c 4c 2d,0.00345,59.04,53.8583,121.633,40.96,9.73076,39.5938,20.54,66.71,12.74
5c 4c 3c,22.7349,55.49,45.6999,109.817,44.51,20.8426,78.0381,6.44,76.67,16.88
5c 4c 3d,0.00167,55.37,49.1634,118.388,44.63,14.8367,55.4066,24.08,64.89,11.03
5c 4d 4c,22.346,56.39,45.5208,107.625,43.61,19.9154,76.1197,18.64,66.55,14.81
5c 4d 2c,0.00316,54.74,46.5361,113.353,45.26,18.0051,66.3008,19.78,67.94,12.28
5c 4d 3c,0.00128,55.79,46.4474,111.012,44.21,18.3811,69.29,23.67,65.54,10.79
