Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
2h 2d 2c,0.00781,45.05,45.1339,55.6599,54.95,198.517,133.801,0.00,31.63,23.33,45.04
3c 2d 2c,0.19537,42.60,50.0513,65.2658,57.40,194.793,125.699,0.00,15.77,42.95,41.27
3d 3c 2c,0.21114,42.95,48.5902,62.849,57.05,196.666,127.679,0.00,17.17,40.54,42.29
3h 3d 3c,0.01162,44.61,43.1759,53.7676,55.39,201.402,134.673,0.00,39.28,12.13,48.60
3h 3d 2c,0.22844,42.54,48.431,63.2507,57.46,198.163,127.727,0.00,22.36,31.02,46.62
3h 2d 2c,0.20102,42.31,51.0264,67.0063,57.69,195.202,125.312,0.00,21.24,32.73,46.04
4c 2d 2c,0.23269,42.49,49.6416,64.9008,57.51,195.64,126.002,0.00,15.62,42.58,41.80
4c 3c 2c,0.0001,39.98,34.6646,48.1636,60.02,212.231,130.974,0.19,23.08,23.61,53.12
4c 3c 2d,0.42133,43.56,41.7771,53.2798,56.44,202.951,133.184,5.46,12.06,39.80,42.68
4c 3d 3c,0.30096,43.78,50.5181,64.0988,56.22,195.108,128.546,0.00,14.93,42.98,42.09
4c 3d 2c,0.41825,43.59,41.8931,53.3902,56.41,202.843,133.186,5.32,12.08,39.86,42.74
4d 4c 2c,0.17893,43.44,49.5038,63.3052,56.56,196.705,128.816,0.00,19.13,36.34,44.53
4d 4c 3c,0.23876,44.67,48.3089,60.0778,55.33,197.619,132.289,0.00,20.27,35.18,44.55
4h 4d 4c,0.00822,43.54,45.7446,58.3718,56.46,199.719,131.008,0.00,41.19,9.53,49.28
4d 3c 2c,0.40935,43.70,41.7493,53.0806,56.30,202.874,133.452,5.68,12.54,38.77,43.01
4h 4d 2c,0.17369,43.91,51.5124,65.1718,56.09,195.606,129.165,0.00,24.63,27.82,47.55
4h 4d 3c,0.24503,44.60,50.942,63.4491,55.40,195.946,131.008,0.00,26.15,26.05,47.80
4h 2d 2c,0.23261,42.98,51.2624,66.2546,57.02,194.991,126.665,0.00,21.57,32.28,46.15
4h 3d 3c,0.29345,45.43,52.916,64.7043,54.57,193.655,131.445,0.00,20.60,33.40,45.99
4h 3d 2c,0.43543,45.53,40.9405,49.9542,54.47,203.906,138.65,0.00,25.14,29.75,45.11
5c 2d 2c,0.27073,41.59,49.0327,65.494,58.41,196.494,124.599,0.00,16.09,41.36,42.56
5c 3c 2c,0.00476,46.27,46.541,55.8858,53.73,201.512,138.895,0.02,21.63,28.56,49.79
5c 3c 2d,0.31362,44.16,43.5919,54.8373,55.84,200.512,133.001,2.75,15.08,41.69,40.48
5c 3d 3c,0.28384,42.56,51.0198,66.5911,57.44,195.056,125.782,0.00,15.49,41.52,43.00
5c 3d 2c,0.31809,44.12,43.6656,54.9776,55.88,200.455,132.872,2.93,14.64,42.02,40.41
5c 4c 2c,0.05273,47.36,53.441,62.6906,52.64,194.592,136.909,0.00,26.25,24.01,49.74
5c 4c 2d,0.53598,44.27,40.1332,50.3588,55.73,202.33,134.475,7.10,10.80,43.48,38.62
5c 4c 3c,0.04674,46.85,52.0983,61.7806,53.15,195.284,136.078,0.00,29.41,20.79,49.80
5c 4c 3d,0.80259,45.23,43.6992,53.6785,54.77,199.624,134.985,6.73,14.68,36.66,41.93
5c 4d 4c,0.25324,44.90,49.272,60.9644,55.10,196.862,132.328,0.00,17.38,38.33,44.29
5c 4d 2c,0.52764,44.12,40.0999,50.4898,55.88,202.433,134.179,7.80,11.62,40.94,39.64
5c 4d 3c,0.81679,45.22,43.3738,53.2825,54.78,199.965,135.207,7.42,13.96,36.48,42.14
5d 5c 2c,0.19381,44.00,50.8216,64.171,56.00,196.435,129.914,0.00,17.55,37.01,45.43
5d 5c 3c,0.22278,44.19,51.3731,64.5821,55.81,195.863,129.987,0.00,20.37,33.40,46.23
5d 5c 4c,0.27289,45.16,48.4978,59.6564,54.84,198.179,133.853,0.00,22.15,31.08,46.77
5h 5d 5c,0.02417,43.33,43.3718,55.6127,56.67,203.227,132.814,0.00,45.70,2.65,51.65
5d 3c 2c,0.23549,44.08,43.1495,54.377,55.92,200.868,133.05,2.63,17.46,38.23,41.68
5d 4c 2c,0.50724,44.07,40.177,50.6436,55.93,202.449,134.071,6.81,13.69,39.02,40.47
5d 4c 3c,0.84848,44.97,43.089,53.2332,55.03,200.176,134.722,7.28,14.61,35.67,42.45
5h 5d 2c,0.17222,44.45,53.0703,66.3299,55.55,194.878,129.931,0.00,26.69,24.71,48.60
5h 5d 3c,0.2327,44.56,53.9538,67.2695,55.44,193.786,129.456,0.00,25.98,25.80,48.22
5h 5d 4c,0.36516,45.76,51.4105,62.4178,54.24,196.068,133.878,0.00,26.84,24.42,48.74
5h 2d 2c,0.22251,41.63,49.3419,65.8495,58.37,196.984,124.988,0.00,24.52,28.13,47.36
5h 3d 3c,0.26223,43.87,52.404,66.3638,56.13,194.067,128.053,0.00,21.39,32.35,46.26
5h 3d 2c,0.18626,44.93,43.329,53.5772,55.07,200.969,135.158,0.00,26.15,30.69,43.16
5h 4d 4c,0.29177,46.14,51.1579,61.5951,53.86,195.763,134.622,0.00,22.07,30.96,46.97
5h 4d 2c,0.53174,44.29,36.7881,46.1438,55.71,205.871,136.871,0.27,21.69,38.16,39.88
5h 4d 3c,0.968,46.28,45.2083,54.2688,53.72,198.058,136.551,0.00,22.86,36.63,40.52
6c 2d 2c,0.33043,42.32,47.5045,62.3673,57.68,198.12,127.206,0.00,17.42,39.07,43.50
6c 3c 2c,0.00001,27.61,-43.1386,-86.7902,72.39,280.407,143.473,0.40,31.96,19.93,47.71
6c 3c 2d,0.44909,41.84,43.2266,57.3969,58.16,199.248,126.883,6.65,11.53,41.77,40.05
6c 3d 3c,0.37688,42.93,48.984,63.3836,57.07,196.847,127.759,0.00,15.54,41.16,43.29
6c 3d 2c,0.46768,41.82,43.4311,57.7007,58.18,199.048,126.705,7.08,11.04,41.74,40.13
6c 4c 2c,0.00013,37.12,22.3256,33.4092,62.87,221.842,130.678,0.04,29.73,20.62,49.61
6c 4c 2d,0.41624,43.34,42.188,54.0743,56.66,200.271,130.92,4.44,13.58,42.76,39.22
6c 4c 3c,0.0205,45.70,46.2402,56.2182,54.30,201.012,137.095,0.00,30.78,18.89,50.33
6c 4c 3d,0.63732,43.05,44.2485,57.0972,56.95,198.576,129.151,7.01,11.92,41.22,39.85
6c 4d 4c,0.23849,44.11,50.2432,63.2736,55.89,195.904,129.832,0.00,15.55,40.67,43.77
6c 4d 2c,0.42987,43.33,41.7022,53.4638,56.67,200.536,131.071,4.47,14.02,42.07,39.43
6c 4d 3c,0.66963,43.16,44.493,57.2715,56.84,198.25,129.18,7.21,12.00,40.92,39.87
6c 5c 2c,0.02273,46.22,54.0276,64.9423,53.78,193.458,133.226,0.01,28.28,22.71,49.00
6c 5c 2d,0.50516,43.67,38.1839,48.5804,56.33,203.199,133.595,4.72,12.47,46.80,36.01
6c 5c 3c,0.10276,47.00,50.185,59.3191,53.00,197.197,137.807,0.00,31.53,18.10,50.37
6c 5c 3d,0.59248,43.77,44.2543,56.1729,56.23,198.071,130.459,4.41,15.52,42.11,37.96
6c 5c 4c,0.1149,46.94,47.7312,56.4951,53.06,199.586,139.309,0.00,30.40,19.40,50.19
6c 5c 4d,1.03413,44.60,44.8119,55.8177,55.40,198.559,132.748,3.15,20.29,33.99,42.57
6c 5d 5c,0.23237,45.23,49.3566,60.6189,54.77,197.17,133.342,0.00,16.10,39.38,44.52
