
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
33,285.01352507,61.454158911,257.65684547,1.1827538104
22,218.92372427,50.35443433,241.53640664,1.4375213841
AA,207.51126236,58.187585336,198.12479583,0.6401909611
55,182.36766304,57.505677758,176.18324364,0.98683457875
54s,175.34332865,55.88795256,174.30046352,1.6082234449
A3s,147.65483173,53.528854019,153.24531708,0.49540238293
44,144.57575797,54.618243299,147.05684528,0.76990919856
A2s,96.851576781,46.891397919,114.74691294,0.20930053711
53s,87.757708883,45.279534604,107.67399254,0.49987311432
A5s,65.909646594,48.253196109,75.884031076,0.55841246829
A4s,64.574797619,45.93947423,78.09163724,0.41446788391
A4o,52.999147186,36.838468188,79.927239398,0.94770700978
A5o,46.568019751,39.488784068,65.515114468,1.1107814025
43s,43.228209411,41.762291212,57.505637737,0.0034488410182
KK,41.241063998,46.770395446,48.987617065,0.40396652608
T7s,39.918519808,39.39848099,56.288859092,0.37840946136
66,33.887248309,48.454435858,38.853509957,0.73169503127
K3s,25.141424942,37.948806914,36.806053832,0.27314668765
K6s,20.841192697,32.658983051,35.452544157,0.29856697727
76s,15.347173099,38.164932758,22.340422636,0.44565504108
77,12.346046974,45.21510585,15.169521019,0.22962258163
AKo,8.972831092,44.675673414,11.15798774,2.9439060088
K5s,7.456527482,39.798954489,10.408603244,0.30981375587
75s,6.3373525005,30.814497616,11.425632938,0.36495810843
Q5s,4.0914809211,32.624289203,6.9673394017,0.40106447251
74s,2.4840428954,29.842152817,4.6244111115,0.89992645204
Q3s,2.1211269583,32.276108064,3.6510097913,0.48816428893
85s,1.646454457,23.974483862,3.8152934836,0.6078551526
65s,1.6232430258,28.819277801,3.129161276,0.47925979159
AKs,0.8960333435,43.720341052,1.1385919917,1.3303518711
K2s,0.61476309242,28.260339417,1.2085313141,0.3856868552
64s,0.36772415001,31.376026485,0.65110601098,0.75881938345
J2s,-0.041722858467,21.616014951,-0.10723237316,0.0059217213178
Q2s,-0.23292371015,26.000964256,-0.49768177796,0.78234871692
T6s,-0.4453626683,33.25563151,-0.74400543119,0.55582228225
T4s,-0.46082454686,17.75126136,-1.4422278617,0.0117557083
76o,-0.64487577493,18.181981929,-1.9704360108,0.061125406117
96s,-0.77210454337,28.573125492,-1.5012252288,0.8011102789
AQo,-0.84170769014,44.12535334,-1.059743091,3.1364017266
J6s,-0.89342992797,35.952822949,-1.3805590751,0.57218925176
95s,-1.0686753048,22.409562572,-2.6493533766,0.94981255275
JTo,-1.4101799026,18.13792995,-4.3193092121,3.6083599815
98o,-1.746043331,17.974015773,-5.3968132945,1.7451367787
T9o,-2.0037065061,16.956180516,-6.564982486,1.4350336043
J8o,-2.0819638755,18.866154052,-6.1308022522,0.033768903621
87o,-2.160942505,18.31739273,-6.5540092498,0.70886935546
T5s,-2.4824794021,23.383131716,-5.8980774694,0.83937590573
J9o,-2.6751656845,16.926932942,-8.7801089728,1.4032373005
J4s,-2.9265013726,26.067928541,-6.2369132758,1.1442693472
Q4s,-3.2812487849,28.679210455,-6.3562279529,0.84547925973
J7s,-3.3765452281,37.865680751,-4.9539805514,0.48085078285
