Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
2h 2d 2c,0,1.33,-295.201,-12364,98.67,1345.39,125.089,33.86,66.14
3c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
3d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
3h 3d 3c,0,0.02,-292.137,-825698,99.98,1343.91,123.318,32.13,67.87
3h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
3h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4c 3c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
4c 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
4c 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4d 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4d 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
4d 3c 2c,0.00002,14.31,-99.6983,-387.026,85.69,1156.88,123.861,26.18,73.82
4h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 4d 3c,0.00002,8.70,-120.322,-768.321,91.30,1180.75,118.65,22.60,77.40
4h 2d 2c,0.00001,10.85,-100.096,-512.379,89.15,1158.25,119.198,25.11,74.89
4h 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
4h 3d 2c,0.00001,7.82,-167.401,-1188.87,92.18,1225.3,121.951,25.38,74.62
5c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 3c 2d,0.00001,12.69,-131.322,-574.818,87.31,1187.46,124.778,27.32,72.68
5c 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 3d 2c,0,29.84,-7.29908,-13.5904,70.16,1064.2,139.151,26.49,73.51
5c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 4c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 4c 3c,0.00002,8.26,-131.58,-885.483,91.75,1187.03,118.699,28.08,71.92
5c 4c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
5c 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
