
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
55,161.16583589,79.3015331,150.54198323,92603.678295
44,160.8295092,77.835270998,153.05782102,89866.758755
66,154.62227599,78.499274773,145.90583109,108122.256
77,154.04778687,79.070866872,144.31291356,118510.50482
33,153.5336579,74.775734763,152.09296952,95310.136674
KK,138.23551407,81.039235841,126.3544455,124267.78786
22,138.21579873,68.401429755,149.67826477,104471.08921
88,135.32179821,75.777246107,132.28030074,127129.54318
AA,133.68756242,81.433416156,121.60588207,60674.848026
QQ,132.78429466,78.991312397,124.51842336,144947.27404
JJ,127.47874929,76.949716376,122.71481641,138535.81113
AJs,125.43687597,74.81496827,124.19467196,46189.588131
99,124.11291102,74.545314547,123.32832748,140715.76587
ATs,123.03240588,72.4672917,125.76034419,38985.522572
TT,122.38177419,75.034536193,120.81525477,144996.14794
76s,120.47701227,58.764988946,151.86292537,67364.871612
AQs,119.38187958,73.932493394,119.61049581,52196.719801
A3s,119.21204587,64.382135652,137.1579527,52651.565857
A9s,118.60583943,71.390425034,123.06437077,41188.043245
A2s,118.51591316,64.029149056,137.10874906,44817.618521
A8s,116.13413334,70.359384196,122.26554416,54307.429354
75s,114.51876693,56.79753249,149.35281961,63580.518559
A7s,113.98521392,68.98842864,122.38790397,64070.995822
74s,112.68191328,56.598071216,147.47513849,53887.814729
86s,111.45761159,54.643318223,151.09110584,70814.670364
A5s,109.93319868,64.807016038,125.65306042,69157.17074
K7s,109.10239459,64.374244427,125.54180528,56557.687764
65s,108.33779946,54.000893123,148.609064,86831.472755
A4s,108.0070004,62.278765346,128.46302434,67054.293123
54s,106.10682565,53.0616467,148.12515917,75881.698497
53s,105.60513504,53.418167866,146.44086288,65789.300408
AKs,105.55547202,69.362031038,112.72628175,49318.243342
A6s,105.48313839,64.383294785,121.36014214,65835.644173
64s,105.24437986,52.758597646,147.76511009,81335.833124
K8s,105.15260057,63.855514514,121.97977862,58746.014146
K2s,103.33853083,57.790134357,132.45696817,52085.709371
87s,102.81787866,52.712637225,144.48412299,92636.095609
K6s,102.39643366,59.705286719,127.03935328,68080.673558
KJs,101.89696443,62.815383251,120.16042727,66121.810442
KTs,101.70912004,61.124794346,123.25618388,63960.160636
76o,101.70671086,52.835853884,142.58935704,2271.7963256
K3s,101.7021013,57.511414931,130.9911953,57019.159396
87o,100.32674997,50.659326788,146.69778657,73724.430585
K9s,100.10782729,60.40639492,122.75843681,62994.115678
97s,99.764181801,50.319008984,146.86178329,74976.747736
Q7s,99.391045864,56.780789189,129.66180637,69005.552152
Q2s,98.670886399,55.2834179,132.20880376,53449.285147
KQs,97.878504872,62.38479823,116.21837092,75912.062295
85s,97.688298082,49.404083998,146.46906982,68088.260134
AQo,97.072390632,66.769409287,107.69224307,134443.46489
K4s,97.051331437,56.173117243,127.97914495,66336.819461
Q3s,96.780632136,54.477958906,131.5933243,60866.766888
43s,96.539611156,49.501115117,144.46305484,175.22770445
K5s,96.530041943,57.123622939,125.17366913,67497.383613
AJo,95.12871186,64.842021759,108.67291083,123924.33404
Q8s,93.862224153,53.70265578,129.46766307,76733.220765
T7s,93.724421383,49.136187876,141.29198931,70000.868584
Q6s,93.15614592,53.273134182,129.52974063,81118.679821
ATo,92.495297251,62.918563568,108.89478576,121923.34031
A7o,92.427742643,61.507059253,111.31241744,163898.34002
J7s,92.415584713,51.296251833,133.45222356,70111.206818
J3s,92.142705219,51.574402758,132.34056444,52237.131924
A9o,92.041474307,62.891044243,108.40791511,127247.60669
96s,91.802358595,46.71001078,145.58281185,81061.348362
J8s,91.25528666,49.965930479,135.28519931,82767.324528
AKo,91.064345602,64.219567611,105.03818902,143888.34106
Q4s,90.893174939,52.037640861,129.38380107,71142.710631
A8o,89.555110686,61.02888864,108.69789784,162080.42293
Q5s,89.546429717,51.918377315,127.75955665,79832.740592
J6s,89.392578684,50.03291716,132.3463206,69843.177814
98s,89.282030699,46.659831743,141.73826841,142774.17684
Q9s,88.364787733,51.556785732,126.95787255,103958.9571
T8s,87.990619705,47.289421578,137.82836551,111842.72275
J4s,87.674445356,49.281391774,131.78206065,62693.037698
KQo,87.672960631,58.083437712,111.80972814,173508.627
QJs,87.009528846,52.089326919,123.73264671,113056.77493
J5s,86.924920376,49.278182907,130.66396955,73659.280882
T6s,86.881430146,46.31149277,138.96467394,68782.926472
QTs,86.712383301,50.963337618,126.0345143,115357.97337
K7o,86.387655684,54.531655227,117.34625658,70392.042992
95s,85.447339974,45.017272142,140.60009169,65237.567265
T5s,85.272401693,47.601971996,132.69354051,61610.056636
J2s,84.993023131,50.129937951,125.58921372,142.01773822
J9s,84.279424815,47.218264569,132.21410007,138066.66902
T9s,84.209003053,45.162030777,138.11832246,166339.9954
A6o,83.466119294,56.199802371,110.01240649,207222.46542
A5o,83.167403177,55.345300625,111.31113778,211755.13994
98o,82.913696716,42.340717403,145.05553257,186074.98336
JTs,82.841727052,46.631369485,131.59433861,165381.09094
K8o,82.831070118,54.620534552,112.33201714,143834.83476
A4o,82.497930019,53.832367973,113.51827923,210794.84963
KJo,82.247123271,54.721026857,111.33525541,166866.50943
T8o,78.949890614,41.844107221,139.76018211,124716.9493
K9o,78.498642614,52.405782572,110.9555851,147007.44871
KTo,77.580192803,51.668793547,111.22150439,173293.71149
J8o,77.355630443,42.034807824,136.3167098,11979.628754
T4s,77.091687119,42.691233616,133.76271563,160.89121978
Q8o,76.915103024,45.248937562,125.91268095,13801.129901
QJo,76.326397696,47.50163595,119.02342148,205516.26187
T9o,76.011971719,40.278918803,139.78817185,217077.41822
Q9o,73.050416738,44.857075905,120.63073376,174695.77452
J9o,72.891710709,41.331666214,130.63557493,187776.85585
QTo,72.70433798,44.766723734,120.30155588,209112.05835
JTo,72.395490788,41.125755411,130.39587708,240146.0343

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
66,82.492637767,61.486466408,149.0709936,58731.65378
77,81.63980781,61.957472899,146.40832384,80776.456654
55,78.382167434,60.101974721,144.90588296,82389.312556
TT,75.470250716,62.965033928,133.1784149,9.9403388646
44,75.241727686,57.783074841,144.6823657,78239.988649
33,67.95178338,54.115212285,139.52080819,81498.721867
88,67.12930937,60.387849037,123.51511556,71136.496586
99,59.836382816,60.288161727,110.27848236,59649.11907
22,51.778352855,48.330235376,119.03832606,95272.981419
A4s,43.02984386,51.665496533,92.539394433,21018.2973
A5s,42.607214542,52.629458476,89.952188113,433.84281924
65s,41.391113154,47.152654156,97.534542966,11839.936639
64s,39.842455755,45.02258862,98.327076787,71245.400162
76s,39.273178052,47.753707304,91.379009013,8699.8689232
A6s,39.090739781,52.364970918,82.945057642,48931.912714
87s,38.444729113,46.862801422,91.151967839,7429.50268
A2s,38.368216199,47.55693856,89.642757972,57803.19818
A3s,38.169881699,48.987437139,86.575216306,39469.679806
54s,37.934359884,45.321618822,93.000404346,2431.5526953
A7s,36.834256001,52.835540327,77.461025021,55866.520415
75s,36.675324546,46.928987498,86.834092913,69793.664633
64o,36.328941348,43.730739553,92.304614097,17397.173141
74s,35.804429138,45.468484467,87.495106795,62511.216919
A8s,35.327414407,52.386348567,74.929220585,55343.075098
98s,35.293555159,42.732142274,91.769471879,515.79618762
K8s,35.131984353,50.609973947,77.130128957,46969.314227
A9s,34.155126263,51.72153771,73.373959811,57548.815065
85s,33.865827863,43.817204305,85.876536903,56652.331982
63s,33.728200104,43.473876721,86.20298147,66067.361663
ATs,33.3337609,51.053675006,72.546221417,38593.073992
K9s,33.296628891,50.244782097,73.632032578,43427.924874
43s,33.039805712,42.34398505,86.696835909,71386.70541
KJs,32.425403513,50.865834152,70.829913097,59.549852455
KTs,32.240832704,49.635925648,72.17181302,14097.278977
T9s,31.386774972,41.140903318,84.767692491,6.8195394354
53s,31.329498662,42.148087707,82.591063943,76824.024506
86s,31.091533142,43.870048639,78.74654578,72374.811675
K7s,30.967462672,48.967002985,70.268323075,59890.516253
KQs,30.522156608,50.654367732,66.950805745,9.9381601149
65o,30.320332542,44.286833072,76.070597157,193335.11937
96s,30.127895932,41.35008432,80.956158795,54825.031289
QJs,29.93616681,47.346482201,70.253176203,8991.9458495
52s,29.570567169,40.311144593,81.506457024,65673.728011
QTs,29.459335325,45.559596011,71.845665175,19238.634762
K2s,29.436826865,43.727116397,74.799319281,60944.815588
K5s,29.37103244,47.525750309,68.666944292,60543.164251
K3s,29.255095661,45.228959887,71.869134127,60063.633692
75o,29.248968133,44.165020324,73.585052701,100226.00409
73s,28.919901597,43.74347534,73.458324348,61091.288862
AJs,28.824359449,51.423043691,62.281544918,6.0510953358
K6s,28.566435835,47.348834169,67.035408196,64839.625867
JTs,28.412755573,42.323839506,74.590889634,9777.0819594
K4s,28.22739478,45.724305197,68.593217202,60979.205134
76o,27.823456206,44.37880981,69.661515198,193658.82476
53o,27.615451843,41.286967738,74.318452196,71592.129509
54o,27.393990267,42.691563904,71.296912503,195069.16555
97s,27.388770057,41.631243327,73.098865895,45998.259947
42s,26.404441636,37.970042238,77.266883983,73628.712462
84s,26.1924632,41.270814576,70.516507096,55342.408534
Q5s,26.056960478,44.650910306,64.841182654,56783.247789
Q9s,26.032376528,44.636985131,64.800216062,53868.620167
Q4s,25.537633047,42.679775858,66.483825792,56335.207652
T8s,25.28435134,40.607192687,69.184107179,58240.448146
62s,25.1840282,39.590371607,70.679441539,63760.07301
Q6s,25.007411558,44.196868734,62.868736265,62420.736085
Q3s,24.804429916,41.556527704,66.320453627,58336.404255
87o,24.244681238,41.796941133,64.450971717,183441.30814
Q7s,24.106182964,44.299015378,60.463302647,63372.197982
32s,23.791000008,36.465126992,72.492396526,80803.404321
Q2s,23.521201809,39.524026534,66.123497449,61066.155005
T7s,23.359429177,40.159601132,64.629430015,67029.568815
95s,23.231695769,38.547338544,66.964403442,43116.864307
J9s,22.975441116,40.734205644,62.67034671,63941.865786
86o,22.914411411,40.644214838,62.642265879,155734.4182
J6s,22.842665251,40.97716632,61.938736734,56573.71335
Q8s,22.764722965,43.452534477,58.210958077,62376.432269
72s,22.742172291,39.807466257,63.478243402,61137.253827
J5s,22.092732255,41.01773233,59.846019974,54412.782261
T6s,22.089062144,38.780987966,63.287202491,58802.742131
J7s,21.269131827,41.026097591,57.603257646,65554.239747
83s,20.992359815,38.203027222,61.054963271,56784.556929
T5s,20.882554964,37.706854683,61.53480327,27482.02529
J8s,20.548253235,40.427234043,56.475277183,67450.643874
J2s,20.338473681,37.841342611,59.71855788,58200.681777
J4s,20.287754706,38.482942662,58.576470806,57617.054519
T4s,20.258099123,37.349343458,60.266116994,45443.798051
94s,19.908293092,37.366215432,59.198731802,47056.668537
KQo,19.500713359,47.656850364,45.465571313,102625.90619
AQo,19.385128275,49.93210355,43.136639327,29222.328507
J3s,18.939831116,36.976999125,56.911748637,63216.466164
82s,18.925334984,36.145976471,58.175631246,64172.856417
T3s,18.748219248,36.336746796,57.32861788,54962.403519
