Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 150 freq,CALL freq,FOLD freq
2h 2d 2c,0.26631,56.04,92.8741,122.76,43.96,26.3408,66.5784,0.00,2.93,66.83,30.23
3c 2d 2c,2.7397,54.80,97.0903,131.242,45.20,23.3554,57.4105,0.00,7.13,57.08,35.79
3d 3c 2c,2.31714,54.50,96.3083,130.89,45.50,24.2914,59.3243,0.00,9.11,54.44,36.44
3h 3d 3c,0.353,56.09,92.819,122.572,43.91,26.6711,67.4943,0.00,3.29,65.82,30.89
3h 3d 2c,2.4005,53.48,95.9484,132.904,46.52,24.4738,58.4505,0.00,9.52,55.92,34.56
3h 2d 2c,2.60044,54.06,96.7413,132.565,45.94,23.508,56.8528,0.00,7.73,58.50,33.77
4c 2d 2c,2.88597,55.12,96.8994,130.224,44.88,23.7003,58.6738,0.00,8.06,55.88,36.06
4c 3c 2c,3.06772,59.29,98.59,123.183,40.71,24.4031,66.5961,0.00,0.00,57.44,42.56
4c 3c 2d,5.87105,55.41,95.2952,127.394,44.59,25.5098,63.5662,0.00,7.18,54.80,38.03
4c 3d 3c,3.81138,55.29,96.8496,129.751,44.71,23.9414,59.4988,0.00,7.90,55.88,36.22
4c 3d 2c,5.82216,55.48,95.3456,127.301,44.52,25.4576,63.5359,0.00,7.18,54.80,38.01
4d 4c 2c,2.53523,55.36,96.2189,128.744,44.64,24.9019,61.9826,0.00,7.06,56.28,36.66
4d 4c 3c,3.4371,55.72,96.1957,127.887,44.28,24.8113,62.256,0.00,6.95,56.78,36.27
4h 4d 4c,0.18167,55.21,93.352,125.257,44.79,26.4015,65.4885,0.00,4.53,64.09,31.38
4d 3c 2c,5.70839,55.56,95.4465,127.25,44.44,25.3275,63.3261,0.00,7.17,54.84,37.99
4h 4d 2c,2.54944,54.28,96.0898,131.136,45.72,24.7813,60.2219,0.00,6.81,58.38,34.81
4h 4d 3c,3.38533,55.10,96.1424,129.25,44.90,24.6766,61.0653,0.00,7.24,58.07,34.69
4h 2d 2c,2.80434,54.56,96.712,131.298,45.44,23.6029,57.7169,0.00,8.29,57.55,34.16
4h 3d 3c,3.62342,54.81,96.7344,130.723,45.19,23.8482,58.643,0.00,8.10,57.33,34.57
4h 3d 2c,6.34425,56.01,95.885,126.82,43.99,24.8433,62.7431,0.00,6.86,56.26,36.88
5c 2d 2c,3.28568,55.02,96.7488,130.265,44.98,23.8676,58.9523,0.00,8.24,55.64,36.13
5c 3c 2c,3.27917,60.00,97.8638,120.814,40.00,25.1606,69.8949,0.00,0.15,57.33,42.53
5c 3c 2d,5.34657,56.10,96.2484,127.096,43.90,24.4119,61.7805,0.00,5.87,56.30,37.83
5c 3d 3c,3.65404,55.03,96.7169,130.198,44.97,24.1589,59.6854,0.00,7.77,55.94,36.30
5c 3d 2c,5.39913,56.10,96.2841,127.134,43.90,24.3684,61.6759,0.00,5.89,56.32,37.78
5c 4c 2c,4.59187,59.61,97.4915,121.147,40.39,25.3137,69.6374,0.00,1.15,57.20,41.65
5c 4c 2d,7.33988,55.62,95.2151,126.808,44.38,24.6037,61.5976,0.00,7.30,56.55,36.15
5c 4c 3c,5.07693,58.64,97.0949,122.642,41.36,25.5809,68.7282,0.00,0.92,58.27,40.81
5c 4c 3d,9.27135,55.74,95.8707,127.406,44.26,24.3363,61.0936,0.00,8.66,54.07,37.27
5c 4d 4c,4.22868,56.18,96.629,127.404,43.82,24.448,61.9927,0.00,5.99,57.90,36.11
5c 4d 2c,7.5524,55.72,95.1779,126.523,44.28,24.6497,61.8571,0.00,6.99,57.38,35.63
5c 4d 3c,9.49241,55.84,95.8586,127.156,44.16,24.3659,61.3095,0.00,8.60,54.24,37.15
5d 5c 2c,3.04329,55.51,95.8171,127.867,44.49,25.8913,64.6587,0.00,6.37,56.35,37.28
