
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,61.883354871,77.583145986,132.93985888,1084780.5206
KK,53.674139047,73.984393543,120.91320092,1005286.323
QQ,46.642210544,71.212506799,109.16202935,1034784.5936
JJ,42.895792179,69.719137245,102.54427951,1084532.2382
TT,39.8680726,68.234804499,97.379611702,1110056.387
99,37.586592094,66.253453985,94.55253483,1124537.2166
88,35.331852824,63.682706551,92.468465244,1135320.0085
77,33.2895351,60.686478922,91.42490961,1132946.5846
76s,28.608156669,49.009336713,97.288117557,618909.1836
66,28.150545879,56.739771092,82.689047846,1179435.5989
65s,25.907286845,46.611855754,92.634825861,612373.4524
55,25.10497114,53.7011274,77.915717217,1169223.1421
87s,24.970814046,47.923009449,86.843509805,574545.626
75s,24.577838935,46.563585604,87.972316478,657537.75823
86s,23.880449289,46.04943694,86.430478763,664443.58307
54s,23.312293568,43.493061722,89.333381174,633585.50388
AKs,22.742961117,55.752040848,67.988426287,550558.26167
AQs,22.578320205,55.386986127,67.941110912,614988.23256
AJs,21.957649179,54.950516643,66.598249117,643336.59094
97s,21.491145054,45.762980771,78.269759719,653722.32377
76o,21.329646676,44.493747385,79.897543397,20239.318403
44,21.22060029,50.545485433,69.971960595,1190898.7488
ATs,21.081481895,54.334415068,64.66583493,668067.60599
64s,20.838415073,41.614113075,83.458925884,678914.43053
A7s,20.586601441,53.287322664,64.388677619,761982.96726
87o,20.083282044,45.359958985,73.792255304,1102705.4558
A3s,20.002571006,49.738826038,67.025342171,771265.45294
A9s,19.968105957,53.523494314,62.17863206,734583.38506
KQs,19.947935934,51.102624783,65.058419271,714869.33439
A5s,19.825128129,51.684689689,63.929725444,709935.73784
98s,19.618472728,44.493899659,73.487500077,597045.0896
A8s,19.567463586,53.080265312,61.439857391,765265.62953
A6s,19.224410002,51.963418953,61.660075457,754214.09456
A4s,18.954795077,50.274359822,62.83784665,723096.00088
74s,18.790730069,40.782824882,76.791844455,755070.87464
K6s,18.679362231,49.287086244,63.165167102,717792.97071
K7s,18.655913259,49.927479981,62.276703683,756872.96466
85s,18.427790507,42.595542664,72.103751374,711950.75508
T7s,18.389699853,44.282058258,69.214261847,685844.04643
53s,18.368490988,38.624675274,79.260605893,716569.65776
KJs,18.336891622,50.182312057,60.900912661,743133.795
A2s,18.28831145,48.542039071,62.792003933,789373.47824
JTs,18.071699617,45.468539161,66.242505075,602198.16465
96s,18.042808621,43.07789574,69.806909517,682020.71439
33,17.94133514,47.368539206,63.126762476,1141480.7432
43s,17.748574752,36.056294925,82.041036057,803.85017164
KTs,17.703059526,49.710398385,59.35397858,747229.52721
AKo,17.611690685,54.985786663,53.382555,1696149.8127
K5s,17.449755861,48.053665322,60.521765072,710970.53136
T8s,17.437339119,43.685600842,66.525883368,627157.0437
T9s,17.398459634,43.496411084,66.666265103,622914.3251
QJs,17.329282233,47.234974918,61.145659767,705711.75087
