Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 60 freq,CALL freq,FOLD freq
2h 2d 2c,4.46379,47.59,14.4577,50.6338,52.41,50.7908,129.212,5.97,93.70,0.34
3c 2d 2c,46.8677,49.03,17.4628,59.3554,50.97,48.7126,127.439,5.85,80.39,13.76
3d 3c 2c,48.5386,49.30,17.8437,60.3238,50.70,48.4317,127.367,4.77,81.58,13.65
3h 3d 3c,6.68754,47.85,14.3663,50.0343,52.15,50.9663,130.319,5.28,94.24,0.48
3h 3d 2c,51.1495,49.50,17.6462,59.4194,50.50,48.4064,127.796,4.69,84.48,10.83
3h 2d 2c,48.974,49.25,17.1536,58.0441,50.75,48.8019,128.227,5.31,84.15,10.54
4c 2d 2c,46.6479,49.17,17.4395,59.1145,50.83,48.7212,127.799,6.19,80.45,13.37
4c 3c 2c,22.4018,48.54,19.4893,66.9233,51.46,47.9831,124.316,13.69,57.86,28.45
4c 3c 2d,50.8536,48.69,17.4757,59.823,51.31,48.8719,126.991,11.55,68.05,20.41
4c 3d 3c,54.499,49.28,17.8527,60.3754,50.72,48.3189,127.027,6.99,78.80,14.21
4c 3d 2c,49.7773,48.69,17.5011,59.9125,51.31,48.8509,126.931,11.70,67.78,20.52
4d 4c 2c,39.8702,49.44,17.9041,60.3618,50.56,48.4424,127.737,6.36,78.87,14.78
4d 4c 3c,45.5518,49.32,17.9543,60.6781,50.68,48.3143,127.099,7.55,77.15,15.31
4h 4d 4c,2.58787,47.91,14.4118,50.1386,52.09,50.9997,130.534,7.02,90.59,2.39
4d 3c 2c,47.9612,48.68,17.4755,59.8308,51.32,48.8752,126.983,11.90,67.38,20.72
4h 4d 2c,41.2416,49.63,17.5003,58.7644,50.37,48.6179,128.706,6.18,82.10,11.72
4h 4d 3c,46.8313,49.51,17.5996,59.2451,50.49,48.4527,127.955,7.23,80.10,12.67
