
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,62.245656087,80.904990266,128.2278878,2078354.8797
KK,54.645987944,77.258316566,117.88588028,1954046.338
QQ,48.419547752,74.390750403,108.48021537,2042071.7302
JJ,45.117450702,72.877174505,103.1814854,2153071.382
TT,42.490312699,71.442135358,99.125239576,2218555.2997
99,39.97308304,69.130412272,96.371195942,2265723.7493
88,37.484215495,66.312879119,94.210496245,2313192.1118
77,35.200091677,63.190144127,92.841724404,2347066.6412
76s,30.75842464,50.370283859,101.77437398,1246814.3256
66,30.736989359,59.149885164,86.607633228,2446694.6264
AKs,29.425884916,59.999812938,81.738824049,1077461.5167
AQs,29.145945563,59.697959716,81.370579783,1190737.3532
AJs,28.709507015,59.460183007,80.472638896,1243001.3065
87s,28.59444643,50.243310133,94.853246314,1142614.0961
65s,28.304982074,47.380400122,99.566424095,1244055.7212
ATs,28.063237435,59.015541825,79.253804923,1292474.1548
55,27.936657785,56.022686067,83.111145818,2415726.9216
75s,27.584919204,47.979227217,95.822438181,1329900.014
86s,27.386555567,48.00806,95.076241943,1335668.6838
A9s,26.863212502,58.097812795,77.063177912,1421402.0653
A7s,26.596358752,57.18454758,77.516158581,1493529.4576
KQs,26.346914609,54.948203763,79.914394541,1393617.0976
97s,26.19591098,48.630908372,89.777989134,1301558.3936
A8s,26.189466095,57.342970725,76.119373667,1490571.037
54s,26.016751257,44.393473496,97.674835242,1271492.6314
AKo,25.999356705,59.673381775,72.615728965,3301749.4939
A5s,25.208005492,54.858099387,76.58548684,1402267.6927
A6s,25.167825857,55.594742834,75.450257148,1473707.6439
98s,25.010546161,47.754826344,87.288022577,1164054.1094
KJs,24.964800581,54.095362262,76.916022427,1442322.1986
JTs,24.914935229,49.403327181,84.052824817,1165168.1693
44,24.803671617,52.966828508,78.047815699,2412832.3668
A3s,24.789336762,52.846612563,78.180150564,1520289.0452
76o,24.785835476,45.894176575,90.010822454,41729.318374
87o,24.741220408,47.893248518,86.098497433,2206257.8109
KTs,24.50545438,53.724920722,76.02137596,1448064.1871
K7s,24.466124007,53.261760336,76.559379727,1481174.8378
AQo,24.259875113,58.797749125,68.766450739,3475419.6364
A4s,24.244568806,53.365483269,75.718633472,1420184.9229
K6s,24.230273606,52.31213467,77.197746945,1426538.3775
