Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 15 freq,CHECK freq
2h 2d 2c,10.7475,51.71,22.5559,72.7052,48.29,29.348,101.283,41.53,58.47
3c 2d 2c,77.3304,53.09,23.4278,73.5483,46.91,28.7697,102.215,60.61,39.39
3d 3c 2c,77.8152,53.37,23.6086,73.7299,46.63,28.6429,102.371,62.38,37.62
3h 3d 3c,15.8287,52.09,22.4591,71.8567,47.91,29.4959,102.614,42.25,57.75
3h 3d 2c,84.3445,53.46,23.5091,73.2865,46.54,28.5955,102.413,60.64,39.36
3h 2d 2c,83.2327,53.20,23.2769,72.9228,46.80,28.7804,102.494,58.84,41.16
4c 2d 2c,75.9656,53.05,23.2402,73.008,46.95,28.9182,102.665,61.41,38.59
4c 3c 2c,50.5263,49.65,23.6398,79.3518,50.35,29.6998,98.315,44.34,55.66
4c 3c 2d,87.3959,51.30,22.7534,73.9162,48.70,29.5408,101.108,58.19,41.81
4c 3d 3c,88.1532,52.94,23.4225,73.7361,47.06,28.7269,101.744,61.82,38.18
4c 3d 2c,86.4385,51.31,22.8295,74.1511,48.69,29.4817,100.923,57.59,42.41
4d 4c 2c,64.3163,53.13,23.4568,73.5877,46.87,28.8381,102.539,61.99,38.01
4d 4c 3c,74.151,52.85,23.4426,73.9243,47.15,28.7926,101.783,61.43,38.57
4h 4d 4c,6.19604,51.66,22.2693,71.8496,48.34,29.7498,102.565,41.77,58.23
4d 3c 2c,83.7256,51.27,22.8004,74.1196,48.73,29.5154,100.948,57.28,42.72
4h 4d 2c,68.3748,53.19,23.2264,72.7825,46.81,28.911,102.93,60.32,39.68
4h 4d 3c,77.7907,52.93,23.2428,73.1833,47.07,28.838,102.117,60.20,39.80
4h 2d 2c,82.4764,53.24,23.1836,72.5719,46.76,28.8357,102.785,58.94,41.06
4h 3d 3c,93.5066,53.14,23.3504,73.2415,46.86,28.649,101.886,61.02,38.98
4h 3d 2c,96.2792,51.43,22.424,72.6745,48.57,29.6834,101.849,59.81,40.19
5c 2d 2c,78.8374,52.95,23.2023,73.035,47.05,28.9211,102.444,61.34,38.66
5c 3c 2c,49.3261,50.23,23.8055,78.9868,49.77,29.4162,98.5094,46.20,53.80
5c 3c 2d,72.7208,51.13,22.7629,74.2047,48.87,29.53,100.702,56.06,43.94
5c 3d 3c,83.966,52.89,23.3715,73.6518,47.11,28.7654,101.761,61.78,38.22
5c 3d 2c,73.1766,51.09,22.7531,74.2245,48.91,29.5442,100.677,55.87,44.13
5c 4c 2c,68.093,49.99,23.3335,77.7905,50.01,29.786,99.2713,47.41,52.59
5c 4c 2d,99.9965,51.13,21.5131,70.1307,48.87,30.2545,103.172,68.93,31.07
5c 4c 3c,77.265,49.17,22.686,76.9015,50.83,30.4613,99.8734,47.40,52.60
5c 4c 3d,99.9983,49.82,19.961,66.7761,50.18,31.6411,105.094,79.99,20.01
5c 4d 4c,77.654,52.64,23.2992,73.7711,47.36,28.8572,101.549,60.83,39.17
5c 4d 2c,99.9968,51.05,21.4769,70.1114,48.95,30.2958,103.161,68.74,31.26
5c 4d 3c,99.9987,49.80,20.0072,66.961,50.20,31.612,104.951,79.49,20.51
5d 5c 2c,69.6871,53.04,23.432,73.6285,46.96,28.915,102.625,62.58,37.42
5d 5c 3c,72.3452,52.84,23.3947,73.7956,47.16,28.9176,102.19,62.28,37.72
5d 5c 4c,80.7069,52.82,23.4285,73.9216,47.18,28.8169,101.804,61.52,38.48
5h 5d 5c,17.8628,52.53,22.091,70.0968,47.48,29.9265,105.061,46.03,53.97
5d 3c 2c,66.1455,50.91,22.7261,74.3998,49.09,29.6013,100.5,55.13,44.87
5d 4c 2c,99.9921,51.16,21.824,71.0945,48.84,30.0114,102.418,65.69,34.31
5d 4c 3c,99.9991,49.83,20.1761,67.4819,50.17,31.4705,104.549,77.65,22.35
5h 5d 2c,69.3716,53.12,23.0958,72.465,46.88,29.0666,103.336,61.07,38.93
5h 5d 3c,76.4646,52.97,23.115,72.7331,47.03,29.0064,102.789,61.53,38.47
5h 5d 4c,89.0975,53.04,23.1527,72.7511,46.96,28.9036,102.585,61.78,38.22
5h 2d 2c,80.823,53.13,23.0196,72.2092,46.87,28.9636,102.997,58.51,41.49
5h 3d 3c,90.7682,53.15,23.3298,73.1534,46.85,28.6533,101.939,60.42,39.58
5h 3d 2c,78.4844,51.23,22.5003,73.1949,48.77,29.5896,101.127,56.66,43.34
5h 4d 4c,87.4142,52.94,23.1856,72.9944,47.06,28.8018,102.002,60.48,39.52
5h 4d 2c,99.9973,50.86,19.9531,65.382,49.14,31.4135,106.551,80.33,19.67
5h 4d 3c,99.9998,49.51,18.1878,61.22,50.48,33.0005,108.945,94.75,5.25
6c 2d 2c,76.2271,52.46,22.9424,72.8871,47.54,29.0347,101.793,61.03,38.97
6c 3c 2c,44.9545,47.99,22.4906,78.1074,52.01,30.6706,98.286,50.41,49.59
6c 3c 2d,93.9481,50.77,22.3844,73.4761,49.23,29.5828,100.162,57.82,42.18
6c 3d 3c,88.4545,52.48,23.2044,73.6944,47.52,28.7754,100.921,62.03,37.97
6c 3d 2c,93.0874,50.78,22.4616,73.7219,49.22,29.5271,99.9839,57.17,42.83
6c 4c 2c,45.9298,48.28,22.51,77.7064,51.72,30.5818,98.5493,51.75,48.25
6c 4c 2d,88.4138,50.68,22.365,73.5469,49.32,29.5672,99.9204,56.84,43.16
6c 4c 3c,64.9781,48.65,22.5244,77.1657,51.35,30.5206,99.0594,52.22,47.78
6c 4c 3d,99.0021,50.06,21.8612,72.7795,49.94,30.0334,100.237,60.36,39.64
6c 4d 4c,72.7917,51.99,23.0913,74.031,48.01,28.9774,100.586,60.61,39.39
6c 4d 2c,85.673,50.59,22.31,73.4988,49.41,29.6277,99.9389,56.63,43.37
6c 4d 3c,98.6576,50.04,21.864,72.8264,49.96,30.0294,100.172,59.95,40.05
6c 5c 2c,57.3402,49.23,22.7293,76.9538,50.77,30.1756,99.0544,53.16,46.84
6c 5c 2d,92.3843,50.86,22.2605,72.9444,49.14,29.5206,100.128,56.64,43.36
6c 5c 3c,69.7799,49.31,22.7827,77.0107,50.69,30.1587,99.1539,51.54,48.46
6c 5c 3d,97.3489,50.34,22.0087,72.8736,49.66,29.8181,100.065,58.39,41.61
6c 5c 4c,77.7139,48.84,22.2953,76.0877,51.16,30.6964,99.9952,51.97,48.03
6c 5c 4d,99.9889,49.34,20.8248,70.3382,50.66,30.8993,101.665,67.03,32.97
6c 5d 5c,75.657,52.32,23.1877,73.8633,47.68,28.9444,101.178,61.17,38.83
6c 5d 2c,89.269,50.75,22.2877,73.1962,49.25,29.5304,99.9315,55.96,44.04
6c 5d 3c,95.946,50.27,22.0833,73.2207,49.73,29.7859,99.8186,57.22,42.78
6c 5d 4c,99.9844,49.37,21.0365,71.0205,50.63,30.761,101.256,64.89,35.11
6d 6c 2c,74.5584,52.79,23.2919,73.5333,47.21,28.8662,101.912,61.99,38.01
6d 6c 3c,82.322,52.52,23.1887,73.5932,47.48,28.9266,101.53,62.21,37.79
6d 6c 4c,81.4695,52.34,23.2017,73.8787,47.66,28.9196,101.136,61.55,38.45
6d 6c 5c,81.7512,52.56,23.2549,73.7362,47.44,28.8183,101.252,60.92,39.08
6h 6d 6c,19.9015,52.17,21.9219,70.0302,47.83,30.012,104.584,46.05,53.95
6d 3c 2c,89.3658,50.73,22.4795,73.8509,49.27,29.5297,99.8947,56.52,43.48
6d 4c 2c,83.5867,50.53,22.2642,73.434,49.47,29.6865,100.017,56.71,43.29
6d 4c 3c,97.5454,50.03,21.8982,72.9456,49.97,30.0193,100.131,59.41,40.59
6d 5c 2c,90.9447,50.76,22.2355,73.005,49.24,29.578,100.12,56.34,43.66
6d 5c 3c,95.6331,50.28,22.0361,73.048,49.72,29.8351,100.006,57.80,42.20
6d 5c 4c,99.9747,49.40,21.0069,70.8714,50.60,30.7822,101.394,64.96,35.04
6h 6d 2c,76.4379,52.84,22.871,72.1433,47.16,29.0586,102.689,60.53,39.47
6h 6d 3c,83.7978,52.66,22.8627,72.366,47.34,29.0373,102.22,61.16,38.84
6h 6d 4c,86.2574,52.53,22.9022,72.6595,47.47,28.97,101.72,61.79,38.21
6h 6d 5c,87.2163,52.78,22.8943,72.2948,47.22,28.9494,102.179,62.14,37.86
6h 2d 2c,83.1658,52.71,22.8782,72.3399,47.29,28.9161,101.911,57.89,42.11
6h 3d 3c,93.2645,52.72,23.1171,73.0771,47.28,28.6717,101.077,60.93,39.07
6h 3d 2c,99.8696,50.83,21.875,71.7197,49.17,29.8403,101.157,59.95,40.05
6h 4d 4c,79.2596,52.27,22.9314,73.1243,47.73,28.9109,100.944,60.34,39.66
6h 4d 2c,96.3206,50.85,22.0627,72.3109,49.15,29.6368,100.501,57.11,42.89
6h 4d 3c,99.9914,49.86,20.661,69.0569,50.14,30.8643,102.604,68.59,31.41
6h 5d 5c,81.4972,52.54,22.8187,72.3811,47.46,29.0855,102.147,62.50,37.50
6h 5d 2c,98.9712,50.99,21.9407,71.7197,49.01,29.6123,100.696,57.46,42.54
6h 5d 3c,99.9111,50.26,21.2686,70.5307,49.74,30.2963,101.513,62.68,37.32
6h 5d 4c,99.9989,49.09,19.5271,66.2978,50.91,31.8019,104.11,77.37,22.63
7c 2d 2c,80.983,52.23,23.0132,73.4316,47.77,29.0422,101.333,60.86,39.14
7c 3c 2c,33.2576,47.61,22.2416,77.8681,52.39,30.9471,98.4422,50.34,49.66
7c 3c 2d,76.4436,50.38,22.2918,73.7408,49.62,29.653,99.6069,55.42,44.58
7c 3d 3c,94.744,52.27,23.2726,74.211,47.73,28.7279,100.307,60.77,39.23
