
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,69.654285371,83.629516645,138.81519382,5038499.0415
KK,62.262148671,80.377639398,129.10337821,5072770.0157
QQ,56.970370226,77.761382312,122.10510439,5149490.5817
JJ,52.685966325,75.68916578,116.01388781,5156136.9314
TT,48.895850346,73.618131964,110.69702767,5152258.3342
99,44.903770136,70.852609933,105.62718433,5088978.2775
88,40.911861948,67.552922467,100.93780415,5057811.8
AKs,39.967937027,66.602489111,100.01612442,3373616.9852
AQs,38.885155125,65.894904094,98.351447302,3399214.203
AJs,37.470277543,65.156672458,95.846611277,3401931.7865
77,37.190709033,64.03107331,96.803804545,5047111.2177
ATs,36.004689426,64.210209508,93.455256057,3403295.6791
KQs,35.889325133,61.799004972,96.790461134,3410614.9487
AKo,34.482401526,64.992358471,88.4268098,10100343.151
66,34.444987808,60.675866729,94.614739117,5158107.6286
KJs,34.141925135,60.772473754,93.633194508,3413350.868
A9s,33.084634889,62.184775523,88.672923049,3383025.2003
AQo,33.035695013,64.205450315,85.755167853,10182823.809
KTs,32.833131607,59.820815692,91.476328731,3413077.1602
QJs,32.287298402,57.473005503,93.630328765,3439873.5138
55,31.684613103,57.591160708,91.694086135,5150600.1796
A8s,31.674836559,60.959474688,86.600802477,3372228.3936
AJo,31.249875235,63.377163524,82.179640894,10202720.633
QTs,31.140241809,56.512198633,91.839291819,3438984.8852
KQo,30.635807105,59.806511121,85.374782029,10226214.35
A7s,30.503752694,59.668742466,85.203048903,3368240.2754
JTs,30.347136782,54.414212117,92.951012861,3440683.4448
K9s,29.995416572,57.835898681,86.438288492,3394133.0305
A5s,29.813578437,57.948459961,85.747399377,3396842.7995
ATo,29.417800182,62.345315328,78.642102799,10199137.449
A6s,29.353852069,58.158464243,84.120320951,3405713.1255
44,29.258567721,54.567242001,89.365483295,5232274.443
A3s,29.245052387,56.109121518,86.869572468,3438404.5301
A4s,29.179305368,56.912517471,85.450754551,3426058.4009
KJo,28.543377007,58.681730855,81.06832283,10238765.738
Q9s,28.497619365,54.503926854,87.142404256,3420043.1159
A2s,28.443183955,55.338084259,85.664885633,3453970.1997
K8s,28.093163245,55.972431234,83.651786619,3383659.8565
T9s,27.748802935,51.20838492,90.313344122,3415446.7725
J9s,27.695450371,52.384972052,88.115125661,3422753.9711
K7s,27.628569025,54.968389392,83.771082891,3379678.6207
QJo,27.392622007,55.180183632,82.736893946,10315354.895
33,27.235678435,51.775013187,87.673173982,5264680.9438
K6s,27.115054453,53.7608712,84.060686541,3417126.4257
Q8s,26.994145558,52.704381708,85.363381826,3409256.5276
KTo,26.847796849,57.633790939,77.63905055,10233351.772
J8s,26.519044838,50.68678649,87.199073218,3411999.1424
A9o,26.358621664,60.15414177,73.030775296,10131469.282
K5s,26.274014555,52.738229399,83.032791881,3413769.1862
98s,26.096574492,48.475704668,89.723895954,3382049.0385
T8s,26.092408923,49.46210161,87.920542779,3409537.4734
K4s,25.871340741,51.766873266,83.294389857,3441006.8032
QTo,25.86385267,54.116189325,79.65531508,10309932.768
JTo,25.628451308,51.918112995,82.272030028,10318116.749
K3s,25.550475732,51.017915421,83.468965497,3451816.8169
22,25.533959885,49.206226902,86.486208124,5305410.4135
Q7s,25.413115858,50.800728077,83.375169411,3405281.5132
76s,25.35086137,43.74323405,96.589647597,3401363.9751
87s,25.311355119,45.870287309,91.967141129,3367848.4794
97s,25.216389103,46.722426745,89.9510537,3381512.6251
K2s,25.201657666,50.315126558,83.479394073,3465420.6582
Q6s,25.110852881,50.066702857,83.591327329,3442740.3654
T7s,24.998044128,47.761031256,87.233055452,3406234.3962
A8o,24.859693375,58.809175976,70.452989017,10099228.923
J7s,24.773235537,48.928688561,84.385515145,3408032.2294
86s,24.63419128,44.536538123,92.187195497,3410216.5306
Q5s,24.377045416,49.205258204,82.569242615,3439390.7363
65s,24.363437867,41.996985886,96.687247721,3435669.2325
Q4s,24.167279323,48.351452147,83.304217522,3466631.8239
Q3s,23.951776952,47.67139655,83.739162563,3477428.2428
54s,23.852691162,40.696357028,97.685611621,3458853.5669
K9o,23.852261582,55.482184427,71.651413358,10163815.445
96s,23.843322839,45.406886378,87.517278917,3421042.9715
Q2s,23.719121965,47.010610576,84.091377367,3491023.1148
A7o,23.662360187,57.387491976,68.721015017,10084018.516
T6s,23.570956214,46.379295097,84.703587974,3443687.3387
J6s,23.568090083,47.428009272,82.820575313,3445485.6517
75s,23.503250121,42.201915404,92.820629491,3402901.2628
43s,23.248365134,38.412762906,100.87083639,3502.2819898
64s,23.237262624,40.525886066,95.565513304,3467597.6053
J2s,23.078645202,44.694398132,86.060916533,5939.3947112
Q9o,23.019818816,51.927568253,73.884385469,10240016.676
T9o,23.015991998,48.478109729,79.128470308,10243886.26
J5s,22.969826273,46.835858301,81.738747141,3441916.7362
A5o,22.895318881,55.466385752,68.796378714,10189215.741
J4s,22.841016244,46.028796205,82.705531203,3469165.8331
J9o,22.714098148,49.697010633,76.17526641,10245385.596
J3s,22.653967462,45.353174216,83.250209251,3477655.8448
53s,22.619335891,39.223082788,96.114049362,3475031.8438
85s,22.557637982,42.933281166,87.56857683,3406894.4257
A6o,22.502083078,55.734240555,67.289822959,10191273.753
T4s,22.479754602,44.19296864,84.7787755,5893.0113834
A4o,22.175459432,54.336627176,68.018758202,10266562.252
74s,22.042592523,40.594855146,90.498301011,3429815.674
K8o,21.981393988,53.457599022,68.532177497,10125444.574
T5s,21.896498805,44.752519555,81.546614665,3437592.186
J8o,21.859943815,47.845809828,76.147189947,615765.50586
95s,21.853786984,43.806665326,83.144832039,3416481.8683
Q8o,21.853437034,49.967404161,72.892309833,538866.85477
76o,21.726493646,40.427823988,89.569062026,87729.689027
K7o,21.70837146,52.34115306,69.124612251,3925664.945
98o,21.471253006,45.534527469,78.589641017,9684496.5603
T8o,21.406166122,46.572349268,76.60541952,8011174.6214
87o,21.052131317,42.7332659,82.106725965,5366673.5045

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
TT,54.016502874,67.662005903,133.05473816,450.01278724
99,44.599617102,63.710941105,116.67178962,2449811.6356
AJs,42.916694557,61.571674057,116.17001707,291.77202972
AQo,40.106612311,61.262721253,109.11097725,1522978.3125
ATs,39.823049355,60.124222575,110.39103057,1666962.4193
KQs,39.735134792,56.937027206,116.31310573,594.37121518
88,39.295834393,60.094176974,108.98403243,3119035.577
KJs,36.909883328,55.463038797,110.91435584,3572.7085297
77,35.496408719,57.145379008,103.52662319,3876248.1205
A9s,35.119789118,57.562588694,101.6858053,2914030.1944
AJo,35.029290033,59.560314349,98.021897117,7754795.0181
KTs,34.748487133,54.134800629,106.98135866,822664.85559
QJs,34.374053748,52.10494416,109.95135011,501776.21998
66,33.928843186,54.730024751,103.32184616,3225791.5212
KQo,33.040158251,54.645559014,100.77109908,6525120.7577
A8s,32.846212447,55.822334148,98.067714738,2939039.744
QTs,32.767984237,50.793315636,107.52065774,993956.10965
JTs,32.013476125,48.766785366,109.41011006,431940.72858
ATo,31.821981673,57.962108502,91.502254649,8736007.5384
A5s,31.357027162,52.646045719,99.269966475,20295.598977
A7s,31.105859403,54.120567359,95.791861644,2962978.3087
55,30.947898348,52.315895616,98.593037495,4703430.2012
A4s,30.723135308,51.742499422,98.961639049,1089639.8468
A6s,30.392037573,52.738753939,96.045871719,2990030.1125
K9s,30.086719966,51.637194097,97.109330114,2806155.022
A3s,29.970184849,51.138115699,97.677255798,1948632.7127
KJo,29.71458489,53.02851109,93.391851159,8908810.7701
A2s,29.393175731,50.601804802,96.812013741,3037432.5196
44,29.168574247,49.953075195,97.319915182,4769443.261
Q9s,28.325092496,48.317835993,97.704060051,2992874.0084
QJo,28.248252605,49.485552205,95.139730508,8982639.5345
T9s,28.083498644,45.044890002,103.90930263,300.00699148
33,27.986400406,48.031466942,97.111338974,4851895.2527
J9s,27.691208908,46.276234036,99.731570231,2980564.1642
KTo,27.371168838,51.55874238,88.478912837,8912278.4862
22,27.180883274,46.360069322,97.716575463,4884900.1087
K8s,27.141247401,49.25872259,91.832288692,2998858.4726
A9o,26.990109305,55.165081036,81.543459491,8727665.2725
QTo,26.353451999,48.034037578,91.440199935,8979864.939
JTo,26.159596296,45.925569729,94.934755119,8995976.5818
K7s,26.058444955,48.202610402,90.100393379,3033825.9834
K6s,25.994118124,47.467958925,91.26899742,3049291.6905
Q8s,25.588650844,46.366895346,91.978880811,3021489.8474
K5s,25.530706869,46.792749964,90.935408043,3044213.462
T8s,25.255867202,43.335008917,97.134194858,2665272.5912
98s,25.19644804,42.361898789,99.131722769,24185.388559
K4s,25.173497897,46.015291864,91.178015239,3066299.0954
K3s,25.168643824,45.570626549,92.049951654,3093844.8043
K2s,25.107316239,45.047420005,92.892172427,3104887.0631
J8s,25.04577286,44.586141618,93.623160139,3026890.4357
A8o,24.441607358,53.255919304,76.491050753,8804217.2044
Q6s,24.172163317,44.379813094,90.777621744,3071599.8535
87s,23.82884615,40.965147633,96.94763934,341094.14195
Q5s,23.82503553,43.726057554,90.811737372,3066216.6099
Q7s,23.754366199,44.759892937,88.451083622,3056447.5867
Q4s,23.592885577,42.972858495,91.503049458,3088302.2442
Q3s,23.489050097,42.545784424,92.014796198,3115847.9548
76s,23.438452135,39.993530286,97.676015626,373278.19371
65s,23.40068433,38.992191348,100.02295127,497369.26357
Q2s,23.358158466,42.018754295,92.64973406,3126890.2141
54s,23.208360527,38.185589727,101.29632973,100508.02551
T7s,23.197448974,41.78581115,92.525223017,3060947.6384
J7s,23.123639156,43.044278644,89.534311662,3061848.3959
97s,23.011466481,41.060470647,93.404784532,1920523.4223
K9o,22.745151732,48.831949134,77.630704675,7895810.4373
A7o,22.542648402,51.40921747,73.082381952,7109033.9322
64s,22.434274018,37.621255378,99.38652052,3166012.7969
A5o,22.349944212,49.818035301,74.771931078,8913907.3772
J6s,22.334187441,41.656995276,89.357490832,3077000.6654
96s,22.228739742,39.748315298,93.206213373,3073310.486
86s,22.221990543,39.68026882,93.3377016,3096102.8196
T9o,22.186916684,41.935525315,88.178684289,8349630.2322
J5s,22.058783904,41.239222152,89.149692747,2952131.4526
T6s,22.058582628,40.442844356,90.904349003,3076099.9092
J9o,22.028888418,43.208230702,84.971806143,6226632.9215
53s,22.025584447,37.02465183,99.148285257,3188175.2663
Q9o,21.983979062,45.331704875,80.826355868,7748703.8835
75s,21.954104372,38.571579291,94.86304327,3127210.426
A6o,21.92805299,49.906049737,73.231111612,4564361.1271
A4o,21.847943438,48.805125805,74.60945641,6696888.9192
J4s,21.822575348,40.522937632,89.754003631,2979545.4636
J3s,21.737679591,40.115866895,90.312060512,3079108.1676
43s,21.705269838,36.381173603,99.434532059,3204726.4546
J2s,21.598100846,39.602215171,90.896013237,3126760.4722
A3o,21.127498395,48.121622745,73.17396072,6867414.9927
85s,21.023680022,38.215597139,91.688915852,3093818.7387
T5s,20.787203801,38.964790857,88.914476137,1551019.0251
52s,20.620623519,35.626158254,96.46761691,3193677.5232
A2o,20.570236016,47.507825666,72.164377581,5983814.15
T4s,20.549018148,38.523391768,88.902773118,2477226.8256
74s,20.539804231,37.150966817,92.145669374,3150859.9664
63s,20.539576742,36.344539497,94.18919149,3188018.5064
T3s,20.452977688,38.144510543,89.366190996,2836967.0758
T2s,20.380560604,37.682268623,90.142133815,2585078.2418
42s,20.37173513,35.070928334,96.812070558,3215441.5237
95s,20.321760414,38.265929241,88.51111514,2399119.1223
32s,19.908508793,34.677257422,95.684752642,3243308.8693
K8o,19.793779912,46.242403938,71.340653551,4614644.9449
T8o,19.648992285,40.048584367,81.771480799,6378269.088
J8o,19.283121911,41.336369544,77.748812661,5473208.9966
98o,19.274193586,39.022677957,82.320480443,9014274.8891
84s,19.265106867,36.739542911,87.394967114,3108187.1302
Q8o,19.154946566,43.187869548,73.921013651,6721740.2536
62s,19.02251627,34.940829248,90.736809817,3199060.7636
92s,19.011704979,36.14833225,87.655980215,1957222.1822
93s,19.007786229,36.603480449,86.548173362,3069695.1621
94s,19.002141919,36.740143677,86.200633319,2773249.5823
73s,18.873826535,35.828465738,87.797166055,3172866.2366
K6o,18.55178025,44.278098988,69.830535765,5404325.9338
K7o,18.500947202,45.084982472,68.392866786,6948050.3358
82s,18.163433097,35.241259988,85.900414755,3147377.7955
83s,18.148312848,35.446981435,85.330786587,3135713.749
Q6o,17.953659611,41.021013191,72.944970614,2095426.6206
K5o,17.947668483,43.553775474,68.68010977,6726453.7618
87o,17.942088433,37.502505113,79.737288569,9228259.4647
72s,17.717743763,34.442232822,85.736523215,3167352.0767
T7o,17.650742294,38.345950016,76.717107835,3320692.5932
65o,17.623875167,35.385904234,83.007982736,9398678.5339
K3o,17.603930838,42.158238076,69.594665404,2766297.6056
76o,17.598751314,36.445270191,80.480270926,9369563.7778
Q5o,17.59135649,40.32111475,72.713583604,941384.54632
K4o,17.552496929,42.673596173,68.553307364,6894078.6531
54o,17.440746185,34.528890052,84.184317145,9448508.6183
J7o,17.388640166,39.658012501,73.077456777,3468150.8623
97o,17.336756119,37.580261321,76.887686556,8351301.385
Q7o,17.314810276,41.443051254,69.632945098,7202580.4158
64o,17.264680881,33.90652594,84.864100162,1006083.5104
86o,16.753408569,36.097502422,77.352574949,7950159.2708
53o,16.731454041,33.267915755,83.821772727,3803745.345
75o,16.450860378,34.925258045,78.505076738,5212629.0955

Hands EV OOP
Hand, EV, Equity, Matchups
AsAc,74.489973326,85.693488889,144.8767662,826318.54809
AdAc,72.304474925,85.259916072,141.34128176,784666.20245
AhAc,71.035232236,85.057258942,139.19100521,778417.25859
AsAd,68.236047883,82.337568587,138.12254652,896876.93171
AsAh,67.401127892,82.194020749,136.67078472,896950.62822
AcKc,66.777507391,76.4818326,145.51932383,721596.83648
KsKc,66.403054963,82.36094294,134.37407869,831117.28386
AcQc,65.970142058,75.922637427,144.81877934,725267.62787
AhAd,65.144209523,81.700405513,132.89246468,855269.47247
AcJc,65.124844072,75.357092494,144.03608631,723623.35651
AcTc,64.399287223,74.641016906,143.79780692,720906.52875
KdKc,63.059507829,81.678278767,128.67457701,783952.03838
KhKc,62.57310654,81.654468714,127.71929393,789532.05718
KsKh,61.745509826,79.268187333,129.82406499,909610.64179
Ac9c,61.675148987,73.13488167,140.55114691,713803.22872
KsKd,61.627422289,79.183867924,129.71375758,897122.78545
Ac8c,60.456129614,72.220872022,139.51675354,708150.69843
QsQc,60.434925791,79.635700477,126.48206233,842099.70257
KcQc,59.586248557,72.153882964,137.63696447,726912.86245
Ac7c,59.336885418,71.271206087,138.7584334,703112.93475
Ac5c,59.053270287,70.001715539,140.59957872,698116.63365
Ac4c,58.606198857,69.195685281,141.16053291,697599.66277
KhKd,58.462891796,78.524957699,124.08558482,861435.20904
KcJc,58.415316145,71.360381101,136.43265176,725257.48363
Ac3c,58.359492512,68.582131227,141.82385282,693266.43585
Ac6c,58.136272408,70.095226713,138.23164842,705372.62556
KcTc,57.948934046,70.641207967,136.7212701,722240.19281
QsQh,57.79763719,76.964248929,125.16122311,930191.88103
Ac2c,57.645809757,67.979196798,141.33198702,688495.65009
QhQc,56.753062354,78.940303416,119.82274347,806076.36284
QsQd,56.732390227,76.626858465,123.39535459,906019.32884
QdQc,56.303970781,78.74154128,119.17464375,789554.6827
JsJc,55.605821151,77.45480096,119.65219384,840981.97831
Kc9c,55.40985246,69.156134406,133.5380511,715363.8924
JsJh,54.505188918,75.149885388,120.88106464,937555.3569
QhQd,53.806550273,76.010291118,117.98084505,875548.6237
QcJc,53.695112508,68.229512519,131.16296875,729020.81866
QcTc,53.416320763,67.498801468,131.89449196,725870.49822
Kc8c,53.329701235,67.750634375,131.19114856,709759.20691
Kc7c,52.761080221,66.998986877,131.24845285,704709.3086
JsJd,52.570220516,74.57309516,117.49148135,903365.37397
JhJc,52.282325231,76.824533026,113.42367508,810934.15671
Kc6c,52.086595765,66.032211354,131.4676446,706932.88699
TsTh,51.638754421,73.363891482,117.31192139,942612.31372
TsTc,51.262683352,75.244532868,113.54686159,837501.32178
Qc9c,51.248633354,66.001710849,129.41238617,718974.82185
Kc5c,51.242967996,65.249430567,130.88994941,700548.05737
Kc4c,51.079008887,64.467406473,132.0538333,699666.16475
JdJc,50.924099695,76.401959682,111.08811848,784970.97971
Kc3c,50.638820768,63.870583184,132.13913261,695058.52014
JcTc,50.556506292,65.407096436,128.82523214,724001.40656
Kc2c,50.39788503,63.290302401,132.71618536,689964.80763
JhJd,50.014682935,74.03685392,112.58960974,878329.08581
Qc8c,49.376727232,64.618551233,127.35436468,713289.28968
TsTd,48.902955799,72.553495987,112.33769679,899962.18566
9s9h,48.621614964,70.96139065,114.19734619,935302.8352
Jc9c,48.572893035,63.913545532,126.66301181,717289.90247
ThTc,48.318667546,74.676263157,107.84030852,813049.28803
Tc9c,47.593690203,62.649749932,126.61314226,713065.92156
Qc7c,47.452714961,63.163819399,125.2106966,708203.45312
Qc6c,47.119352854,62.549889295,125.55138889,710370.47216
Jc8c,47.052031874,62.599620796,125.2724092,711615.5334
9s9c,46.732787365,72.332672842,107.68021681,824068.42725
ThTd,46.704617532,72.091365395,107.97552355,879948.34454
Qc4c,46.367299008,61.154934703,126.36565153,703009.82544
Qc5c,46.328724497,61.872011451,124.79720478,703947.62237
TdTc,46.102333856,74.027318938,103.79576648,779184.88042
Qc3c,46.000384089,60.572032354,126.57212221,698346.00134
Qc2c,45.837456157,59.983549514,127.36118633,693186.31569
Tc8c,45.788478271,61.300646843,124.49155822,708223.15912
8s8h,45.663895192,68.069255096,111.80744064,933398.97626
9c8c,45.537059499,60.295712222,125.87146974,700012.28791
9s9d,44.964451259,69.858562835,107.27496968,886950.86427
Jc7c,44.930580571,61.231783947,122.29645476,706532.66638
9h9c,44.250809364,71.814413882,102.69713969,805084.08118
9c7c,44.197442959,58.921749477,125.01734179,695540.13513
Tc7c,44.191617312,59.96556304,122.82498786,703258.2287
8c7c,43.901176938,58.003557098,126.14507091,689510.25799
Jc6c,43.383149417,59.999814948,120.50912005,708672.88879
Jc2c,43.212407605,57.601332356,125.03300947,1175.4355779
9h9d,43.159405712,69.456051931,103.565263,871752.91517
7c6c,43.158048417,55.995976895,128.45580108,686573.41321
8c6c,42.947190695,56.862538953,125.88015322,692372.59296
7s7h,42.882789846,65.01413117,109.9319719,935124.11436
Jc4c,42.859253926,58.813063123,121.45616311,701253.87329
Jc5c,42.703844548,59.515102865,119.58825713,702214.01863
Jc3c,42.545461531,58.213018872,121.80969812,696109.42513
9c6c,42.461986548,57.796611949,122.44658501,697988.026
Tc6c,42.399252117,58.797645594,120.18409833,705370.51063
8s8c,42.028513954,68.83488605,101.7616608,815420.48456
6c5c,41.508196714,54.272456176,127.46857749,682158.99615
Tc4c,41.45839539,56.961892746,121.30447624,1186.2605042
6s6h,41.194144888,62.188234457,110.40176449,959886.71758
8s8d,41.167810027,66.669603171,102.91499191,880781.66674
9d9c,40.996810874,70.857017529,96.4308413,765819.15441
5c4c,40.914283934,52.936417936,128.81580561,674540.10383
7c5c,40.813732773,54.69578466,124.3658691,680982.18969
6c4c,40.488395084,52.971231661,127.39114489,681720.79688
4c3c,40.465730049,50.688508656,133.05359578,669.19566197
Tc5c,40.290457429,57.482533147,116.81942097,698522.15533
8c5c,40.254325996,55.516939147,120.84697816,686027.63404
AcKs,40.209958358,67.683176398,99.015147973,828808.12573
8h8c,40.013386917,68.374119048,97.535411238,800928.35913
9c5c,39.923795854,56.460707669,117.85126773,691425.82941
8h8d,39.759418984,66.331188619,99.901267694,869500.16295
5c3c,39.521397712,51.599863543,127.65343097,670531.31538
7c4c,39.423434064,53.280482818,123.32043549,679905.66194
5s5h,39.131652738,59.553124423,109.51469274,961579.46978
AcQs,38.895029305,66.865985531,96.947720619,835822.974
AcKh,38.467980906,66.625249265,96.22973605,786891.71037
AsKc,38.303705751,67.376263433,94.750742075,828134.65917
AcKd,37.969386701,66.442890541,95.243163946,780794.00499
7s7d,37.77212071,63.323294901,99.416075261,879411.24286
4s4h,37.471170503,56.989786829,109.5844612,979504.09957
7s7c,37.439021173,65.031664423,95.950748264,809466.89978
AcQh,37.408170052,66.020232579,94.436126096,799675.66894
AcJs,37.113677216,65.993940768,93.73001214,837506.41827
AdKc,36.821526195,66.355698321,92.485215103,786339.02086
7h7d,36.754875091,63.054782686,97.15064035,871365.01843
AcQd,36.651683717,65.609730165,93.105305226,782235.54688
AhKc,36.306259998,66.103267936,91.539246423,780562.63828
AsQc,36.047519907,66.496883358,90.348895784,833095.32929
3s3h,36.040811131,54.632392812,109.94945573,987304.92103
