Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Jc6c2d.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 15 freq,CHECK freq
2h 2d 2c,100,56.35,29.3399,86.7735,43.65,20.5153,78.3383,89.25,10.75
3c 2d 2c,100,53.85,25.1554,77.8605,46.15,26.6063,96.0805,22.67,77.33
3d 3c 2c,100,54.02,25.2166,77.7987,45.98,26.6086,96.4518,22.18,77.82
3h 3d 3c,100,56.33,29.0199,85.8574,43.67,21.016,80.2137,84.17,15.83
3h 3d 2c,100,53.92,24.747,76.4915,46.08,27.0421,97.8105,15.66,84.34
3h 2d 2c,100,53.75,24.66,76.4692,46.25,27.0564,97.4943,16.77,83.23
4c 2d 2c,100,53.89,25.0838,77.5811,46.11,26.6165,96.2015,24.03,75.97
4c 3c 2c,100,52.33,27.056,86.1701,47.67,25.6224,89.5835,49.47,50.53
4c 3c 2d,100,51.78,23.6376,76.0901,48.22,28.4387,98.2859,12.60,87.40
4c 3d 3c,100,53.34,24.3076,75.9451,46.66,27.624,98.681,11.85,88.15
4c 3d 2c,100,51.82,23.7651,76.4398,48.18,28.3123,97.9328,13.56,86.44
4d 4c 2c,100,54.27,26.0123,79.8888,45.73,25.6425,93.452,35.68,64.32
4d 4c 3c,100,53.70,25.2476,78.3595,46.30,26.5275,95.492,25.85,74.15
4h 4d 4c,100,56.54,29.7923,87.8196,43.46,20.1301,77.1996,93.80,6.20
4d 3c 2c,100,51.88,23.9328,76.8813,48.12,28.1014,97.3365,16.27,83.73
4h 4d 2c,100,54.24,25.7199,79.0306,45.76,25.8172,94.0326,31.63,68.37
4h 4d 3c,100,53.70,24.9349,77.393,46.30,26.7286,96.2109,22.21,77.79
4h 2d 2c,100,53.88,24.6827,76.3495,46.12,26.9753,97.4845,17.52,82.48
4h 3d 3c,100,53.35,23.8788,74.5913,46.65,27.9931,100.021,6.49,93.51
4h 3d 2c,100,51.56,22.6965,73.3718,48.44,29.3458,100.961,3.72,96.28
5c 2d 2c,100,53.65,24.8069,77.0608,46.35,26.9173,96.7949,21.16,78.84
5c 3c 2c,100,52.57,27.0226,85.6688,47.43,25.5318,89.7208,50.67,49.33
5c 3c 2d,100,52.30,24.7166,78.7639,47.70,27.0987,94.6868,27.28,72.72
5c 3d 3c,100,53.43,24.5696,76.6371,46.57,27.2762,97.6227,16.03,83.97
5c 3d 2c,100,52.25,24.6745,78.7031,47.75,27.1532,94.7801,26.82,73.18
5c 4c 2c,100,51.60,25.4356,82.1536,48.40,27.2435,93.8172,31.91,68.09
5c 4c 2d,100,51.13,21.5137,70.1323,48.87,30.2538,103.17,0.00,100.00
5c 4c 3c,100,50.60,24.5079,80.7189,49.40,28.2745,95.3999,22.73,77.27
5c 4c 3d,100,49.82,19.9612,66.7767,50.18,31.6409,105.093,0.00,100.00
5c 4d 4c,100,53.48,24.9129,77.6426,46.52,26.8591,96.2232,22.35,77.65
5c 4d 2c,100,51.05,21.4773,70.1123,48.95,30.2954,103.16,0.00,100.00
5c 4d 3c,100,49.80,20.0074,66.9614,50.20,31.6119,104.95,0.00,100.00
5d 5c 2c,100,54.00,25.542,78.8365,46.00,26.3062,95.3076,30.31,69.69
5d 5c 3c,100,53.75,25.3086,78.4721,46.25,26.5507,95.6845,27.65,72.35
5d 5c 4c,100,53.51,24.7674,77.1426,46.49,27.1594,97.3663,19.29,80.71
5h 5d 5c,100,56.51,29.0291,85.6125,43.49,21.2098,81.287,82.14,17.86
5d 3c 2c,100,52.43,25.1437,79.9326,47.57,26.5923,93.1627,33.85,66.15
5d 4c 2c,100,51.16,21.8247,71.0963,48.84,30.0105,102.416,0.01,99.99
5d 4c 3c,100,49.83,20.1763,67.4822,50.17,31.4704,104.548,0.00,100.00
5h 5d 2c,100,54.09,25.402,78.2644,45.91,26.2378,95.2598,30.63,69.37
5h 5d 3c,100,53.74,24.8413,77.036,46.26,26.8782,96.8457,23.54,76.46
5h 5d 4c,100,53.41,23.9514,74.7339,46.59,27.9191,99.8856,10.90,89.10
5h 2d 2c,100,53.79,24.6461,76.3582,46.20,26.942,97.1828,19.18,80.82
5h 3d 3c,100,53.46,24.0728,75.044,46.54,27.7281,99.3069,9.23,90.77
5h 3d 2c,100,52.13,24.0626,76.9312,47.87,27.6453,96.2515,21.52,78.48
5h 4d 4c,100,53.41,24.1435,75.346,46.59,27.6169,98.7855,12.59,87.41
5h 4d 2c,100,50.86,19.9535,65.3832,49.14,31.413,106.549,0.00,100.00
5h 4d 3c,100,49.51,18.1878,61.2199,50.49,33.0006,108.945,0.00,100.00
6c 2d 2c,100,53.29,24.7311,77.3416,46.71,26.7989,95.6301,23.77,76.23
6c 3c 2c,100,51.63,26.5364,85.6585,48.37,25.8282,88.9993,55.05,44.95
6c 3c 2d,100,51.01,22.8557,74.6772,48.99,28.9869,98.615,6.05,93.95
6c 3d 3c,100,52.87,24.0647,75.8549,47.13,27.7026,97.9745,11.55,88.45
6c 3d 2c,100,51.05,22.9941,75.0641,48.95,28.8526,98.2468,6.91,93.09
6c 4c 2c,100,51.70,26.3872,85.0608,48.30,25.9164,89.4335,54.07,45.93
6c 4c 2d,100,51.20,23.2614,75.7183,48.80,28.4334,97.1121,11.59,88.41
6c 4c 3c,100,50.74,25.0604,82.3201,49.26,27.4495,92.8687,35.02,64.98
6c 4c 3d,100,50.11,21.9449,72.9931,49.89,29.9287,99.9769,1.00,99.00
6c 4d 4c,100,53.02,25.0588,78.7742,46.98,26.5436,94.1631,27.21,72.79
6c 4d 2c,100,51.24,23.4189,76.1746,48.76,28.224,96.4718,14.33,85.67
6c 4d 3c,100,50.10,21.9765,73.1132,49.90,29.8886,99.8223,1.34,98.66
6c 5c 2c,100,51.53,25.5788,82.7341,48.47,26.7096,91.8387,42.66,57.34
6c 5c 2d,100,51.20,22.8599,74.4106,48.80,28.761,98.2315,7.62,92.38
6c 5c 3c,100,50.96,24.9098,81.4698,49.04,27.568,93.6906,30.22,69.78
6c 5c 3d,100,50.46,22.2253,73.4052,49.54,29.5465,99.408,2.65,97.35
6c 5c 4c,100,50.12,24.0164,79.8638,49.88,28.6094,95.593,22.29,77.71
6c 5c 4d,100,49.35,20.8262,70.342,50.65,30.8976,101.66,0.01,99.99
6c 5d 5c,100,53.22,24.8834,77.919,46.78,26.8569,95.6949,24.34,75.66
6c 5d 2c,100,51.24,23.1258,75.222,48.76,28.4686,97.3064,10.73,89.27
6c 5d 3c,100,50.46,22.4074,74.0052,49.54,29.3788,98.8456,4.05,95.95
6c 5d 4c,100,49.37,21.0387,71.0261,50.63,30.7584,101.249,0.02,99.98
6d 6c 2c,100,53.55,25.0391,77.9346,46.45,26.698,95.7892,25.44,74.56
6d 6c 3c,100,53.09,24.419,76.6529,46.91,27.4028,97.3685,17.68,82.32
6d 6c 4c,100,52.98,24.4943,77.0518,47.02,27.3202,96.844,18.53,81.47
6d 6c 5c,100,53.20,24.5037,76.7649,46.80,27.2687,97.1123,18.25,81.75
6h 6d 6c,100,56.03,28.4338,84.5733,43.97,21.7825,82.573,80.10,19.90
6d 3c 2c,100,51.17,23.2804,75.8344,48.83,28.5163,97.3222,10.63,89.37
6d 4c 2c,100,51.28,23.5269,76.4615,48.72,28.0911,96.1025,16.41,83.59
6d 4c 3c,100,50.14,22.0995,73.4525,49.86,29.767,99.5108,2.45,97.55
6d 5c 2c,100,51.17,22.9372,74.7085,48.83,28.6898,97.9247,9.06,90.94
6d 5c 3c,100,50.49,22.3818,73.8863,49.51,29.4008,98.9663,4.37,95.63
6d 5c 4c,100,49.40,21.0098,70.8792,50.60,30.7786,101.385,0.03,99.97
6h 6d 2c,100,53.57,24.6845,76.7981,46.43,26.8298,96.3091,23.56,76.44
6h 6d 3c,100,53.15,24.0847,75.5217,46.85,27.5341,97.9551,16.20,83.80
6h 6d 4c,100,53.00,23.9331,75.2669,47.00,27.6974,98.21,13.74,86.26
6h 6d 5c,100,53.22,23.8361,74.6435,46.78,27.7841,98.9929,12.78,87.22
6h 2d 2c,100,53.34,24.338,76.0441,46.66,27.1067,96.8272,16.83,83.17
6h 3d 3c,100,52.95,23.674,74.5169,47.05,27.9819,99.1207,6.74,93.26
6h 3d 2c,100,50.84,21.8875,71.7537,49.16,29.8249,101.114,0.13,99.87
6h 4d 4c,100,53.03,24.5378,77.1168,46.97,26.9226,95.5347,20.74,79.26
6h 4d 2c,100,51.02,22.3761,73.0946,48.98,29.2436,99.5103,3.68,96.32
6h 4d 3c,100,49.86,20.6622,69.0605,50.14,30.8629,102.599,0.01,99.99
6h 5d 5c,100,53.22,24.2068,75.8025,46.78,27.3841,97.5702,18.50,81.50
6h 5d 2c,100,51.04,22.0319,71.9483,48.96,29.4982,100.409,1.03,98.97
6h 5d 3c,100,50.26,21.2779,70.5552,49.74,30.285,101.484,0.09,99.91
6h 5d 4c,100,49.09,19.5273,66.2984,50.91,31.8016,104.11,0.00,100.00
7c 2d 2c,100,52.92,24.3703,76.7546,47.08,27.336,96.768,19.02,80.98
7c 3c 2c,100,52.00,27.1214,86.9323,48.00,25.1162,87.204,66.74,33.26
7c 3c 2d,100,51.46,24.155,78.2398,48.54,27.3093,93.7598,23.56,76.44
7c 3d 3c,100,52.46,23.6574,75.1672,47.54,28.2489,99.0251,5.26,94.74
7c 3d 2c,100,51.50,24.2784,78.5684,48.50,27.158,93.3299,25.29,74.71
7c 4c 2c,100,51.66,26.7568,86.3171,48.34,25.5083,87.9547,61.90,38.10
7c 4c 2d,100,51.10,23.7024,77.3143,48.90,27.7933,94.7198,19.82,80.18
7c 4c 3c,100,50.76,25.5482,83.8851,49.24,26.9664,91.2762,40.33,59.67
7c 4c 3d,100,50.09,22.1848,73.8094,49.91,29.7053,99.2061,0.85,99.15
7c 4d 4c,100,52.34,24.3846,77.6512,47.66,27.3791,95.7407,17.97,82.03
7c 4d 2c,100,51.14,23.8598,77.7576,48.86,27.5851,94.0985,22.42,77.58
7c 4d 3c,100,50.09,22.2089,73.8968,49.91,29.6495,99.0097,1.93,98.07
7c 5c 2c,100,51.44,25.9116,83.9482,48.56,26.446,90.7743,46.94,53.06
7c 5c 2d,100,51.12,23.3078,75.9963,48.88,28.2812,96.4235,13.10,86.90
7c 5c 3c,100,51.07,25.2719,82.4671,48.93,27.2191,92.7233,33.76,66.24
7c 5c 3d,100,50.64,22.7532,74.8824,49.36,28.9776,97.8485,7.40,92.60
7c 5c 4c,100,49.95,23.9378,79.8769,50.05,28.7511,95.736,19.56,80.44
7c 5c 4d,100,49.13,20.1141,68.2318,50.87,31.3855,102.833,0.00,100.00
7c 5d 5c,100,52.48,24.1091,76.5704,47.52,27.8616,97.7125,12.18,87.82
7c 5d 2c,100,51.25,23.7394,77.1943,48.75,27.7646,94.9309,18.78,81.22
7c 5d 3c,100,50.73,23.0852,75.8384,49.27,28.6184,96.8146,10.80,89.20
7c 5d 4c,100,49.23,20.4758,69.3214,50.77,31.1148,102.142,0.01,99.99
